* Dictionary *
cycle:		cycle # (supergame within a session)
period:		period # (period within a cycle)
beta:			beta, = 999 if one-shot treatment (OS), = 999999 if infinity treatment
z:			public signal, set to missing if beta = 999999, or in two occasion because it was not recorded
date:			session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
coop:			= 1 if subject cooperated, = 0 o/w
group:		identifies subjects that were grouped together for a cycle
id:			id #, constant within a session
**************

cycle	period	beta	z	date	coop	group	id
4	4	0	20	111301	1	38	3
4	5	0	20	111301	1	38	3
4	6	0	20	111301	1	38	3
4	7	0	20	111301	1	38	3
4	8	0	20	111301	1	38	3
4	9	0	20	111301	1	38	3
4	10	0	20	111301	1	38	3
4	11	0	20	111301	1	38	3
4	12	0	20	111301	1	38	3
4	13	0	20	111301	1	38	3
4	14	0	20	111301	1	38	3
4	15	0	20	111301	1	38	3
4	16	0	20	111301	1	38	3
5	1	0	20	111301	1	52	3
5	2	0	20	111301	1	52	3
5	3	0	20	111301	1	52	3
5	4	0	20	111301	1	52	3
5	5	0	20	111301	1	52	3
6	1	0	20	111301	1	71	3
6	2	0	20	111301	1	71	3
6	3	0	20	111301	1	71	3
6	4	0	20	111301	1	71	3
6	5	0	20	111301	1	71	3
6	6	0	20	111301	1	71	3
7	1	0	20	111301	1	81	3
7	2	0	20	111301	1	81	3
8	1	0	20	111301	1	92	3
8	2	0	20	111301	1	92	3
8	3	0	20	111301	1	92	3
8	4	0	20	111301	1	92	3
8	5	0	20	111301	1	92	3
8	6	0	20	111301	1	92	3
8	7	0	20	111301	1	92	3
8	8	0	20	111301	1	92	3
8	9	0	20	111301	1	92	3
8	10	0	20	111301	1	92	3
8	11	0	20	111301	1	92	3
8	12	0	20	111301	1	92	3
8	13	0	20	111301	1	92	3
8	14	0	20	111301	1	92	3
8	15	0	20	111301	1	92	3
8	16	0	18	111301	0	92	3
8	17	0	16	111301	0	92	3
8	18	0	16	111301	0	92	3
8	19	0	16	111301	0	92	3
8	20	0	18	111301	1	92	3
8	21	0	20	111301	1	92	3
8	22	0	20	111301	1	92	3
1	1	0	20	111301	1	11	4
1	2	0	20	111301	1	11	4
1	3	0	20	111301	1	11	4
1	4	0	20	111301	1	11	4
2	1	0	20	111301	1	23	4
2	2	0	18	111301	1	23	4
2	3	0	18	111301	1	23	4
2	4	0	16	111301	0	23	4
2	5	0	18	111301	0	23	4
2	6	0	18	111301	0	23	4
2	7	0	18	111301	1	23	4
2	8	0	20	111301	1	23	4
2	9	0	20	111301	1	23	4
2	10	0	20	111301	1	23	4
2	11	0	20	111301	1	23	4
2	12	0	20	111301	1	23	4
2	13	0	20	111301	1	23	4
2	14	0	20	111301	1	23	4
2	15	0	20	111301	1	23	4
2	16	0	20	111301	1	23	4
3	1	0	20	111301	1	27	4
3	2	0	20	111301	1	27	4
3	3	0	20	111301	1	27	4
4	1	0	20	111301	1	45	4
4	2	0	20	111301	1	45	4
4	3	0	20	111301	1	45	4
4	4	0	20	111301	1	45	4
4	5	0	20	111301	1	45	4
4	6	0	20	111301	1	45	4
4	7	0	20	111301	1	45	4
4	8	0	20	111301	1	45	4
4	9	0	20	111301	1	45	4
4	10	0	20	111301	1	45	4
4	11	0	20	111301	1	45	4
4	12	0	20	111301	1	45	4
4	13	0	20	111301	1	45	4
4	14	0	20	111301	1	45	4
4	15	0	20	111301	1	45	4
4	16	0	20	111301	1	45	4
5	1	0	20	111301	1	49	4
5	2	0	20	111301	1	49	4
5	3	0	20	111301	1	49	4
5	4	0	20	111301	1	49	4
5	5	0	20	111301	1	49	4
6	1	0	20	111301	1	71	4
6	2	0	20	111301	1	71	4
6	3	0	20	111301	1	71	4
6	4	0	20	111301	1	71	4
6	5	0	20	111301	1	71	4
6	6	0	20	111301	1	71	4
7	1	0	20	111301	1	73	4
7	2	0	20	111301	1	73	4
8	1	0	20	111301	1	85	4
8	2	0	20	111301	1	85	4
8	3	0	20	111301	1	85	4
8	4	0	20	111301	1	85	4
8	5	0	20	111301	1	85	4
8	6	0	20	111301	1	85	4
8	7	0	20	111301	1	85	4
8	8	0	20	111301	1	85	4
8	9	0	20	111301	1	85	4
8	10	0	20	111301	1	85	4
8	11	0	20	111301	1	85	4
8	12	0	20	111301	1	85	4
8	13	0	20	111301	1	85	4
8	14	0	20	111301	1	85	4
8	15	0	20	111301	1	85	4
8	16	0	20	111301	1	85	4
8	17	0	20	111301	1	85	4
8	18	0	18	111301	1	85	4
8	19	0	16	111301	0	85	4
8	20	0	18	111301	0	85	4
8	21	0	16	111301	0	85	4
8	22	0	18	111301	1	85	4
1	1	0	20	111301	1	10	5
1	2	0	20	111301	1	10	5
1	3	0	20	111301	1	10	5
1	4	0	20	111301	1	10	5
2	1	0	20	111301	1	21	5
2	2	0	20	111301	1	21	5
2	3	0	20	111301	1	21	5
2	4	0	18	111301	0	21	5
2	5	0	18	111301	1	21	5
2	6	0	18	111301	1	21	5
2	7	0	16	111301	0	21	5
2	8	0	18	111301	1	21	5
2	9	0	18	111301	1	21	5
2	10	0	18	111301	1	21	5
2	11	0	18	111301	1	21	5
2	12	0	18	111301	1	21	5
2	13	0	18	111301	1	21	5
2	14	0	18	111301	1	21	5
2	15	0	16	111301	0	21	5
2	16	0	18	111301	1	21	5
3	1	0	18	111301	1	34	5
3	2	0	20	111301	1	34	5
3	3	0	20	111301	1	34	5
4	1	0	20	111301	1	43	5
4	2	0	20	111301	1	43	5
4	3	0	20	111301	1	43	5
4	4	0	20	111301	1	43	5
4	5	0	20	111301	1	43	5
4	6	0	18	111301	0	43	5
4	7	0	18	111301	1	43	5
4	8	0	18	111301	1	43	5
4	9	0	18	111301	1	43	5
4	10	0	20	111301	1	43	5
4	11	0	20	111301	1	43	5
4	12	0	20	111301	1	43	5
4	13	0	20	111301	1	43	5
4	14	0	20	111301	1	43	5
4	15	0	18	111301	0	43	5
4	16	0	16	111301	0	43	5
5	1	0	20	111301	1	53	5
5	2	0	20	111301	1	53	5
5	3	0	20	111301	1	53	5
5	4	0	18	111301	0	53	5
5	5	0	18	111301	1	53	5
6	1	0	20	111301	1	68	5
6	2	0	20	111301	1	68	5
6	3	0	20	111301	1	68	5
6	4	0	20	111301	1	68	5
6	5	0	20	111301	1	68	5
6	6	0	20	111301	1	68	5
7	1	0	20	111301	1	79	5
