* Dictionary *
match:		match #
round:		round #
date:			session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
r:			payoff to joint cooperation, = {32, 40, 48}
delta:		continuation probability, = {1/2, 3/4}
coop:			= 1 if subject cooperated, = 0 o/w
group:		identifies subjects that were grouped together for a match
id:			id #, constant through session
**************

match	round	date	r	delta	coop	group	id
5	1	22206.2	32	.5	0	1892	36
5	2	22206.2	32	.5	0	1892	36
5	3	22206.2	32	.5	0	1892	36
5	4	22206.2	32	.5	0	1892	36
5	5	22206.2	32	.5	0	1892	36
5	1	22206.2	32	.5	1	1893	30
5	2	22206.2	32	.5	0	1893	30
5	3	22206.2	32	.5	0	1893	30
5	4	22206.2	32	.5	0	1893	30
5	5	22206.2	32	.5	0	1893	30
5	1	22206.2	32	.5	0	1893	38
5	2	22206.2	32	.5	0	1893	38
5	3	22206.2	32	.5	0	1893	38
5	4	22206.2	32	.5	0	1893	38
5	5	22206.2	32	.5	0	1893	38
5	1	22206.2	32	.5	0	1894	33
5	2	22206.2	32	.5	0	1894	33
5	3	22206.2	32	.5	0	1894	33
5	4	22206.2	32	.5	0	1894	33
5	5	22206.2	32	.5	0	1894	33
5	1	22206.2	32	.5	0	1894	44
5	2	22206.2	32	.5	0	1894	44
5	3	22206.2	32	.5	0	1894	44
5	4	22206.2	32	.5	0	1894	44
5	5	22206.2	32	.5	0	1894	44
5	1	22206.2	32	.5	1	1895	31
5	2	22206.2	32	.5	1	1895	31
5	3	22206.2	32	.5	0	1895	31
5	4	22206.2	32	.5	0	1895	31
5	5	22206.2	32	.5	0	1895	31
5	1	22206.2	32	.5	1	1895	39
5	2	22206.2	32	.5	0	1895	39
5	3	22206.2	32	.5	0	1895	39
5	4	22206.2	32	.5	0	1895	39
5	5	22206.2	32	.5	0	1895	39
5	1	22206.2	32	.5	0	1896	34
5	2	22206.2	32	.5	0	1896	34
5	3	22206.2	32	.5	0	1896	34
5	4	22206.2	32	.5	0	1896	34
5	5	22206.2	32	.5	0	1896	34
5	1	22206.2	32	.5	1	1896	43
5	2	22206.2	32	.5	0	1896	43
5	3	22206.2	32	.5	0	1896	43
5	4	22206.2	32	.5	0	1896	43
5	5	22206.2	32	.5	0	1896	43
5	1	22206.2	32	.5	0	1897	37
5	2	22206.2	32	.5	0	1897	37
5	3	22206.2	32	.5	0	1897	37
5	4	22206.2	32	.5	0	1897	37
5	5	22206.2	32	.5	0	1897	37
5	1	22206.2	32	.5	1	1897	41
5	2	22206.2	32	.5	0	1897	41
5	3	22206.2	32	.5	0	1897	41
5	4	22206.2	32	.5	0	1897	41
5	5	22206.2	32	.5	0	1897	41
5	1	22206.2	32	.5	0	1898	29
5	2	22206.2	32	.5	0	1898	29
5	3	22206.2	32	.5	0	1898	29
5	4	22206.2	32	.5	0	1898	29
5	5	22206.2	32	.5	0	1898	29
5	1	22206.2	32	.5	0	1898	42
5	2	22206.2	32	.5	0	1898	42
5	3	22206.2	32	.5	0	1898	42
5	4	22206.2	32	.5	0	1898	42
5	5	22206.2	32	.5	0	1898	42
6	1	22206.2	32	.5	0	1899	31
6	1	22206.2	32	.5	0	1899	34
6	1	22206.2	32	.5	1	1900	35
6	1	22206.2	32	.5	0	1900	44
6	1	22206.2	32	.5	0	1901	38
6	1	22206.2	32	.5	0	1901	41
6	1	22206.2	32	.5	0	1902	30
6	1	22206.2	32	.5	0	1902	39
6	1	22206.2	32	.5	0	1903	29
6	1	22206.2	32	.5	0	1903	33
6	1	22206.2	32	.5	0	1904	36
6	1	22206.2	32	.5	0	1904	37
6	1	22206.2	32	.5	1	1905	40
6	1	22206.2	32	.5	0	1905	43
6	1	22206.2	32	.5	0	1906	32
6	1	22206.2	32	.5	0	1906	42
7	1	22206.2	32	.5	0	1907	30
7	1	22206.2	32	.5	0	1907	34
7	1	22206.2	32	.5	1	1908	35
7	1	22206.2	32	.5	0	1908	36
7	1	22206.2	32	.5	1	1909	37
7	1	22206.2	32	.5	0	1909	43
7	1	22206.2	32	.5	0	1910	38
7	1	22206.2	32	.5	1	1910	39
7	1	22206.2	32	.5	0	1911	29
7	1	22206.2	32	.5	0	1911	41
7	1	22206.2	32	.5	0	1912	33
7	1	22206.2	32	.5	0	1912	42
7	1	22206.2	32	.5	1	1913	31
7	1	22206.2	32	.5	1	1913	40
7	1	22206.2	32	.5	0	1914	32
7	1	22206.2	32	.5	0	1914	44
8	1	22206.2	32	.5	0	1915	29
8	2	22206.2	32	.5	0	1915	29
8	3	22206.2	32	.5	0	1915	29
8	4	22206.2	32	.5	0	1915	29
8	5	22206.2	32	.5	0	1915	29
8	6	22206.2	32	.5	0	1915	29
8	7	22206.2	32	.5	0	1915	29
8	1	22206.2	32	.5	0	1915	34
8	2	22206.2	32	.5	0	1915	34
8	3	22206.2	32	.5	0	1915	34
8	4	22206.2	32	.5	0	1915	34
8	5	22206.2	32	.5	0	1915	34
8	6	22206.2	32	.5	0	1915	34
8	7	22206.2	32	.5	0	1915	34
8	1	22206.2	32	.5	0	1916	42
8	2	22206.2	32	.5	0	1916	42
8	3	22206.2	32	.5	0	1916	42
8	4	22206.2	32	.5	0	1916	42
8	5	22206.2	32	.5	0	1916	42
8	6	22206.2	32	.5	0	1916	42
8	7	22206.2	32	.5	0	1916	42
8	1	22206.2	32	.5	0	1916	43
8	2	22206.2	32	.5	0	1916	43
8	3	22206.2	32	.5	0	1916	43
8	4	22206.2	32	.5	0	1916	43
8	5	22206.2	32	.5	0	1916	43
8	6	22206.2	32	.5	0	1916	43
8	7	22206.2	32	.5	0	1916	43
8	1	22206.2	32	.5	0	1917	39
8	2	22206.2	32	.5	0	1917	39
8	3	22206.2	32	.5	0	1917	39
8	4	22206.2	32	.5	0	1917	39
8	5	22206.2	32	.5	0	1917	39
8	6	22206.2	32	.5	0	1917	39
8	7	22206.2	32	.5	0	1917	39
8	1	22206.2	32	.5	0	1917	41
8	2	22206.2	32	.5	0	1917	41
8	3	22206.2	32	.5	0	1917	41
8	4	22206.2	32	.5	0	1917	41
8	5	22206.2	32	.5	0	1917	41
8	6	22206.2	32	.5	0	1917	41
8	7	22206.2	32	.5	0	1917	41
8	1	22206.2	32	.5	0	1918	30
8	2	22206.2	32	.5	0	1918	30
8	3	22206.2	32	.5	0	1918	30
8	4	22206.2	32	.5	0	1918	30
8	5	22206.2	32	.5	0	1918	30
8	6	22206.2	32	.5	0	1918	30
8	7	22206.2	32	.5	0	1918	30
8	1	22206.2	32	.5	0	1918	32
8	2	22206.2	32	.5	0	1918	32
8	3	22206.2	32	.5	0	1918	32
8	4	22206.2	32	.5	0	1918	32
8	5	22206.2	32	.5	0	1918	32
8	6	22206.2	32	.5	0	1918	32
8	7	22206.2	32	.5	0	1918	32
8	1	22206.2	32	.5	0	1919	37
8	2	22206.2	32	.5	0	1919	37
8	3	22206.2	32	.5	0	1919	37
8	4	22206.2	32	.5	0	1919	37
8	5	22206.2	32	.5	0	1919	37
8	6	22206.2	32	.5	0	1919	37
8	7	22206.2	32	.5	0	1919	37
8	1	22206.2	32	.5	0	1919	38
8	2	22206.2	32	.5	0	1919	38
8	3	22206.2	32	.5	0	1919	38
8	4	22206.2	32	.5	0	1919	38
8	5	22206.2	32	.5	0	1919	38
8	6	22206.2	32	.5	0	1919	38
8	7	22206.2	32	.5	0	1919	38
8	1	22206.2	32	.5	0	1920	31
8	2	22206.2	32	.5	1	1920	31
8	3	22206.2	32	.5	1	1920	31
8	4	22206.2	32	.5	1	1920	31
8	5	22206.2	32	.5	0	1920	31
8	6	22206.2	32	.5	0	1920	31
8	7	22206.2	32	.5	0	1920	31
8	1	22206.2	32	.5	0	1920	36
8	2	22206.2	32	.5	0	1920	36
8	3	22206.2	32	.5	0	1920	36
8	4	22206.2	32	.5	0	1920	36
8	5	22206.2	32	.5	0	1920	36
8	6	22206.2	32	.5	0	1920	36
8	7	22206.2	32	.5	0	1920	36
8	1	22206.2	32	.5	0	1921	33
8	2	22206.2	32	.5	0	1921	33
8	3	22206.2	32	.5	0	1921	33
8	4	22206.2	32	.5	0	1921	33
8	5	22206.2	32	.5	0	1921	33
8	6	22206.2	32	.5	0	1921	33
8	7	22206.2	32	.5	0	1921	33
8	1	22206.2	32	.5	0	1921	44
8	2	22206.2	32	.5	0	1921	44
8	3	22206.2	32	.5	0	1921	44
8	4	22206.2	32	.5	0	1921	44
8	5	22206.2	32	.5	0	1921	44
8	6	22206.2	32	.5	0	1921	44
8	7	22206.2	32	.5	0	1921	44
8	1	22206.2	32	.5	0	1922	35
8	2	22206.2	32	.5	1	1922	35
8	3	22206.2	32	.5	0	1922	35
8	4	22206.2	32	.5	0	1922	35
8	5	22206.2	32	.5	0	1922	35
8	6	22206.2	32	.5	1	1922	35
8	7	22206.2	32	.5	1	1922	35
8	1	22206.2	32	.5	1	1922	40
8	2	22206.2	32	.5	0	1922	40
8	3	22206.2	32	.5	0	1922	40
8	4	22206.2	32	.5	0	1922	40
8	5	22206.2	32	.5	0	1922	40
8	6	22206.2	32	.5	1	1922	40
8	7	22206.2	32	.5	1	1922	40
9	1	22206.2	32	.5	0	1923	36
9	1	22206.2	32	.5	0	1923	43
9	1	22206.2	32	.5	1	1924	35
9	1	22206.2	32	.5	1	1924	40
9	1	22206.2	32	.5	0	1925	34
9	1	22206.2	32	.5	0	1925	44
9	1	22206.2	32	.5	0	1926	37
9	1	22206.2	32	.5	0	1926	41
9	1	22206.2	32	.5	0	1927	38
9	1	22206.2	32	.5	1	1927	39
9	1	22206.2	32	.5	0	1928	29
9	1	22206.2	32	.5	0	1928	32
9	1	22206.2	32	.5	1	1929	30
9	1	22206.2	32	.5	0	1929	33
9	1	22206.2	32	.5	0	1930	31
9	1	22206.2	32	.5	0	1930	42
10	1	22206.2	32	.5	0	1931	35
10	1	22206.2	32	.5	0	1931	41
10	1	22206.2	32	.5	0	1932	32
10	1	22206.2	32	.5	0	1932	43
10	1	22206.2	32	.5	0	1933	37
10	1	22206.2	32	.5	0	1933	42
10	1	22206.2	32	.5	0	1934	31
10	1	22206.2	32	.5	0	1934	44
10	1	22206.2	32	.5	0	1935	30
