* Dictionary *
date:       session date (month/day/year/*, * is a decimal to separate different sessions conducted on the same day)
random:     sessions with the same value of random had the same random termination sequence
treatment:	= 1 if RT, = 2 if D + RT, = 3 if BRT, = 4 if D + C (see paper for details) 
id:         id #, constant through session
match:      match #
round:      round #
group:      identifies subjects that were grouped together for a match
valid:      = 1 if round counts toward final payoffs and is not last, = 0 if round counts toward final payoff and is last, = -1 if round does not count towards final payoffs; except for treatment = 2 where it takes on value 0 when the random number > 0.75 and -1 afterward, even if the game continued because it was in the front loaded part with payoff discounting.
spe:        = 1 if joint cooperation can be supported in equilibrium; 0 o/w
coop:       = 1 if subject cooperated, = 0 o/w
**************

date	random	treatment	id	match	round	group	valid	spe	coop
110609.1	1	1	2	8	1	71	1	1	1
110609.1	1	1	2	8	2	71	1	1	1
110609.1	1	1	2	8	3	71	1	1	1
110609.1	1	1	2	8	4	71	1	1	1
110609.1	1	1	2	8	5	71	0	1	1
110609.1	1	1	2	9	1	82	1	1	1
110609.1	1	1	2	9	2	82	1	1	1
110609.1	1	1	2	9	3	82	1	1	1
110609.1	1	1	2	9	4	82	1	1	1
110609.1	1	1	2	9	5	82	1	1	1
110609.1	1	1	2	9	6	82	1	1	1
110609.1	1	1	2	9	7	82	1	1	1
110609.1	1	1	2	9	8	82	1	1	1
110609.1	1	1	2	9	9	82	0	1	1
110609.1	1	1	2	10	1	93	1	1	1
110609.1	1	1	2	10	2	93	0	1	1
110609.1	1	1	2	11	1	102	1	1	1
110609.1	1	1	2	11	2	102	1	1	1
110609.1	1	1	2	11	3	102	1	1	1
110609.1	1	1	2	11	4	102	1	1	1
110609.1	1	1	2	11	5	102	1	1	1
110609.1	1	1	2	11	6	102	1	1	1
110609.1	1	1	2	11	7	102	1	1	1
110609.1	1	1	2	11	8	102	1	1	1
110609.1	1	1	2	11	9	102	1	1	1
110609.1	1	1	2	11	10	102	0	1	1
110609.1	1	1	2	12	1	112	1	1	1
110609.1	1	1	2	12	2	112	1	1	1
110609.1	1	1	2	12	3	112	1	1	1
110609.1	1	1	2	12	4	112	1	1	1
110609.1	1	1	2	12	5	112	1	1	1
110609.1	1	1	2	12	6	112	1	1	1
110609.1	1	1	2	12	7	112	1	1	1
110609.1	1	1	2	12	8	112	1	1	1
110609.1	1	1	2	12	9	112	1	1	1
110609.1	1	1	2	12	10	112	0	1	1
110609.1	1	1	2	13	1	122	1	0	0
110609.1	1	1	2	13	2	122	1	0	0
110609.1	1	1	2	13	3	122	1	0	0
