**  Dictionary **

paper: Paper
session: unique session identifier

treatment: denotes the different treatments in the experiment
	Label of treatments are as follows
		BNL (baseline no lottery) -> Baseline
		BL (baseline lottery) -> Lottery
		C4530 and C6520 -> One Game (with corresponding a and b)
		5C4530 and 5C6520 -> Five Actions (with corresponding a and b)

period: period in session
fixed_id: subject identifier in session
partner_fixed_id: identifier in session of partner
a and b: payoff variables that change across games
game: # that denotes the 16 possible a and b combinations
action: = stag in all treatments but Five Actions where it goes from 1 to 5 (with 5 corresponding to stag)
o_action: action of partner in that period

*****


session,treatment,period,fixed_id,partner_fixed_id,a,b,game,action,o_action
103,BNL,1,9,10,25,30,3,1,0
103,BNL,1,9,10,45,10,5,1,0
103,BNL,1,9,10,85,10,13,1,0
103,BNL,1,9,10,45,20,6,1,0
103,BNL,1,9,10,65,10,9,1,0
103,BNL,1,9,10,25,40,4,1,0
103,BNL,1,9,10,85,40,16,1,1
103,BNL,1,9,10,65,30,11,1,0
103,BNL,1,9,10,25,10,1,1,0
103,BNL,1,9,10,85,30,15,1,0
103,BNL,1,9,10,45,40,8,1,1
103,BNL,1,9,10,65,40,12,1,1
103,BNL,1,9,10,65,20,10,1,0
103,BNL,1,10,9,25,30,3,0,1
103,BNL,1,10,9,45,10,5,0,1
103,BNL,1,10,9,85,20,14,0,1
103,BNL,1,10,9,25,40,4,0,1
103,BNL,1,10,9,65,10,9,0,1
103,BNL,1,10,9,65,20,10,0,1
103,BNL,1,10,9,45,20,6,0,1
103,BNL,1,10,9,85,30,15,0,1
103,BNL,1,10,9,85,10,13,0,1
103,BNL,1,10,9,65,40,12,1,1
103,BNL,1,10,9,45,40,8,1,1
103,BNL,1,10,9,65,30,11,0,1
103,BNL,1,10,9,25,10,1,0,1
103,BNL,1,10,9,45,30,7,0,1
103,BNL,1,10,9,85,40,16,1,1
103,BNL,1,10,9,25,20,2,0,1
103,BNL,1,11,12,45,10,5,0,0
103,BNL,1,11,12,45,20,6,0,0
103,BNL,1,11,12,85,30,15,0,0
103,BNL,1,11,12,65,30,11,0,0
103,BNL,1,11,12,25,40,4,1,0
103,BNL,1,11,12,65,10,9,1,0
103,BNL,1,11,12,85,20,14,1,0
103,BNL,1,11,12,65,20,10,0,0
103,BNL,1,11,12,85,40,16,1,1
103,BNL,1,11,12,25,30,3,0,1
103,BNL,1,11,12,65,40,12,1,1
103,BNL,1,11,12,25,10,1,0,1
103,BNL,1,11,12,45,40,8,1,1
103,BNL,1,11,12,45,30,7,1,0
103,BNL,1,11,12,85,10,13,0,0
103,BNL,1,11,12,25,20,2,0,1
103,BNL,1,12,11,25,10,1,1,0
103,BNL,1,12,11,25,20,2,1,0
103,BNL,1,12,11,25,30,3,1,0
103,BNL,1,12,11,85,10,13,0,0
103,BNL,1,12,11,65,30,11,0,0
103,BNL,1,12,11,85,40,16,1,1
103,BNL,1,12,11,65,40,12,1,1
103,BNL,1,12,11,45,20,6,0,0
103,BNL,1,12,11,85,30,15,0,0
103,BNL,1,12,11,65,10,9,0,1
103,BNL,1,12,11,45,40,8,1,1
103,BNL,1,12,11,45,30,7,0,1
103,BNL,1,12,11,85,20,14,0,1
103,BNL,1,12,11,45,10,5,0,0
103,BNL,1,12,11,65,20,10,0,0
103,BNL,1,12,11,25,40,4,0,1
103,BNL,1,13,14,45,20,6,1,0
103,BNL,1,13,14,45,30,7,1,0
103,BNL,1,13,14,45,10,5,1,0
103,BNL,1,13,14,25,10,1,1,0
103,BNL,1,13,14,85,10,13,1,0
103,BNL,1,13,14,65,30,11,1,0
103,BNL,1,13,14,25,30,3,1,0
103,BNL,1,13,14,85,20,14,1,0
103,BNL,1,13,14,65,20,10,1,0
103,BNL,1,13,14,65,40,12,1,0
103,BNL,1,13,14,65,10,9,1,0
103,BNL,1,13,14,25,40,4,1,0
103,BNL,1,13,14,25,20,2,1,0
103,BNL,1,13,14,45,40,8,1,0
103,BNL,1,13,14,85,30,15,1,0
103,BNL,1,13,14,85,40,16,1,0
103,BNL,1,14,13,85,30,15,0,1
103,BNL,1,14,13,45,10,5,0,1
103,BNL,1,14,13,25,20,2,0,1
103,BNL,1,14,13,65,20,10,0,1
103,BNL,1,14,13,45,30,7,0,1
103,BNL,1,14,13,25,40,4,0,1
103,BNL,1,14,13,45,40,8,0,1
103,BNL,1,14,13,85,20,14,0,1
103,BNL,1,14,13,85,10,13,0,1
103,BNL,1,14,13,45,20,6,0,1
103,BNL,1,14,13,25,10,1,0,1
