* Dictionary *
session:	session #
period:	period #
round:	round # within the period
id:		id #
position:	position in the network; 1:=s1, 2:=s2, 3:=b1, 4:=s3, 5:=s4, 6:=b2, 7:=b3
vote:		= 1 if the subjected accepted the best offer received, i.e. offer_1
by:		position of subject whose offer is accepted
payoff:	payoff in that round
V:		= 1 if subject is part of the V network, = 0 o/w
X:		= 1 if subject is part of the |X| network, = 0 o/w
N:		= 1 if subject is part of the N network, = 0 o/w
amount:	amount to be divided
offer:	amount offered
offer_1:	best offer received
offer_2:	second best offer received
offer_3:	worst offer received
accepted:	= 1 if offer was accepted, = 0 o/w
link_bt:	= 1 if there is a link from the bottom of the V (b1) to the top of the |X| or the N (s3), 0 o/w
link_tb:	= 1 if there is a link from the top of the V (s2) to the bottom of the |X| or the N (b2), 0 o/w
* Note that 10 observations from 5 periods have been changed after publication of the paper. These were recording mistakes.
**************

session	period	round	id	position	vote	by	payoff	V	X	N	amount	offer	offer_1	offer_2	offer_3	accepted	link_bt	link_tb
1	9	1	1	3	1	3	2151	1	0	0	2500		2151	2100	1250		1	0
1	9	1	3	4			1250	0	1	0	2500	1250				1	1	0
1	9	1	2	5			0	0	1	0	2500	1100				0	1	0
1	9	1	7	6	1	4	0	0	1	0	2500		1250	1100			1	0
1	9	1	5	7	1	4	1250	0	1	0	2500		1250	1100			1	0
1	9	2	2	5	1	6	1200	0	1	0	2400		1200				1	0
1	9	2	7	6			1200	0	1	0	2400	1200				1	1	0
1	10	1	6	1			300	1	0	0	2500	2200				1	1	0
1	10	1	1	2			200	1	0	0	2500	1600				0	1	0
1	10	1	4	3	1	1	2200	1	0	0	2500		2200	1600	1200		1	0
1	10	1	2	4			0	0	1	0	2500	1200				0	1	0
1	10	1	5	5			1300	0	1	0	2500	1200				1	1	0
1	10	1	3	6	0		0	0	1	0	2500		1200	1200		0	1	0
1	10	1	7	7	1	5	1200	0	1	0	2500		1200	1200			1	0
1	10	2	2	4	0		0	0	1	0	2400		1150			0	1	0
1	10	2	3	6			0	0	1	0	2400	1150				0	1	0
1	10	3	2	4			1150	0	1	0	2300	1150				1	1	0
1	10	3	3	6	1	4	1150	0	1	0	2300		1150				1	0
2	1	1	8	1			1200	1	0	0	2500	1300				1	0	0
2	1	1	11	2			200	1	0	0	2500	1275				0	0	0
2	1	1	13	3	1	1	1300	1	0	0	2500		1300	1275			0	0
2	1	1	9	4			1400	0	1	0	2500	1100				1	0	0
2	1	1	10	5			0	0	1	0	2500	700				0	0	0
2	1	1	12	6	1	4	1100	0	1	0	2500		1100	700			0	0
2	1	1	14	7	0		0	0	1	0	2500		1100	700		0	0	0
2	1	2	10	5	1	7	1200	0	1	0	2400		1200				0	0
2	1	2	14	7			1200	0	1	0	2400	1200				1	0	0
2	2	1	13	1			1100	1	0	0	2500	1400				1	0	0
2	2	1	8	2			200	1	0	0	2500	1300				0	0	0
2	2	1	11	3	1	1	1400	1	0	0	2500		1400	1300			0	0
2	2	1	12	4			1250	0	1	0	2500	1250				0	0	0
2	2	1	14	5			0	0	1	0	2500	1200				1	0	0
2	2	1	9	6	1	5	1250	0	1	0	2500		1250	1200			0	0
2	2	1	10	7	1	5	0	0	1	0	2500		1250	1200			0	0
2	2	2	14	5	1	7	1200	0	1	0	2400		1200				0	0
2	2	2	10	7			1200	0	1	0	2400	1200				1	0	0
2	3	1	11	1			200	1	0	0	2500	1400				0	0	0
2	3	1	13	2			1000	1	0	0	2500	1500				1	0	0
2	3	1	8	3	1	2	1500	1	0	0	2500		1500	1400			0	0
2	3	1	10	4			1200	0	1	0	2500	1300				1	0	0
2	3	1	9	5			0	0	1	0	2500	1200				0	0	0
2	3	1	14	6	1	4	1300	0	1	0	2500		1300	1200			0	0
2	3	1	12	7	1	4	0	0	1	0	2500		1300	1200			0	0
2	3	2	9	5	1	7	1200	0	1	0	2400		1200				0	0
