NOTE: A bug in the code of the experimental software used to run some of the early sessions led to a loss of data. This loss is reflected in the data file. The bug affected a small share of the data collected in the initial 12 sessions (out of 32 sessions in total), specifically 0.3% of sender-receiver interactions. 
Because of an integer problem, some subjects in some rounds observed the realization of an event that was supposed to have zero probability. Despite affecting a minimal number of interactions, we decided to discard not only the affected interactions, but also the subjects that participated in those interactions. This led to dropping about 6% of the total amount of data that we collected.

* Dictionary *
treatment:			treatment indicator.
verifiable:			= 1 if messages are verifiable, 0 o/w.
rho:				level of commitment in %, {20, 80, 100}.
session:			session identifier.
id:					unique subject identifier.
oid:				unique subject identifier for other subject in a match.
match:				match identifier.
role:				sender or receiver, {S, R}.
color:				= 1 if drawn ball is red, 0 o/w.
rred, rblue,...		First letter indicates ball color. Word that comes next is the color of the message. Indicates probability of that message for that state in commitment stage (in %).
revrred, ...		Same as above for revision stage.
rdec, bdec, ndec	Receiver guess (=1 if red, 0 o/w) when message is red, blue, or when there is no message.
message				-1 (no msg), 0 (blue msg), 1 (red msg).
**************


treatment	verifiable	rho	session	id	oid	match	role	color	rred	rblue	rnone	bred	bblue	bnone	revrred	revrblue	revrnone	revbred	revbblue	revbnone	rdec	bdec	ndec	message
"V20"	1	20	7	115	10	3	"R"	0	78	0	22	0	78	22				0	0	100	1	0	0	-1
"V20"	1	20	7	115	11	4	"R"	0	94	0	6	0	4	96				0	0	100	1	0	0	-1
"V20"	1	20	7	115	8	5	"R"	0	100	0	0	0	100	0				0	0	100	1	0	0	-1
"V20"	1	20	7	115	6	6	"R"	0	100	0	0	0	32	68				0	14	86	1	0	0	-1
"V20"	1	20	7	115	9	7	"R"	1	97	0	3	0	20	80	100	0	0				1	0	0	1
"V20"	1	20	7	115	7	8	"R"	0	0	0	100	0	70	30				0	25	75	1	0	0	-1
"V20"	1	20	7	115	12	9	"R"	0	0	0	100	0	0	100				0	68	32	1	0	0	0
"V20"	1	20	7	115	11	10	"R"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	115	8	11	"R"	1	100	0	0	0	100	0	100	0	0				1	0	0	1
"V20"	1	20	7	115	6	12	"R"	0	100	0	0	0	38	62				0	100	0	1	0	0	0
"V20"	1	20	7	115	9	13	"R"	1	100	0	0	0	21	79	100	0	0				1	0	0	1
"V20"	1	20	7	115	7	14	"R"	0	20	0	80	0	70	30				0	0	100	1	0	0	-1
"V20"	1	20	7	115	12	15	"R"	0	0	0	100	0	100	0				0	100	0	1	0	0	0
"V20"	1	20	7	115	15	16	"R"	1	100	0	0	0	100	0	100	0	0				1	0	0	1
"V20"	1	20	7	115	5	17	"R"	0	100	0	0	0	0	100				0	0	100	1	0	0	-1
"V20"	1	20	7	115	10	18	"R"	0	9	0	91	0	60	40				0	0	100	1	0	0	-1
"V20"	1	20	7	115	11	19	"R"	0	100	0	0	0	0	100				0	0	100	1	0	0	-1
"V20"	1	20	7	115	8	20	"R"	1	100	0	0	0	100	0	100	0	0				1	0	0	1
"V20"	1	20	7	115	6	21	"R"	0	100	0	0	0	100	0				0	100	0	1	0	0	0
"V20"	1	20	7	115	9	22	"R"	0	100	0	0	0	28	72				0	16	84	1	0	0	-1
"V20"	1	20	7	115	7	23	"R"	0	15	0	85	0	70	30				0	0	100	1	0	0	-1
"V20"	1	20	7	115	12	24	"R"	0	50	0	50	0	50	50				0	50	50	1	0	0	0
"V20"	1	20	7	115	15	25	"R"	1	32	0	68	0	32	68	100	0	0				1	0	0	1
"V20"	1	20	7	117	11	1	"R"	0	97	0	3	0	6	94				0	11	89	1	0	0	-1
"V20"	1	20	7	117	8	2	"R"	0	100	0	0	0	100	0				0	100	0	1	0	0	0
"V20"	1	20	7	117	6	3	"R"	0	63	0	37	0	23	77				0	34	66	1	0	0	0
"V20"	1	20	7	117	9	4	"R"	0	92	0	8	0	56	44				0	14	86	1	0	0	-1
"V20"	1	20	7	117	7	5	"R"	0	0	0	100	0	0	100				0	0	100	1	0	0	-1
"V20"	1	20	7	117	12	6	"R"	0	0	0	100	0	100	0				0	100	0	1	0	1	0
"V20"	1	20	7	117	15	7	"R"	0	49	0	51	0	54	46				0	98	2	1	0	1	0
"V20"	1	20	7	117	5	8	"R"	1	100	0	0	0	90	10	100	0	0				1	0	0	1
"V20"	1	20	7	117	10	9	"R"	0	82	0	18	0	24	76				0	0	100	1	0	0	-1
"V20"	1	20	7	117	12	10	"R"	0	63	0	37	0	32	68				0	73	27	1	0	0	0
"V20"	1	20	7	117	15	11	"R"	1	100	0	0	0	100	0	100	0	0				1	0	0	1
"V20"	1	20	7	117	5	12	"R"	0	100	0	0	0	100	0				0	0	100	1	0	0	-1
"V20"	1	20	7	117	10	13	"R"	0	0	0	100	0	50	50				0	0	100	1	0	1	-1
"V20"	1	20	7	117	11	14	"R"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	117	8	15	"R"	1	100	0	0	0	100	0	100	0	0				1	0	0	1
"V20"	1	20	7	117	6	16	"R"	0	100	0	0	0	28	72				0	84	16	1	0	0	0
"V20"	1	20	7	117	9	17	"R"	1	100	0	0	0	28	72	100	0	0				1	0	0	1
"V20"	1	20	7	117	7	18	"R"	0	0	0	100	0	70	30				0	0	100	1	0	1	-1
"V20"	1	20	7	117	8	19	"R"	1	100	0	0	0	100	0	100	0	0				1	0	0	1
"V20"	1	20	7	117	6	20	"R"	0	100	0	0	0	27	73				0	91	9	1	0	0	-1
"V20"	1	20	7	117	9	21	"R"	0	100	0	0	0	28	72				0	28	72	1	0	0	0
"V20"	1	20	7	117	7	22	"R"	0	0	0	100	0	50	50				0	0	100	1	0	0	0
"V20"	1	20	7	117	12	23	"R"	1	50	0	50	0	50	50	50	0	50				1	0	0	-1
"V20"	1	20	7	117	15	24	"R"	0	41	0	59	0	40	60				0	0	100	1	0	0	-1
"V20"	1	20	7	117	5	25	"R"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	118	9	1	"R"	0	87	0	13	0	21	79				0	17	83	1	0	0	-1
"V20"	1	20	7	118	7	2	"R"	0	100	0	0	0	75	25				0	61	39	1	0	0	0
"V20"	1	20	7	118	12	3	"R"	0	95	0	5	0	1	99				0	57	43	1	0	0	0
"V20"	1	20	7	118	15	4	"R"	1	100	0	0	0	100	0	100	0	0				1	0	0	1
"V20"	1	20	7	118	5	5	"R"	0	100	0	0	0	0	100				0	0	100	1	0	0	-1
"V20"	1	20	7	118	10	6	"R"	0	30	0	70	0	7	93				0	0	100	1	0	0	-1
"V20"	1	20	7	118	11	7	"R"	0	93	0	7	0	5	95				0	0	100	1	0	0	-1
"V20"	1	20	7	118	8	8	"R"	0	100	0	0	0	100	0				0	100	0	1	0	0	0
"V20"	1	20	7	118	6	9	"R"	1	100	0	0	0	9	91	100	0	0				1	0	0	1
"V20"	1	20	7	118	10	10	"R"	1	50	0	50	0	50	50	100	0	0				1	0	0	-1
"V20"	1	20	7	118	11	11	"R"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	118	8	12	"R"	0	100	0	0	0	100	0				0	0	100	1	0	0	-1
"V20"	1	20	7	118	6	13	"R"	0	100	0	0	0	100	0				0	100	0	1	0	0	0
"V20"	1	20	7	118	9	14	"R"	1	100	0	0	0	29	71	100	0	0				1	0	0	1
"V20"	1	20	7	118	7	15	"R"	0	20	0	80	0	70	30				0	0	100	1	0	0	-1
"V20"	1	20	7	118	12	16	"R"	0	2	0	98	0	100	0				0	31	69	1	0	0	-1
"V20"	1	20	7	118	15	17	"R"	0	100	0	0	0	100	0				0	0	100	1	0	0	-1
"V20"	1	20	7	118	5	18	"R"	0	100	0	0	0	0	100				0	0	100	1	0	0	-1
"V20"	1	20	7	118	10	19	"R"	1	25	0	75	0	54	46	100	0	0				1	0	0	1
"V20"	1	20	7	118	11	20	"R"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	118	8	21	"R"	1	100	0	0	0	100	0	100	0	0				1	0	0	1
"V20"	1	20	7	118	6	22	"R"	0	100	0	0	0	21	79				0	0	100	1	0	0	-1
"V20"	1	20	7	118	9	23	"R"	1	100	0	0	0	28	72	100	0	0				1	0	0	1
"V20"	1	20	7	118	7	24	"R"	0	25	0	75	0	75	25				0	0	100	1	0	0	-1
"V20"	1	20	7	118	12	25	"R"	0	48	0	52	0	61	39				0	42	58	1	0	0	0
"V20"	1	20	7	119	5	1	"R"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	119	10	2	"R"	0	75	0	25	0	33	67				0	90	10	1	0	0	-1
"V20"	1	20	7	119	11	3	"R"	1	10	0	90	0	7	93	100	0	0				1	0	0	1
"V20"	1	20	7	119	8	4	"R"	0	100	0	0	0	100	0				0	100	0	1	0	0	0
"V20"	1	20	7	119	6	5	"R"	0	62	0	38	0	100	0				0	23	77	1	0	0	0
"V20"	1	20	7	119	9	6	"R"	1	100	0	0	0	96	4	100	0	0				1	0	0	1
"V20"	1	20	7	119	7	7	"R"	0	0	0	100	0	75	25				0	0	100	1	0	0	-1
"V20"	1	20	7	119	12	8	"R"	0	0	0	100	0	100	0				0	100	0	1	0	0	0
"V20"	1	20	7	119	15	9	"R"	1	50	0	50	0	50	50	100	0	0				1	0	0	1
"V20"	1	20	7	119	5	10	"R"	1	100	0	0	0	100	0	100	0	0				1	0	0	1
"V20"	1	20	7	119	10	11	"R"	0	100	0	0	0	50	50				0	0	100	1	0	0	-1
"V20"	1	20	7	119	11	12	"R"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	119	8	13	"R"	0	100	0	0	0	100	0				0	0	100	1	0	0	-1
"V20"	1	20	7	119	6	14	"R"	0	100	0	0	0	100	0				0	0	100	1	0	0	-1
"V20"	1	20	7	119	9	15	"R"	1	100	0	0	0	28	72	100	0	0				1	0	0	1
"V20"	1	20	7	119	7	16	"R"	1	10	0	90	0	75	25	100	0	0				1	0	0	1
"V20"	1	20	7	119	12	17	"R"	1	0	0	100	0	100	0	0	0	100				1	0	0	-1
"V20"	1	20	7	119	15	18	"R"	1	0	0	100	0	55	45	100	0	0				1	0	0	1
"V20"	1	20	7	119	9	19	"R"	1	100	0	0	0	28	72	100	0	0				1	0	0	1
"V20"	1	20	7	119	7	20	"R"	0	0	0	100	0	70	30				0	0	100	1	0	0	-1
"V20"	1	20	7	119	12	21	"R"	0	0	0	100	0	100	0				0	51	49	1	0	1	-1
"V20"	1	20	7	119	15	22	"R"	0	100	0	0	0	98	2				0	0	100	1	0	0	-1
"V20"	1	20	7	119	5	23	"R"	1	100	0	0	0	74	26	100	0	0				1	0	0	1
"V20"	1	20	7	119	10	24	"R"	0	20	0	80	0	50	50				0	0	100	1	0	0	-1
"V20"	1	20	7	119	11	25	"R"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	120	12	1	"R"	0	36	0	64	0	92	8				0	36	64	0	0	0	0
"V20"	1	20	7	120	15	2	"R"	0	0	0	100	0	0	100				0	0	100	1	0	0	-1
"V20"	1	20	7	120	5	3	"R"	0	100	0	0	0	0	100				0	0	100	1	0	0	-1
"V20"	1	20	7	120	10	4	"R"	1	79	0	21	0	15	85	99	0	1				0	0	0	1
"V20"	1	20	7	120	11	5	"R"	1	18	0	82	0	25	75	100	0	0				0	0	0	-1
"V20"	1	20	7	120	8	6	"R"	0	100	0	0	0	100	0				0	0	100	1	0	0	0
"V20"	1	20	7	120	6	7	"R"	0	92	0	8	0	45	55				0	32	68	1	0	0	-1
"V20"	1	20	7	120	9	8	"R"	1	100	0	0	0	52	48	100	0	0				1	0	0	1
"V20"	1	20	7	120	7	9	"R"	0	10	0	90	0	75	25				0	15	85	0	0	0	-1
"V20"	1	20	7	120	6	10	"R"	0	100	0	0	0	56	44				0	74	26	0	0	0	-1
"V20"	1	20	7	120	9	11	"R"	1	100	0	0	0	25	75	100	0	0				1	0	0	1
"V20"	1	20	7	120	7	12	"R"	1	35	0	65	0	75	25	100	0	0				1	0	0	1
"V20"	1	20	7	120	12	13	"R"	0	0	0	100	0	100	0				0	100	0	0	0	0	0
"V20"	1	20	7	120	15	14	"R"	1	0	0	100	0	0	100	100	0	0				1	0	0	-1
"V20"	1	20	7	120	5	15	"R"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	120	10	16	"R"	1	8	0	92	0	60	40	100	0	0				1	0	0	-1
"V20"	1	20	7	120	11	17	"R"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	120	8	18	"R"	0	100	0	0	0	100	0				0	100	0	1	0	0	0
"V20"	1	20	7	120	5	19	"R"	0	100	0	0	0	74	26				0	0	100	1	0	0	-1
"V20"	1	20	7	120	10	20	"R"	1	28	0	72	0	57	43	100	0	0				1	0	0	1
"V20"	1	20	7	120	11	21	"R"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	120	8	22	"R"	0	100	0	0	0	100	0				0	0	100	1	0	0	-1
