* Dictionary *
session: Unique session identifier, From 1 to 3.
round: Number of round. 18 Rounds per session.
stage: Number of stage within round. An additional stage is required if the group did not reach an agreement in the previous stage.
group: Group each subject belongs to.
id: Unique subject identifier (identifies subject across sessions) >= 1
delta: discount value. Could be 0, 0.2, 0.4, 0.6, 0.8 or 1. For one of the 3 blocks of 6 rounds in the experiment the values of delta are randomly chosen.
budget: Total budget to be allocated.
budget_next: budget to be allocated next stage if proposal fails
subject: number of the subject within a group: from 1 to 3.
b1 b2 b3: proposals as submitted by subjets. b1 is the amount allocated to subject with subject number 1 and so on.
sb1, sb2, sb3: share proposed, = bX/money available, [0,1].
computer: whether the proposer will be replaced by a computer (takes value 1) or not (takes value 0)
choice: if the computer makes a proposal choice codifies the type of proposal to be made.
   1: Egalitarian,
   2: Baron and Ferejohn SPE,
   3: Quasi BF. Proposer gets something between BF and egalitarian. Another member gets the difference,
   4: Non Minimum Winning coalition Proposer gets something between BF and half of the budget.
      Another two member split the difference equally,
   5: totally random
proposer: 1 if subject is the proposer, 0 otherwise.
p1 p2 p3: proposal submitted for voting. p1 is the amount allocated to subject with subject number 1 and so on.
sp1, sp2, sp3: share voted on, pX/money available, [0,1].
belief: answer to how likely do you think it is that the proposal comes from a computer? (-1 if Round is 6 or less, between 0 and 100 for Rounds 7 onwards) (Only for Stage 1, Stage 2 onwards equals -1)
vote: 1 if subject voted in favor, 0 if voted against
pass: 1 if proposal received a simple majority of votes
profit: profit made by the subject in the stage.
s_floor: share the subject is offered in the proposal on the floor, [0,1]
prop_s_floor: share to the proposer in the proposal on the floor, [0,1]
prop_s: share a subject offered for himself, [0,1]
high_s: highest offered share excluding the proposer, [0,1]
low_s: lowest offered share excluding the proposer, [0,1]
high_s_floor: highest offered share on the floor excluding the proposer, [0,1]
low_s_floor: lowest offered share on the floor excluding the proposer, [0,1]
mwc: = 1 if subject offered a MWC, 0 o/w.
mwc_floor: = 1 if proposal on the floor is a MWC, 0 o/w.
rmwc: = 1 if subject offered a Relaxed MWC, excluded member gets 10% of budget or less
rmwc_floor: = 1 if proposal on the floor is a Relaxed MWC, excluded member gets 10% of budget or less
equal = 1 if budget divided equally among members
**************

session,round,stage,group,id,subject,delta,budget,budget_next,b1,b2,b3,sb1,sb2,sb3,computer,choice,proposer,p1,p2,p3,sp1,sp2,sp3,belief,vote,pass,profit,s_floor,prop_s_floor,prop_s,high_s,low_s,mwc,mwc_floor,rmwc,rmwc_floor,high_s_floor,low_s_floor,equal
101215_1457,2,1,1,4,2,0,30,0,8.5,13,8.5,.28333333,.43333334,.28333333,0,4,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.43333334,.28333333,.28333333,0,0,0,0,.33333334,.33333334,0
101215_1457,2,1,1,5,3,0,30,0,15,0,15,.5,0,.5,0,4,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.5,.5,0,1,0,1,0,.33333334,.33333334,0
101215_1457,2,1,2,10,1,0,30,0,10,10,10,.33333334,.33333334,.33333334,0,1,1,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.33333334,1
101215_1457,2,1,2,18,2,0,30,0,11,19,0,.36666667,.63333333,0,0,1,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.63333333,.36666667,0,1,0,1,0,.33333334,.33333334,0
101215_1457,2,1,2,1,3,0,30,0,0,15,15,0,.5,.5,0,1,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.5,.5,0,1,0,1,0,.33333334,.33333334,0
101215_1457,2,1,3,6,1,0,30,0,12,9,9,.40000001,.30000001,.30000001,0,5,1,12,9,9,.40000001,.30000001,.30000001,-1,1,1,12,.40000001,.40000001,.40000001,.30000001,.30000001,0,0,0,0,.30000001,.30000001,0
101215_1457,2,1,3,16,2,0,30,0,11,18,1,.36666667,.60000002,.033333335,0,5,0,12,9,9,.40000001,.30000001,.30000001,-1,1,1,9,.30000001,.40000001,.60000002,.36666667,.033333335,0,0,1,0,.30000001,.30000001,0
101215_1457,2,1,3,8,3,0,30,0,10,10,10,.33333334,.33333334,.33333334,0,5,0,12,9,9,.40000001,.30000001,.30000001,-1,1,1,9,.30000001,.40000001,.33333334,.33333334,.33333334,0,0,0,0,.30000001,.30000001,1
101215_1457,2,1,4,17,1,0,30,0,25,5,0,.83333331,.16666667,0,1,3,1,17.6,12.4,0,.5866667,.41333333,0,-1,1,1,17.6,.5866667,.5866667,.83333331,.16666667,0,1,1,1,1,.41333333,0,0
101215_1457,2,1,4,3,2,0,30,0,10,10,10,.33333334,.33333334,.33333334,1,3,0,17.6,12.4,0,.5866667,.41333333,0,-1,1,1,12.4,.41333333,.5866667,.33333334,.33333334,.33333334,0,1,0,1,.41333333,0,1
101215_1457,2,1,4,9,3,0,30,0,10,10,10,.33333334,.33333334,.33333334,1,3,0,17.6,12.4,0,.5866667,.41333333,0,-1,0,1,0,0,.5866667,.33333334,.33333334,.33333334,0,1,0,1,.41333333,0,1
101215_1457,2,1,5,14,1,0,30,0,12,13,5,.40000001,.43333334,.16666667,1,2,1,30,0,0,1,0,0,-1,1,0,0,1,1,.40000001,.43333334,.16666667,0,1,0,1,0,0,0
101215_1457,2,1,5,11,2,0,30,0,10,10,10,.33333334,.33333334,.33333334,1,2,0,30,0,0,1,0,0,-1,0,0,0,0,1,.33333334,.33333334,.33333334,0,1,0,1,0,0,1
101215_1457,2,1,5,7,3,0,30,0,10,11,9,.33333334,.36666667,.30000001,1,2,0,30,0,0,1,0,0,-1,0,0,0,0,1,.30000001,.36666667,.33333334,0,1,0,1,0,0,0
101215_1457,2,1,6,13,1,0,30,0,15,15,0,.5,.5,0,0,3,1,15,15,0,.5,.5,0,-1,1,1,15,.5,.5,.5,.5,0,1,1,1,1,.5,0,0
101215_1457,2,1,6,2,2,0,30,0,14,16,0,.46666667,.53333336,0,0,3,0,15,15,0,.5,.5,0,-1,1,1,15,.5,.5,.53333336,.46666667,0,1,1,1,1,.5,0,0
101215_1457,2,1,6,12,3,0,30,0,11,0,19,.36666667,0,.63333333,0,3,0,15,15,0,.5,.5,0,-1,0,1,0,0,.5,.63333333,.36666667,0,1,1,1,1,.5,0,0
101215_1457,3,1,1,5,1,.60000002,30,18,15,15,0,.5,.5,0,0,2,0,15,0,15,.5,0,.5,-1,1,1,15,.5,.5,.5,.5,0,1,1,1,1,.5,0,0
101215_1457,3,1,1,7,2,.60000002,30,18,10,9,11,.33333334,.30000001,.36666667,0,2,0,15,0,15,.5,0,.5,-1,0,1,0,0,.5,.30000001,.36666667,.33333334,0,1,0,1,.5,0,0
101215_1457,3,1,1,9,3,.60000002,30,18,15,0,15,.5,0,.5,0,2,1,15,0,15,.5,0,.5,-1,1,1,15,.5,.5,.5,.5,0,1,1,1,1,.5,0,0
101215_1457,3,1,2,11,1,.60000002,30,18,10,10,10,.33333334,.33333334,.33333334,0,5,0,0,11,19,0,.36666667,.63333333,-1,0,1,0,0,.63333333,.33333334,.33333334,.33333334,0,1,0,1,.36666667,0,1
101215_1457,3,1,2,16,2,.60000002,30,18,12,18,0,.40000001,.60000002,0,0,5,0,0,11,19,0,.36666667,.63333333,-1,1,1,11,.36666667,.63333333,.60000002,.40000001,0,1,1,1,1,.36666667,0,0
101215_1457,3,1,2,12,3,.60000002,30,18,0,11,19,0,.36666667,.63333333,0,5,1,0,11,19,0,.36666667,.63333333,-1,1,1,19,.63333333,.63333333,.63333333,.36666667,0,1,1,1,1,.36666667,0,0
101215_1457,3,1,3,2,1,.60000002,30,18,16,14,0,.53333336,.46666667,0,0,3,0,15,0,15,.5,0,.5,-1,1,1,15,.5,.5,.53333336,.46666667,0,1,1,1,1,.5,0,0
101215_1457,3,1,3,14,2,.60000002,30,18,11,11,8,.36666667,.36666667,.26666668,0,3,0,15,0,15,.5,0,.5,-1,0,1,0,0,.5,.36666667,.36666667,.26666668,0,1,0,1,.5,0,0
101215_1457,3,1,3,3,3,.60000002,30,18,15,0,15,.5,0,.5,0,3,1,15,0,15,.5,0,.5,-1,1,1,15,.5,.5,.5,.5,0,1,1,1,1,.5,0,0
101215_1457,3,1,4,15,1,.60000002,30,18,10,10,10,.33333334,.33333334,.33333334,1,1,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.33333334,1
101215_1457,3,1,4,8,2,.60000002,30,18,7.5,15,7.5,.25,.5,.25,1,1,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.5,.25,.25,0,0,0,0,.33333334,.33333334,0
101215_1457,3,1,4,18,3,.60000002,30,18,11,0,19,.36666667,0,.63333333,1,1,1,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.63333333,.36666667,0,1,0,1,0,.33333334,.33333334,0
101215_1457,3,1,5,6,1,.60000002,30,18,12,9,9,.40000001,.30000001,.30000001,1,1,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.40000001,.30000001,.30000001,0,0,0,0,.33333334,.33333334,0
101215_1457,3,1,5,1,2,.60000002,30,18,15,15,0,.5,.5,0,1,1,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.5,.5,0,1,0,1,0,.33333334,.33333334,0
101215_1457,3,1,5,4,3,.60000002,30,18,9,9,12,.30000001,.30000001,.40000001,1,1,1,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.40000001,.30000001,.30000001,0,0,0,0,.33333334,.33333334,0
101215_1457,3,1,6,17,1,.60000002,30,18,15,15,0,.5,.5,0,0,3,0,14,0,16,.46666667,0,.53333336,-1,1,1,14,.46666667,.53333336,.5,.5,0,1,1,1,1,.46666667,0,0
101215_1457,3,1,6,10,2,.60000002,30,18,9,12,9,.30000001,.40000001,.30000001,0,3,0,14,0,16,.46666667,0,.53333336,-1,0,1,0,0,.53333336,.40000001,.30000001,.30000001,0,1,0,1,.46666667,0,0
