* Dictionary *
session: Unique session identifier, From 1 to 3.
round: Number of round. 18 Rounds per session.
stage: Number of stage within round. An additional stage is required if the group did not reach an agreement in the previous stage.
group: Group each subject belongs to.
id: Unique subject identifier (identifies subject across sessions) >= 1
delta: discount value. Could be 0, 0.2, 0.4, 0.6, 0.8 or 1. For one of the 3 blocks of 6 rounds in the experiment the values of delta are randomly chosen.
budget: Total budget to be allocated.
budget_next: budget to be allocated next stage if proposal fails
subject: number of the subject within a group: from 1 to 3.
b1 b2 b3: proposals as submitted by subjets. b1 is the amount allocated to subject with subject number 1 and so on.
sb1, sb2, sb3: share proposed, = bX/money available, [0,1].
computer: whether the proposer will be replaced by a computer (takes value 1) or not (takes value 0)
choice: if the computer makes a proposal choice codifies the type of proposal to be made.
   1: Egalitarian,
   2: Baron and Ferejohn SPE,
   3: Quasi BF. Proposer gets something between BF and egalitarian. Another member gets the difference,
   4: Non Minimum Winning coalition Proposer gets something between BF and half of the budget.
      Another two member split the difference equally,
   5: totally random
proposer: 1 if subject is the proposer, 0 otherwise.
p1 p2 p3: proposal submitted for voting. p1 is the amount allocated to subject with subject number 1 and so on.
sp1, sp2, sp3: share voted on, pX/money available, [0,1].
belief: answer to how likely do you think it is that the proposal comes from a computer? (-1 if Round is 6 or less, between 0 and 100 for Rounds 7 onwards) (Only for Stage 1, Stage 2 onwards equals -1)
vote: 1 if subject voted in favor, 0 if voted against
pass: 1 if proposal received a simple majority of votes
profit: profit made by the subject in the stage.
s_floor: share the subject is offered in the proposal on the floor, [0,1]
prop_s_floor: share to the proposer in the proposal on the floor, [0,1]
prop_s: share a subject offered for himself, [0,1]
high_s: highest offered share excluding the proposer, [0,1]
low_s: lowest offered share excluding the proposer, [0,1]
high_s_floor: highest offered share on the floor excluding the proposer, [0,1]
low_s_floor: lowest offered share on the floor excluding the proposer, [0,1]
mwc: = 1 if subject offered a MWC, 0 o/w.
mwc_floor: = 1 if proposal on the floor is a MWC, 0 o/w.
rmwc: = 1 if subject offered a Relaxed MWC, excluded member gets 10% of budget or less
rmwc_floor: = 1 if proposal on the floor is a Relaxed MWC, excluded member gets 10% of budget or less
equal = 1 if budget divided equally among members
**************

session,round,stage,group,id,subject,delta,budget,budget_next,b1,b2,b3,sb1,sb2,sb3,computer,choice,proposer,p1,p2,p3,sp1,sp2,sp3,belief,vote,pass,profit,s_floor,prop_s_floor,prop_s,high_s,low_s,mwc,mwc_floor,rmwc,rmwc_floor,high_s_floor,low_s_floor,equal
101215_1457,14,1,3,10,3,0,30,0,10,10,10,.33333334,.33333334,.33333334,0,5,0,10,12,8,.33333334,.40000001,.26666668,.5,1,1,8,.26666668,.40000001,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.26666668,1
101215_1457,14,1,4,9,1,0,30,0,15,15,0,.5,.5,0,0,3,0,10,20,0,.33333334,.66666669,0,.5,1,1,10,.33333334,.66666669,.5,.5,0,1,1,1,1,.33333334,0,0
101215_1457,14,1,4,18,2,0,30,0,10,20,0,.33333334,.66666669,0,0,3,1,10,20,0,.33333334,.66666669,0,0,1,1,20,.66666669,.66666669,.66666669,.33333334,0,1,1,1,1,.33333334,0,0
101215_1457,14,1,4,11,3,0,30,0,2.5,2.5,25,.083333336,.083333336,.83333331,0,3,0,10,20,0,.33333334,.66666669,0,1,1,1,0,0,.66666669,.83333331,.083333336,.083333336,0,1,1,1,.33333334,0,0
101215_1457,14,1,5,17,1,0,30,0,29,.5,.5,.96666664,.016666668,.016666668,0,2,0,1,28,1,.033333335,.93333334,.033333335,0,0,1,1,.033333335,.93333334,.96666664,.016666668,.016666668,0,0,1,1,.033333335,.033333335,0
101215_1457,14,1,5,12,2,0,30,0,1,28,1,.033333335,.93333334,.033333335,0,2,1,1,28,1,.033333335,.93333334,.033333335,0,1,1,28,.93333334,.93333334,.93333334,.033333335,.033333335,0,0,1,1,.033333335,.033333335,0
101215_1457,14,1,5,15,3,0,30,0,5,5,20,.16666667,.16666667,.66666669,0,2,0,1,28,1,.033333335,.93333334,.033333335,.99000001,1,1,1,.033333335,.93333334,.66666669,.16666667,.16666667,0,0,0,1,.033333335,.033333335,0
101215_1457,14,1,6,4,1,0,30,0,15,7.5,7.5,.5,.25,.25,0,5,0,14,16,0,.46666667,.53333336,0,.85000002,1,1,14,.46666667,.53333336,.5,.25,.25,0,1,0,1,.46666667,0,0
101215_1457,14,1,6,3,2,0,30,0,14,16,0,.46666667,.53333336,0,0,5,1,14,16,0,.46666667,.53333336,0,.050000001,1,1,16,.53333336,.53333336,.53333336,.46666667,0,1,1,1,1,.46666667,0,0
101215_1457,14,1,6,5,3,0,30,0,8,8,14,.26666668,.26666668,.46666667,0,5,0,14,16,0,.46666667,.53333336,0,0,1,1,0,0,.53333336,.46666667,.26666668,.26666668,0,1,0,1,.46666667,0,0
101215_1457,15,1,1,1,1,.80000001,30,24,17,13,0,.56666666,.43333334,0,0,4,0,5,20,5,.16666667,.66666669,.16666667,1,0,0,0,.16666667,.66666669,.56666666,.43333334,0,1,0,1,0,.16666667,.16666667,0
101215_1457,15,1,1,11,2,.80000001,30,24,5,20,5,.16666667,.66666669,.16666667,0,4,1,5,20,5,.16666667,.66666669,.16666667,1,1,0,0,.66666669,.66666669,.66666669,.16666667,.16666667,0,0,0,0,.16666667,.16666667,0
101215_1457,15,1,1,6,3,.80000001,30,24,15,0,15,.5,0,.5,0,4,0,5,20,5,.16666667,.66666669,.16666667,0,0,0,0,.16666667,.66666669,.5,.5,0,1,0,1,0,.16666667,.16666667,0
101215_1457,15,1,2,13,1,.80000001,30,24,17,13,0,.56666666,.43333334,0,0,3,0,8,14,8,.26666668,.46666667,.26666668,.5,0,0,0,.26666668,.46666667,.56666666,.43333334,0,1,0,1,0,.26666668,.26666668,0
101215_1457,15,1,2,5,2,.80000001,30,24,8,14,8,.26666668,.46666667,.26666668,0,3,1,8,14,8,.26666668,.46666667,.26666668,0,1,0,0,.46666667,.46666667,.46666667,.26666668,.26666668,0,0,0,0,.26666668,.26666668,0
101215_1457,15,1,2,14,3,.80000001,30,24,15,0,15,.5,0,.5,0,3,0,8,14,8,.26666668,.46666667,.26666668,.5,0,0,0,.26666668,.46666667,.5,.5,0,1,0,1,0,.26666668,.26666668,0
101215_1457,15,1,3,3,1,.80000001,30,24,17,13,0,.56666666,.43333334,0,0,3,0,8,14,8,.26666668,.46666667,.26666668,.25,1,1,8,.26666668,.46666667,.56666666,.43333334,0,1,0,1,0,.26666668,.26666668,0
101215_1457,15,1,3,8,2,.80000001,30,24,8,14,8,.26666668,.46666667,.26666668,0,3,1,8,14,8,.26666668,.46666667,.26666668,.5,1,1,14,.46666667,.46666667,.46666667,.26666668,.26666668,0,0,0,0,.26666668,.26666668,0
101215_1457,15,1,3,4,3,.80000001,30,24,10,10,10,.33333334,.33333334,.33333334,0,3,0,8,14,8,.26666668,.46666667,.26666668,.5,1,1,8,.26666668,.46666667,.33333334,.33333334,.33333334,0,0,0,0,.26666668,.26666668,1
101215_1457,15,1,4,2,1,.80000001,30,24,12,10,8,.40000001,.33333334,.26666668,0,2,0,11,19,0,.36666667,.63333333,0,.54000002,0,0,0,.36666667,.63333333,.40000001,.33333334,.26666668,0,1,0,1,.36666667,0,0
101215_1457,15,1,4,12,2,.80000001,30,24,11,19,0,.36666667,.63333333,0,0,2,1,11,19,0,.36666667,.63333333,0,.1,1,0,0,.63333333,.63333333,.63333333,.36666667,0,1,1,1,1,.36666667,0,0
101215_1457,15,1,4,10,3,.80000001,30,24,10,10,10,.33333334,.33333334,.33333334,0,2,0,11,19,0,.36666667,.63333333,0,.30000001,0,0,0,0,.63333333,.33333334,.33333334,.33333334,0,1,0,1,.36666667,0,1
101215_1457,15,1,5,7,1,.80000001,30,24,15,13,2,.5,.43333334,.06666667,0,2,0,15,15,0,.5,.5,0,.80000001,1,1,15,.5,.5,.5,.43333334,.06666667,0,1,1,1,.5,0,0
101215_1457,15,1,5,9,2,.80000001,30,24,15,15,0,.5,.5,0,0,2,1,15,15,0,.5,.5,0,.75,1,1,15,.5,.5,.5,.5,0,1,1,1,1,.5,0,0
101215_1457,15,1,5,17,3,.80000001,30,24,0,15,15,0,.5,.5,0,2,0,15,15,0,.5,.5,0,0,0,1,0,0,.5,.5,.5,0,1,1,1,1,.5,0,0
101215_1457,15,1,6,15,1,.80000001,30,24,15,0,15,.5,0,.5,0,1,0,10,19,1,.33333334,.63333333,.033333335,.99000001,1,1,10,.33333334,.63333333,.5,.5,0,1,0,1,1,.33333334,.033333335,0
101215_1457,15,1,6,18,2,.80000001,30,24,10,19,1,.33333334,.63333333,.033333335,0,1,1,10,19,1,.33333334,.63333333,.033333335,0,1,1,19,.63333333,.63333333,.63333333,.33333334,.033333335,0,0,1,1,.33333334,.033333335,0
101215_1457,15,1,6,16,3,.80000001,30,24,11,1,18,.36666667,.033333335,.60000002,0,1,0,10,19,1,.33333334,.63333333,.033333335,0,0,1,1,.033333335,.63333333,.60000002,.36666667,.033333335,0,0,1,1,.33333334,.033333335,0
101215_1457,15,2,1,1,1,.80000001,24,19.200001,12,12,0,.5,.5,0,0,1,1,12,12,0,.5,.5,0,-1,1,1,12,.5,.5,.5,.5,0,1,1,1,1,.5,0,0
101215_1457,15,2,1,11,2,.80000001,24,19.200001,4,15,5,.16666667,.625,.20833333,0,1,0,12,12,0,.5,.5,0,-1,1,1,12,.5,.5,.625,.20833333,.16666667,0,1,0,1,.5,0,0
101215_1457,15,2,1,6,3,.80000001,24,19.200001,12,0,12,.5,0,.5,0,1,0,12,12,0,.5,.5,0,-1,0,1,0,0,.5,.5,.5,0,1,1,1,1,.5,0,0
101215_1457,15,2,2,13,1,.80000001,24,19.200001,14,10,0,.58333331,.41666666,0,0,4,1,14,10,0,.58333331,.41666666,0,-1,1,1,14,.58333331,.58333331,.58333331,.41666666,0,1,1,1,1,.41666666,0,0
101215_1457,15,2,2,5,2,.80000001,24,19.200001,12,12,0,.5,.5,0,0,4,0,14,10,0,.58333331,.41666666,0,-1,1,1,10,.41666666,.58333331,.5,.5,0,1,1,1,1,.41666666,0,0
101215_1457,15,2,2,14,3,.80000001,24,19.200001,12,0,12,.5,0,.5,0,4,0,14,10,0,.58333331,.41666666,0,-1,0,1,0,0,.58333331,.5,.5,0,1,1,1,1,.41666666,0,0
101215_1457,15,2,4,2,1,.80000001,24,19.200001,10,9.1999998,4.8000002,.41666666,.38333333,.2,0,5,1,10,9.1999998,4.8000002,.41666666,.38333333,.2,-1,1,1,10,.41666666,.41666666,.41666666,.38333333,.2,0,0,0,0,.38333333,.2,0
101215_1457,15,2,4,12,2,.80000001,24,19.200001,0,14,10,0,.58333331,.41666666,0,5,0,10,9.1999998,4.8000002,.41666666,.38333333,.2,-1,1,1,9.1999998,.38333333,.41666666,.58333331,.41666666,0,1,0,1,0,.38333333,.2,0
101215_1457,15,2,4,10,3,.80000001,24,19.200001,8,8,8,.33333334,.33333334,.33333334,0,5,0,10,9.1999998,4.8000002,.41666666,.38333333,.2,-1,0,1,4.8000002,.2,.41666666,.33333334,.33333334,.33333334,0,0,0,0,.38333333,.2,1
101215_1457,16,1,1,16,1,1,30,30,18,11,1,.60000002,.36666667,.033333335,0,4,0,10,20,0,.33333334,.66666669,0,0,1,1,10,.33333334,.66666669,.60000002,.36666667,.033333335,0,1,1,1,.33333334,0,0
101215_1457,16,1,1,13,2,1,30,30,10,20,0,.33333334,.66666669,0,0,4,1,10,20,0,.33333334,.66666669,0,.69999999,1,1,20,.66666669,.66666669,.66666669,.33333334,0,1,1,1,1,.33333334,0,0
101215_1457,16,1,1,5,3,1,30,30,15,0,15,.5,0,.5,0,4,0,10,20,0,.33333334,.66666669,0,0,0,1,0,0,.66666669,.5,.5,0,1,1,1,1,.33333334,0,0
101215_1457,16,1,2,10,1,1,30,30,15,15,0,.5,.5,0,1,4,0,6.9000001,16.299999,6.8000002,.23,.54333329,.22666667,.30000001,0,1,6.9000001,.23,.54333329,.5,.5,0,1,0,1,0,.23,.22666667,0
101215_1457,16,1,2,7,2,1,30,30,15,15,0,.5,.5,0,1,4,1,6.9000001,16.299999,6.8000002,.23,.54333329,.22666667,-1,1,1,16.299999,.54333329,.54333329,.5,.5,0,1,0,1,0,.23,.22666667,0
101215_1457,16,1,2,14,3,1,30,30,0,15,15,0,.5,.5,1,4,0,6.9000001,16.299999,6.8000002,.23,.54333329,.22666667,.75,1,1,6.8000002,.22666667,.54333329,.5,.5,0,1,0,1,0,.23,.22666667,0
101215_1457,16,1,3,8,1,1,30,30,14,8,8,.46666667,.26666668,.26666668,1,3,0,0,15.1,14.9,0,.50333333,.49666664,.5,0,1,0,0,.50333333,.46666667,.26666668,.26666668,0,1,0,1,.49666664,0,0
101215_1457,16,1,3,12,2,1,30,30,12,18,0,.40000001,.60000002,0,1,3,1,0,15.1,14.9,0,.50333333,.49666664,-1,1,1,15.1,.50333333,.50333333,.60000002,.40000001,0,1,1,1,1,.49666664,0,0
101215_1457,16,1,3,9,3,1,30,30,15,0,15,.5,0,.5,1,3,0,0,15.1,14.9,0,.50333333,.49666664,.64999998,1,1,14.9,.49666664,.50333333,.5,.5,0,1,1,1,1,.49666664,0,0
101215_1457,16,1,4,18,1,1,30,30,19,10,1,.63333333,.33333334,.033333335,0,1,0,15,15,0,.5,.5,0,.1,1,1,15,.5,.5,.63333333,.33333334,.033333335,0,1,1,1,.5,0,0
101215_1457,16,1,4,1,2,1,30,30,15,15,0,.5,.5,0,0,1,1,15,15,0,.5,.5,0,1,1,1,15,.5,.5,.5,.5,0,1,1,1,1,.5,0,0
101215_1457,16,1,4,17,3,1,30,30,15,0,15,.5,0,.5,0,1,0,15,15,0,.5,.5,0,0,0,1,0,0,.5,.5,.5,0,1,1,1,1,.5,0,0
101215_1457,16,1,5,6,1,1,30,30,15,15,0,.5,.5,0,0,1,0,9,12,9,.30000001,.40000001,.30000001,0,1,1,9,.30000001,.40000001,.5,.5,0,1,0,1,0,.30000001,.30000001,0
101215_1457,16,1,5,2,2,1,30,30,9,12,9,.30000001,.40000001,.30000001,0,1,1,9,12,9,.30000001,.40000001,.30000001,.0099999998,1,1,12,.40000001,.40000001,.40000001,.30000001,.30000001,0,0,0,0,.30000001,.30000001,0
101215_1457,16,1,5,4,3,1,30,30,5,5,20,.16666667,.16666667,.66666669,0,1,0,9,12,9,.30000001,.40000001,.30000001,.5,0,1,9,.30000001,.40000001,.66666669,.16666667,.16666667,0,0,0,0,.30000001,.30000001,0
101215_1457,16,1,6,3,1,1,30,30,16,14,0,.53333336,.46666667,0,0,3,0,5,20,5,.16666667,.66666669,.16666667,.30000001,0,0,0,.16666667,.66666669,.53333336,.46666667,0,1,0,1,0,.16666667,.16666667,0
101215_1457,16,1,6,11,2,1,30,30,5,20,5,.16666667,.66666669,.16666667,0,3,1,5,20,5,.16666667,.66666669,.16666667,1,1,0,0,.66666669,.66666669,.66666669,.16666667,.16666667,0,0,0,0,.16666667,.16666667,0
101215_1457,16,1,6,15,3,1,30,30,10,10,10,.33333334,.33333334,.33333334,0,3,0,5,20,5,.16666667,.66666669,.16666667,.99000001,0,0,0,.16666667,.66666669,.33333334,.33333334,.33333334,0,0,0,0,.16666667,.16666667,1
101215_1457,16,2,6,3,1,1,30,30,17,13,0,.56666666,.43333334,0,0,4,1,17,13,0,.56666666,.43333334,0,-1,1,1,17,.56666666,.56666666,.56666666,.43333334,0,1,1,1,1,.43333334,0,0
101215_1457,16,2,6,11,2,1,30,30,5,20,5,.16666667,.66666669,.16666667,0,4,0,17,13,0,.56666666,.43333334,0,-1,1,1,13,.43333334,.56666666,.66666669,.16666667,.16666667,0,1,0,1,.43333334,0,0
101215_1457,16,2,6,15,3,1,30,30,10,10,10,.33333334,.33333334,.33333334,0,4,0,17,13,0,.56666666,.43333334,0,-1,0,1,0,0,.56666666,.33333334,.33333334,.33333334,0,1,0,1,.43333334,0,1
101215_1457,17,1,1,1,1,.60000002,30,18,20,10,0,.66666669,.33333334,0,0,4,0,11,1,18,.36666667,.033333335,.60000002,1,1,1,11,.36666667,.60000002,.66666669,.33333334,0,1,0,1,1,.36666667,.033333335,0
101215_1457,17,1,1,18,2,.60000002,30,18,10,19,1,.33333334,.63333333,.033333335,0,4,0,11,1,18,.36666667,.033333335,.60000002,.25,0,1,1,.033333335,.60000002,.63333333,.33333334,.033333335,0,0,1,1,.36666667,.033333335,0
101215_1457,17,1,1,16,3,.60000002,30,18,11,1,18,.36666667,.033333335,.60000002,0,4,1,11,1,18,.36666667,.033333335,.60000002,0,1,1,18,.60000002,.60000002,.60000002,.36666667,.033333335,0,0,1,1,.36666667,.033333335,0
101215_1457,17,1,2,9,1,.60000002,30,18,16,7,7,.53333336,.23333333,.23333333,1,3,0,10.9,0,19.1,.36333331,0,.63666666,.55000001,1,1,10.9,.36333331,.63666666,.53333336,.23333333,.23333333,0,1,0,1,.36333331,0,0
101215_1457,17,1,2,12,2,.60000002,30,18,12,18,0,.40000001,.60000002,0,1,3,0,10.9,0,19.1,.36333331,0,.63666666,.050000001,0,1,0,0,.63666666,.60000002,.40000001,0,1,1,1,1,.36333331,0,0
101215_1457,17,1,2,3,3,.60000002,30,18,12,0,18,.40000001,0,.60000002,1,3,1,10.9,0,19.1,.36333331,0,.63666666,-1,1,1,19.1,.63666666,.63666666,.60000002,.40000001,0,1,1,1,1,.36333331,0,0
101215_1457,17,1,3,15,1,.60000002,30,18,17,7,6,.56666666,.23333333,.2,1,3,0,14.4,0,15.6,.47999999,0,.52000004,.99000001,1,1,14.4,.47999999,.52000004,.56666666,.23333333,.2,0,1,0,1,.47999999,0,0
101215_1457,17,1,3,11,2,.60000002,30,18,15,15,0,.5,.5,0,1,3,0,14.4,0,15.6,.47999999,0,.52000004,1,0,1,0,0,.52000004,.5,.5,0,1,1,1,1,.47999999,0,0
101215_1457,17,1,3,4,3,.60000002,30,18,8.5,8.5,13,.28333333,.28333333,.43333334,1,3,1,14.4,0,15.6,.47999999,0,.52000004,-1,1,1,15.6,.52000004,.52000004,.43333334,.28333333,.28333333,0,1,0,1,.47999999,0,0
101215_1457,17,1,4,8,1,.60000002,30,18,14,8,8,.46666667,.26666668,.26666668,0,5,0,0,12,18,0,.40000001,.60000002,.1,0,1,0,0,.60000002,.46666667,.26666668,.26666668,0,1,0,1,.40000001,0,0
101215_1457,17,1,4,5,2,.60000002,30,18,15,15,0,.5,.5,0,0,5,0,0,12,18,0,.40000001,.60000002,0,1,1,12,.40000001,.60000002,.5,.5,0,1,1,1,1,.40000001,0,0
101215_1457,17,1,4,17,3,.60000002,30,18,0,12,18,0,.40000001,.60000002,0,5,1,0,12,18,0,.40000001,.60000002,0,1,1,18,.60000002,.60000002,.60000002,.40000001,0,1,1,1,1,.40000001,0,0
101215_1457,17,1,5,7,1,.60000002,30,18,10,10,10,.33333334,.33333334,.33333334,1,4,0,5.9000001,5.9000001,18.200001,.19666667,.19666667,.60666668,.80000001,1,1,5.9000001,.19666667,.60666668,.33333334,.33333334,.33333334,0,0,0,0,.19666667,.19666667,1
101215_1457,17,1,5,2,2,.60000002,30,18,11,12,7,.36666667,.40000001,.23333333,1,4,0,5.9000001,5.9000001,18.200001,.19666667,.19666667,.60666668,.56,0,1,5.9000001,.19666667,.60666668,.40000001,.36666667,.23333333,0,0,0,0,.19666667,.19666667,0
101215_1457,17,1,5,13,3,.60000002,30,18,11,0,19,.36666667,0,.63333333,1,4,1,5.9000001,5.9000001,18.200001,.19666667,.19666667,.60666668,-1,1,1,18.200001,.60666668,.60666668,.63333333,.36666667,0,1,0,1,0,.19666667,.19666667,0
101215_1457,17,1,6,14,1,.60000002,30,18,14,13,3,.46666667,.43333334,.1,1,3,0,14.2,0,15.8,.47333333,0,.5266667,.30000001,1,1,14.2,.47333333,.5266667,.46666667,.43333334,.1,0,1,1,1,.47333333,0,0
101215_1457,17,1,6,6,2,.60000002,30,18,15,15,0,.5,.5,0,1,3,0,14.2,0,15.8,.47333333,0,.5266667,.1,0,1,0,0,.5266667,.5,.5,0,1,1,1,1,.47333333,0,0
101215_1457,17,1,6,10,3,.60000002,30,18,13,0,17,.43333334,0,.56666666,1,3,1,14.2,0,15.8,.47333333,0,.5266667,-1,1,1,15.8,.5266667,.5266667,.56666666,.43333334,0,1,1,1,1,.47333333,0,0
101215_1457,18,1,1,11,1,.40000001,30,12,20,5,5,.66666669,.16666667,.16666667,1,1,0,10,10,10,.33333334,.33333334,.33333334,1,1,1,10,.33333334,.33333334,.66666669,.16666667,.16666667,0,0,0,0,.33333334,.33333334,0
101215_1457,18,1,1,13,2,.40000001,30,12,6,18,6,.2,.60000002,.2,1,1,1,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.60000002,.2,.2,0,0,0,0,.33333334,.33333334,0
101215_1457,18,1,1,12,3,.40000001,30,12,10.1,0,19.9,.33666667,0,.6633333,1,1,0,10,10,10,.33333334,.33333334,.33333334,.40000001,1,1,10,.33333334,.33333334,.6633333,.33666667,0,1,0,1,0,.33333334,.33333334,0
101215_1457,18,1,2,16,1,.40000001,30,12,18,1,11,.60000002,.033333335,.36666667,0,4,0,10,19,1,.33333334,.63333333,.033333335,1,1,1,10,.33333334,.63333333,.60000002,.36666667,.033333335,0,0,1,1,.33333334,.033333335,0
101215_1457,18,1,2,18,2,.40000001,30,12,10,19,1,.33333334,.63333333,.033333335,0,4,1,10,19,1,.33333334,.63333333,.033333335,0,1,1,19,.63333333,.63333333,.63333333,.33333334,.033333335,0,0,1,1,.33333334,.033333335,0
101215_1457,18,1,2,7,3,.40000001,30,12,10,10,10,.33333334,.33333334,.33333334,0,4,0,10,19,1,.33333334,.63333333,.033333335,.2,0,1,1,.033333335,.63333333,.33333334,.33333334,.33333334,0,0,0,1,.33333334,.033333335,1
101215_1457,18,1,3,17,1,.40000001,30,12,24,6,0,.80000001,.2,0,1,3,0,0,16.200001,13.8,0,.54000002,.46000001,1,0,1,0,0,.54000002,.80000001,.2,0,1,1,1,1,.46000001,0,0
101215_1457,18,1,3,2,2,.40000001,30,12,10,10,10,.33333334,.33333334,.33333334,1,3,1,0,16.200001,13.8,0,.54000002,.46000001,-1,1,1,16.200001,.54000002,.54000002,.33333334,.33333334,.33333334,0,1,0,1,.46000001,0,1
101215_1457,18,1,3,9,3,.40000001,30,12,6,6,18,.2,.2,.60000002,1,3,0,0,16.200001,13.8,0,.54000002,.46000001,.44999999,1,1,13.8,.46000001,.54000002,.60000002,.2,.2,0,1,0,1,.46000001,0,0
101215_1457,18,1,4,8,1,.40000001,30,12,30,0,0,1,0,0,1,3,0,0,18.299999,11.7,0,.60999995,.38999999,.1,0,1,0,0,.60999995,1,0,0,1,1,1,1,.38999999,0,0
101215_1457,18,1,4,15,2,.40000001,30,12,5,20,5,.16666667,.66666669,.16666667,1,3,1,0,18.299999,11.7,0,.60999995,.38999999,-1,1,1,18.299999,.60999995,.60999995,.66666669,.16666667,.16666667,0,1,0,1,.38999999,0,0
101215_1457,18,1,4,3,3,.40000001,30,12,13,0,17,.43333334,0,.56666666,1,3,0,0,18.299999,11.7,0,.60999995,.38999999,.30000001,1,1,11.7,.38999999,.60999995,.56666666,.43333334,0,1,1,1,1,.38999999,0,0
101215_1457,18,1,5,4,1,.40000001,30,12,13,8.5,8.5,.43333334,.28333333,.28333333,0,3,0,15,15,0,.5,.5,0,.75,1,1,15,.5,.5,.43333334,.28333333,.28333333,0,1,0,1,.5,0,0
101215_1457,18,1,5,6,2,.40000001,30,12,15,15,0,.5,.5,0,0,3,1,15,15,0,.5,.5,0,0,1,1,15,.5,.5,.5,.5,0,1,1,1,1,.5,0,0
101215_1457,18,1,5,1,3,.40000001,30,12,13,0,17,.43333334,0,.56666666,0,3,0,15,15,0,.5,.5,0,1,0,1,0,0,.5,.56666666,.43333334,0,1,1,1,1,.5,0,0
101215_1457,18,1,6,5,1,.40000001,30,12,15,15,0,.5,.5,0,1,3,0,0,16,14,0,.53333336,.46666667,0,0,1,0,0,.53333336,.5,.5,0,1,1,1,1,.46666667,0,0
101215_1457,18,1,6,14,2,.40000001,30,12,15,15,0,.5,.5,0,1,3,1,0,16,14,0,.53333336,.46666667,-1,1,1,16,.53333336,.53333336,.5,.5,0,1,1,1,1,.46666667,0,0
101215_1457,18,1,6,10,3,.40000001,30,12,10,0,20,.33333334,0,.66666669,1,3,0,0,16,14,0,.53333336,.46666667,.25,1,1,14,.46666667,.53333336,.66666669,.33333334,0,1,1,1,1,.46666667,0,0
101218_1128,1,1,1,27,1,.80000001,30,24,11,10,9,.36666667,.33333334,.30000001,0,3,1,11,10,9,.36666667,.33333334,.30000001,-1,1,1,11,.36666667,.36666667,.36666667,.33333334,.30000001,0,0,0,0,.33333334,.30000001,0
101218_1128,1,1,1,22,2,.80000001,30,24,9,12,9,.30000001,.40000001,.30000001,0,3,0,11,10,9,.36666667,.33333334,.30000001,-1,1,1,10,.33333334,.36666667,.40000001,.30000001,.30000001,0,0,0,0,.33333334,.30000001,0
101218_1128,1,1,1,28,3,.80000001,30,24,10,10,10,.33333334,.33333334,.33333334,0,3,0,11,10,9,.36666667,.33333334,.30000001,-1,0,1,9,.30000001,.36666667,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.30000001,1
101218_1128,1,1,2,21,1,.80000001,30,24,10,10,10,.33333334,.33333334,.33333334,1,5,1,25.799999,1.7,2.5,.85999995,.056666669,.083333336,-1,1,0,0,.85999995,.85999995,.33333334,.33333334,.33333334,0,0,0,1,.083333336,.056666669,1
101218_1128,1,1,2,26,2,.80000001,30,24,12.5,5,12.5,.41666666,.16666667,.41666666,1,5,0,25.799999,1.7,2.5,.85999995,.056666669,.083333336,-1,0,0,0,.056666669,.85999995,.16666667,.41666666,.41666666,0,0,0,1,.083333336,.056666669,0
101218_1128,1,1,2,19,3,.80000001,30,24,12,0,18,.40000001,0,.60000002,1,5,0,25.799999,1.7,2.5,.85999995,.056666669,.083333336,-1,0,0,0,.083333336,.85999995,.60000002,.40000001,0,1,0,1,1,.083333336,.056666669,0
101218_1128,1,1,3,24,1,.80000001,30,24,10,10,10,.33333334,.33333334,.33333334,0,2,1,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.33333334,1
101218_1128,1,1,3,23,2,.80000001,30,24,10,12,8,.33333334,.40000001,.26666668,0,2,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.40000001,.33333334,.26666668,0,0,0,0,.33333334,.33333334,0
101218_1128,1,1,3,29,3,.80000001,30,24,10,10,10,.33333334,.33333334,.33333334,0,2,0,10,10,10,.33333334,.33333334,.33333334,-1,1,1,10,.33333334,.33333334,.33333334,.33333334,.33333334,0,0,0,0,.33333334,.33333334,1
101218_1128,1,1,4,25,1,.80000001,30,24,15,10,5,.5,.33333334,.16666667,1,4,1,16.200001,6.9000001,6.9000001,.54000002,.23,.23,-1,1,1,16.200001,.54000002,.54000002,.5,.33333334,.16666667,0,0,0,0,.23,.23,0
101218_1128,1,1,4,20,2,.80000001,30,24,10,10,10,.33333334,.33333334,.33333334,1,4,0,16.200001,6.9000001,6.9000001,.54000002,.23,.23,-1,1,1,6.9000001,.23,.54000002,.33333334,.33333334,.33333334,0,0,0,0,.23,.23,1
101218_1128,1,1,4,30,3,.80000001,30,24,12,6,12,.40000001,.2,.40000001,1,4,0,16.200001,6.9000001,6.9000001,.54000002,.23,.23,-1,0,1,6.9000001,.23,.54000002,.40000001,.40000001,.2,0,0,0,0,.23,.23,0
