* Dictionary *
score1997:		percentage of votes in the second round of the 1997 elections
male:			= 1 if the candidate is male, 0 o/w
male_opp:		= 1 if the candidate's opponent is male, 0 o/w
district:		district
age:			age at time of the election
age_opp:		age of the opponent at time of the election
party:		party
first_name:		first name of candidate
last_name:		last name of candidate
**************

last_name	first_name	party	district	score1997	male	male_opp
"GOURIOU"	"ALAIN"	"PRG"	"22//5"	.5462796	1	1
"BONNOT"	"YVON"	"UDF"	"22//5"	.4537204	1	1
"DE FROMENT"	"BERNARD"	"RPR"	"23//1"	.432721	1	1
"VERGNIER"	"MICHEL"	"PRG"	"23//1"	.5672789	1	1
"AUCLAIR"	"JEAN"	"RPR"	"23//2"	.5165961	1	1
"DESROZIER"	"PIERRE"	"PRG"	"23//2"	.4834039	1	1
"ROUSSEL"	"FRANCOIS"	"RPR"	"24//1"	.4527457	1	1
"DASSEUX"	"MICHEL"	"SOC"	"24//1"	.5472543	1	1
"PEIRO"	"GERMINAL"	"SOC"	"24//4"	.5627289	1	1
"DE PERETTI"	"JEAN JACQUES"	"RPR"	"24//4"	.4372711	1	1
"GIRARD"	"CLAUDE"	"RPR"	"25//1"	.4673855	1	1
"FOUSSERET"	"JEAN LOUIS"	"SOC"	"25//1"	.5326145	1	1
"JACQUEMIN"	"MICHEL"	"UDF"	"25//2"	.482194	1	0
"GUINCHARD KUNSTLER"	"PAULETTE"	"SOC"	"25//2"	.517806	0	1
"PARRENIN"	"JOSEPH"	"SOC"	"25//3"	.529105	1	0
"ROUSSEAU"	"MONIQUE"	"RPR"	"25//3"	.470895	0	1
"GENEY"	"JEAN"	"RPR"	"25//4"	.4184719	1	1
"MOSCOVICI"	"PIERRE"	"SOC"	"25//4"	.5815281	1	1
"BOUDAY"	"CHRISTIAN"	"SOC"	"25//5"	.4272068	1	1
"VUILLAUME"	"ROLAND"	"RPR"	"25//5"	.5727931	1	1
"RIVASI"	"MICHELE"	"SOC"	"26//1"	.5003721	0	1
"LABAUNE"	"PATRICK"	"RPR"	"26//1"	.499628	1	0
"BESSON"	"ERIC"	"SOC"	"26//2"	.5011805	1	1
"CORNILLET"	"THIERRY"	"UDF"	"26//2"	.4988195	1	1
"MARITON"	"HERVE"	"UDF"	"26//3"	.4910114	1	1
"GREGOIRE"	"MICHEL"	"SOC"	"26//3"	.5089886	1	1
"MANSOURET"	"ANNE"	"PRG"	"27//1"	.463458	0	1
"DEBRE"	"JEAN LOUIS"	"RPR"	"27//1"	.5365419	1	0
"RECOURS"	"ALFRED"	"PRG"	"27//2"	.5324641	1	0
"NICOLAS"	"CATHERINE"	"RPR"	"27//2"	.4675359	0	1
"DESTANS"	"JEAN LOUIS"	"PRG"	"27//3"	.4440039	1	1
"PONIATOWSKI"	"LADISLAS"	"UDF"	"27//3"	.5559961	1	1
"LEMOINE"	"GEORGES"	"PRG"	"28//1"	.5082299	1	1
"CORNU"	"GERARD"	"RPR"	"28//1"	.4917701	1	1
"ANGOT"	"ANDRE"	"RPR"	"29//1"	.5293719	1	1
"POIGNANT"	"BERNARD"	"PRG"	"29//1"	.4706281	1	1
"BERTHELOT"	"JACQUES"	"RPR"	"29//2"	.4500541	1	1
"KERDRAON"	"JEAN NOEL"	"PRG"	"29//2"	.549946	1	1
"CUILLANDRE"	"FRANCOIS"	"PRG"	"29//3"	.5030876	1	1
"LAMOUR"	"JEAN LOUIS"	"RPR"	"29//3"	.4969124	1	1
"CAZIN D'HONINCTHUN"	"ARNAUD"	"UDF"	"29//4"	.4735384	1	0
"LEBRANCHU"	"MARYLISE"	"PRG"	"29//4"	.5264616	0	1
"MIOSSEC"	"CHARLES"	"RPR"	"29//5"	.5429485	1	1
"THOMIN"	"JEAN PIERRE"	"PRG"	"29//5"	.4570514	1	1
"COZAN"	"JEAN YVES"	"UDF"	"29//6"	.4625275	1	1
"YAMGNANE"	"KOFI"	"PRG"	"29//6"	.5374724	1	1
"GUELLEC"	"AMBROISE"	"UDF"	"29//7"	.4988334	1	0
"LAZARD"	"JACQUELINE"	"PRG"	"29//7"	.5011666	0	1
"ROSSI"	"JOSE"	"UDF"	"2A//1"	.5218607	1	1
"RENUCCI"	"SIMON"	"PRG"	"2A//1"	.4781393	1	1
"ZUCCARELLI"	"EMILE"	"PRG"	"2B//1"	.5431221	1	1
"ALBERTINI"	"JEAN LOUIS"	"RPR"	"2B//1"	.4568779	1	1
"COLCOMBET"	"FRANCOIS"	"PRG"	"3//1"	.543357	1	1
"PERISSOL"	"PIERRE ANDRE"	"RPR"	"3//1"	.4565248	1	1
"MALHURET"	"CLAUDE"	"UDF"	"3//4"	.4424748	1	1
"CHARASSE"	"GERARD"	"PRG"	"3//4"	.5558989	1	1
"DANILET"	"ALAIN"	"RPR"	"30//5"	.405856	1	1
"ALARY"	"DAMIEN"	"PRG"	"30//5"	.5941439	1	1
"BAPT"	"GERARD"	"SOC"	"31//2"	.5558748	1	1
"HUGUENARD"	"ROBERT"	"RPR"	"31//2"	.4441252	1	1
"COHEN"	"PIERRE"	"SOC"	"31//3"	.5534627	1	1
"DIDIER"	"SERGE"	"UDF"	"31//3"	.4465373	1	1
"DIEBOLD"	"JEAN"	"RPR"	"31//4"	.4959521	1	0
"BENAYOU NAKACHE"	"YVETTE"	"SOC"	"31//4"	.5040479	0	1
"IMBERT"	"FRANCOISE"	"PRG"	"31//5"	.6037393	0	1
"CARNEIRO"	"GREGOIRE"	"RPR"	"31//5"	.3962607	1	0
"VEYRINAS (DE)"	"FRANCOISE"	"UDF"	"31//6"	.4153459	0	0
"MIGNON"	"HELENE"	"PRG"	"31//6"	.584654	0	0
"JOSPIN"	"LIONEL"	"PRG"	"31//7"	.6337749	1	0
"XERRI"	"MARIE DENISE"	"UDF"	"31//7"	.3662251	0	1
"BATLLE"	"BERNARD"	"RPR"	"31//8"	.3648095	1	1
"IDIART"	"JEAN LOUIS"	"SOC"	"31//8"	.6351905	1	1
"DESBONS"	"CLAUDE"	"SOC"	"32//1"	.5582413	1	1
"RISPAT"	"YVES"	"RPR"	"32//1"	.4417587	1	1
"MONTESQUIOU (DE)"	"AYMERI"	"UDF"	"32//2"	.4970591	1	1
"MONTANE"	"YVON"	"SOC"	"32//2"	.502941	1	1
"DESAIGUES"	"BEATRICE"	"SOC"	"33//1"	.450105	0	1
"VALLEIX"	"JEAN"	"RPR"	"33//1"	.5498949	1	0
"MITTERRAND"	"GILBERT"	"SOC"	"33//10"	.5575915	1	1
"BIREAU"	"JEAN CLAUDE"	"RPR"	"33//10"	.4424085	1	1
"MADRELLE"	"BERNARD"	"SOC"	"33//11"	.5806297	1	1
"PICOTIN"	"DANIEL"	"UDF"	"33//11"	.4193703	1	1
