* Dictionary *
score1997:		percentage of votes in the second round of the 1997 elections
male:			= 1 if the candidate is male, 0 o/w
male_opp:		= 1 if the candidate's opponent is male, 0 o/w
district:		district
age:			age at time of the election
age_opp:		age of the opponent at time of the election
party:		party
first_name:		first name of candidate
last_name:		last name of candidate
**************

last_name	first_name	party	district	score1997	male	male_opp
"DEMANGE"	"JEAN MARIE"	"RPR"	"57//9"	.5212209	1	1
"SOLLOGOUB"	"CONSTANTIN"	"UDF"	"58//1"	.3517181	1	1
"BOULAUD"	"DIDIER"	"PRG"	"58//1"	.6482819	1	1
"BEGUIN"	"DIDIER"	"UDF"	"58//2"	.3985857	1	1
"GORCE"	"GAETAN"	"SOC"	"58//2"	.6014143	1	1
"PAUL"	"CHRISTIAN"	"PRG"	"58//3"	.5703331	1	0
"RIGNAULT"	"SIMONE"	"RPR"	"58//3"	.429667	0	1
"ROMAN"	"BERNARD"	"PRG"	"59//1"	.5840327	1	0
"CODACCIONI"	"COLETTE"	"RPR"	"59//1"	.4159673	0	1
"HOSTALIER"	"FRANCOISE"	"UDF"	"59//11"	.4088544	0	1
"DURAND"	"YVES"	"PRG"	"59//11"	.5911456	1	0
"DEWEES"	"EMMANUEL"	"RPR"	"59//13"	.4310037	1	1
"DELEBARRE"	"MICHEL"	"PRG"	"59//13"	.5689963	1	1
"DECOOL"	"J.-PIERRE"	"RPR"	"59//14"	.4951101	1	0
"DENISE"	"MONIQUE"	"PRG"	"59//14"	.5048899	0	1
"VERNIER"	"JACQUES"	"RPR"	"59//17"	.4046646	1	1
"DOLEZ"	"MARC"	"PRG"	"59//17"	.5953354	1	1
"DEROSIER"	"BENRARD"	"PRG"	"59//2"	.6370432	1	1
"ROSSELLE"	"DOMINIQUE"	"RPR"	"59//2"	.3629567	1	1
"POYART"	"ALAIN"	"RPR"	"59//24"	.4150277	1	1
"DEHOUX"	"MARCEL"	"PRG"	"59//24"	.5849723	1	1
"CACHEUX"	"ALAIN"	"PRG"	"59//3"	.5043533	1	1
"DHINNIN"	"CLAUDE"	"RPR"	"59//3"	.4956466	1	1
"DAUBRESSE"	"MARC PHILIPPE"	"UDF"	"59//4"	.5403448	1	0
"LORIDAN"	"THERESE"	"PRG"	"59//4"	.4596552	0	1
"DONNAY"	"JACQUES"	"RPR"	"59//5"	.3919336	1	0
"AUBRY"	"MARTINE"	"SOC"	"59//5"	.6080664	0	1
"BAILLY"	"DOMINIQUE"	"PRG"	"59//6"	.4989888	1	1
"LAZARO"	"THIERRY"	"RPR"	"59//6"	.5010111	1	1
"HUVENNE"	"COLETTE"	"PRG"	"59//9"	.3617347	0	1
"DELNATTE"	"PATRICK"	"RPR"	"59//9"	.6382653	1	0
"PUEYO"	"JOAQUIM"	"PRG"	"61//1"	.4680091	1	1
"DENIAUD"	"YVES"	"RPR"	"61//1"	.5319909	1	1
"MERCHEZ"	"BERNADETTE"	"PRG"	"61//2"	.4141121	0	1
"LENOIR"	"JEAN CLAUDE"	"UDF"	"61//2"	.5858879	1	0
"BEAUVAIS"	"LAURENT"	"SOC"	"61//3"	.4867385	1	0
"BASSOT"	"SYLVIA"	"UDF"	"61//3"	.5132615	0	1
"PRESTAUX"	"JEAN MARIE"	"RPR"	"62//1"	.3978045	1	1
"DEFONTAINE"	"JEAN PIERRE"	"PRG"	"62//1"	.6021955	1	1
"GENISSON"	"CATHERINE"	"SOC"	"62//2"	.5688976	0	1
"GHEERBRANT"	"CHARLES"	"UDF"	"62//2"	.4311024	1	0
"LEROY"	"JEAN CLAUDE"	"SOC"	"62//3"	.4657083	1	1
"VASSEUR"	"PHILIPPE"	"UDF"	"62//3"	.5342917	1	1
"LHOMME"	"DANIELE"	"SOC"	"62//4"	.488156	0	0
"DEPREZ"	"LEONCE"	"UDF"	"62//4"	.511844	0	0
"DERAM"	"BERNARD"	"RPR"	"62//6"	.398532	1	1
"DUPILET"	"DOMINIQUE"	"PRG"	"62//6"	.601468	1	1
"CAPET"	"ANDRE"	"SOC"	"62//7"	.6031334	1	1
"DEMASSIEUX"	"CLAUDE"	"RPR"	"62//7"	.3968666	1	1
"DELVAUX"	"JEAN JACQUES"	"RPR"	"62//8"	.4230554	1	1
"LEFAIT"	"MICHEL"	"SOC"	"62//8"	.5769446	1	1
"SEUX"	"BERNARD"	"SOC"	"62//9"	.6491359	1	1
"DERUELLE"	"JEAN PIERRE"	"UDF"	"62//9"	.3508641	1	1
"FANGET"	"MICHEL"	"UDF"	"63//1"	.4195645	1	0
"SAUGUES"	"ODILE"	"SOC"	"63//1"	.5804355	0	1
"NERI"	"ALAIN"	"SOC"	"63//2"	.5999489	1	1
"CARTAUD"	"MICHEL"	"UDF"	"63//2"	.4000511	1	1
"BACQUET"	"JEAN PAUL"	"SOC"	"63//4"	.5692462	1	1
"PASCALLON"	"PIERRE"	"RPR"	"63//4"	.4307538	1	1
"CHARTOIRE"	"JEAN MARC"	"UDF"	"63//5"	.4687372	1	1
"ADEVAH-POEUF"	"MAURICE"	"SOC"	"63//5"	.5312629	1	1
"BOCHE"	"GERARD"	"UDF"	"63//6"	.4576439	1	1
"MICHEL"	"JEAN"	"SOC"	"63//6"	.5423561	1	1
"GOUGY"	"JEAN"	"RPR"	"64//1"	.4709283	1	0
"LIGNIERES-CASSOU"	"MARTINE"	"PRG"	"64//1"	.5290716	0	1
"BAYROU"	"FRANCOIS"	"UDF"	"64//2"	.5092583	1	1
"LABAZEE"	"GEORGES"	"SOC"	"64//2"	.4907417	1	1
"LABARRERE"	"ANDRE"	"PRG"	"64//3"	.592536	1	1
"BASSE-CATHALINAT"	"LUCIEN"	"RPR"	"64//3"	.407464	1	1
"MAITIA"	"FRANCOIS"	"PRG"	"64//4"	.4737202	1	1
"INCHASPE"	"MICHEL"	"RPR"	"64//4"	.5262797	1	1
"LAMASSOURE"	"ALAIN"	"UDF"	"64//5"	.492747	1	0
"PERY"	"NICOLE"	"PRG"	"64//5"	.5072529	0	1
"ALLIOT-MARIE"	"MICHELE"	"RPR"	"64//6"	.5553082	0	1
"LASSALLETTE"	"RAPHAEL"	"SOC"	"64//6"	.4446918	1	0
"BRUNET"	"FRANCOIS XAVIER"	"UDF"	"65//1"	.3837618	1	1
"FORGUES"	"PIERRE"	"PRG"	"65//1"	.6162382	1	1
"GAITS"	"CLAUDE"	"PRG"	"65//2"	.4716014	1	1
"DOUSTE-BLAZY"	"PHILIPPE"	"UDF"	"65//2"	.5283986	1	1
"GLAVANY"	"JEAN"	"PRG"	"65//3"	.6123159	1	1
"LAGONELLE"	"PIERRE"	"UDF"	"65//3"	.3876841	1	1
"BOURQUIN"	"CHRISTIAN"	"PRG"	"66//3"	.5343953	1	1
"CALVET"	"FRANCOIS"	"UDF"	"66//3"	.4656047	1	1
"SICRE"	"HENRI"	"PRG"	"66//4"	.576508	1	1
"BECQUE"	"PIERRE"	"UDF"	"66//4"	.423492	1	1
"TRAUTMANN"	"CATHERINE"	"SOC"	"67//1"	.5015552	0	1
"LAPP"	"HARRY"	"UDF"	"67//1"	.4984448	1	0
"PETITDEMANGE"	"JEAN CLAUDE"	"SOC"	"67//2"	.4668069	1	1
"REYMANN"	"MARC"	"UDF"	"67//2"	.5331931	1	1
"MEYER"	"GILBERT"	"RPR"	"68//1"	.585817	1	1
"ROSENBLIEH"	"SERGE"	"SOC"	"68//1"	.4141831	1	1
"REITZER"	"JEAN LUC"	"RPR"	"68//3"	.6628606	1	1
"HABIB"	"MICHEL"	"SOC"	"68//3"	.3371393	1	1
"ISAAC-SIBILLE"	"BERNADETTE"	"UDF"	"69//1"	.5131404	0	1
"COLLOMB"	"GERARD"	"SOC"	"69//1"	.4868596	1	0
"BONNET"	"CHRISTIAN"	"SOC"	"69//10"	.3745199	1	1
"BESSON"	"JEAN"	"RPR"	"69//10"	.6254801	1	1
"TERROT"	"MICHEL"	"RPR"	"69//12"	.5546997	1	1
"LAMBERT"	"RENE"	"PRG"	"69//12"	.4453003	1	1
"TOURAINE"	"JEAN LOUIS"	"SOC"	"69//3"	.4445886	1	1
"DUBERNARD"	"JEAN MICHEL"	"RPR"	"69//3"	.5554114	1	1
"ROURE"	"MARTINE"	"SOC"	"69//4"	.3717723	0	1
"BARRE"	"RAYMOND"	"UDF"	"69//4"	.6282277	1	0
"RIGAUD"	"JEAN"	"UDF"	"69//5"	.6125855	1	0
"PETITJEAN"	"MADELEINE"	"SOC"	"69//5"	.3874145	0	1
"IMBERT"	"AMEDEE"	"UDF"	"7//1"	.4076807	0	1
"TERRASSE"	"PASCAL"	"PRG"	"7//1"	.5923194	1	0
"ARNAUD"	"HENRI JEAN"	"RPR"	"7//2"	.4830742	1	1
"DONDOUX"	"JACQUES"	"PRG"	"7//2"	.5169258	1	1
"ROUX"	"JEAN MARIE"	"RPR"	"7//3"	.4752486	1	1
"ALAIZE"	"STEPHANE"	"PRG"	"7//3"	.5247514	1	1
"BERGELIN"	"CHRISTIAN"	"RPR"	"70//1"	.5368156	1	1
"NIEPCERON"	"LOIC"	"PRG"	"70//1"	.4631844	1	1
"VOISIN"	"GERARD"	"UDF"	"71//1"	.5644319	1	1
"ROGNARD"	"MICHEL"	"SOC"	"71//1"	.4355681	1	1
"REBILLARD"	"JACQUES"	"PRG"	"71//2"	.516557	1	1
"NESME"	"JEAN MARC"	"UDF"	"71//2"	.483443	1	1
"BILLARDON"	"ANDRE"	"SOC"	"71//3"	.5713302	1	1
"ANCIAUX"	"JEAN PAUL"	"RPR"	"71//3"	.4286698	1	1
"MATHUS"	"DIDIER"	"SOC"	"71//4"	.6151579	1	1
"CORNELOUP"	"PIERRE"	"RPR"	"71//4"	.3848421	1	1
"LAVILLE"	"BETTINA"	"SOC"	"71//5"	.4896365	0	1
"PERBEN"	"DOMINIQUE"	"RPR"	"71//5"	.5103635	1	0
"MONTEBOURG"	"ARNAUD"	"SOC"	"71//6"	.5366762	1	1
"BEAUMONT"	"RENE"	"UDF"	"71//6"	.4633237	1	1
"KARAMANLI"	"MARIETTA"	"SOC"	"72//1"	.4389527	0	1
"HELLIER"	"PIERRE"	"UDF"	"72//1"	.5610473	1	0
"GEVEAUX"	"JEAN MARIE"	"RPR"	"72//2"	.4152942	1	1
"DOUYERE"	"RAYMOND"	"SOC"	"72//2"	.5847058	1	1
"JOLY"	"ANTOINE"	"RPR"	"72//3"	.4464798	1	1
"CHAUVEAU"	"GUY MICHEL"	"SOC"	"72//3"	.5535201	1	1
"FILLON"	"FRANCOIS"	"RPR"	"72//4"	.5273444	1	1
"SAUDUBRAY"	"GERARD"	"SOC"	"72//4"	.4726556	1	1
"LE MENER"	"DOMINIQUE"	"RPR"	"72//5"	.4785176	1	1
"BOULARD"	"JEAN CLAUDE"	"SOC"	"72//5"	.5214824	1	1
"DORD"	"DOMINIQUE"	"UDF"	"73//1"	.5345551	1	1
"REPENTIN"	"THIERRY"	"PRG"	"73//1"	.4654449	1	1
"VAIRETTO"	"ANDRE"	"PRG"	"73//2"	.4612591	1	1
"GAYMARD"	"HERVE"	"RPR"	"73//2"	.5387409	1	1
"BOUVARD"	"MICHEL"	"RPR"	"73//3"	.5127725	1	1
"REMY"	"PIERRE LOUIS"	"PRG"	"73//3"	.4872275	1	1
"ACCOYER"	"BERNARD"	"RPR"	"74//1"	.5848914	1	0
"GILLET DE THOREY"	"SYLVIE"	"PRG"	"74//1"	.4151086	0	1
"BOSSON"	"BERNARD"	"UDF"	"74//2"	.5763435	1	1
"DALEX"	"JACQUES"	"PRG"	"74//2"	.4236564	1	1
"BIRRAUX"	"CLAUDE"	"UDF"	"74//4"	.5913387	1	1
"GAVARD"	"GUY"	"SOC"	"74//4"	.4086613	1	1
"COMONT"	"BERNARD"	"PRG"	"74//5"	.4460042	1	1
"MAZEAUD"	"PIERRE"	"RPR"	"74//5"	.5539958	1	1
"BERTINOTTI"	"DOMINIQUE"	"PRG"	"75//1"	.4967915	1	1
"DOMINATI"	"LAURENT"	"UDF"	"75//1"	.5032085	1	1
"TOUBON"	"JACQUES"	"RPR"	"75//10"	.4853851	1	1
"BLISKO"	"SERGE"	"PRG"	"75//10"	.5146149	1	1
"CATALA"	"NICOLE"	"RPR"	"75//11"	.5043221	0	1
"CASTAGNOU"	"PIERRE"	"PRG"	"75//11"	.4956779	1	0
"LE MOAL"	"ANNE"	"PRG"	"75//12"	.3479258	0	1
"BALLADUR"	"EDOUARD"	"RPR"	"75//12"	.6520742	1	0
"ALAYRAC"	"GILLES"	"PRG"	"75//13"	.3825886	1	1
"GALY-DEJEAN"	"RENE"	"RPR"	"75//13"	.6174114	1	1
"LEPETIT"	"ANNICK"	"SOC"	"75//17"	.4744962	0	0
"DE PANAFIEU"	"FRANCOISE"	"RPR"	"75//17"	.5255038	0	0
"CARESCHE"	"CHRISTOPHE"	"PRG"	"75//18"	.5158455	1	1
"STEFANINI"	"PATRICK"	"RPR"	"75//18"	.4841546	1	1
"VAILLANT"	"DANIEL"	"SOC"	"75//19"	.5720487	1	1
"PIERRE-BLOCH"	"JEAN PIERRE"	"RPR"	"75//19"	.4279514	1	1
"TIBERI"	"JEAN"	"RPR"	"75//2"	.5352751	1	0
"COHEN-SOLAL"	"LYNE"	"PRG"	"75//2"	.4647249	0	1
"CAMBADELIS"	"JEAN CHRISTOPHE"	"PRG"	"75//20"	.5406516	1	1
"BULTE"	"MICHEL"	"RPR"	"75//20"	.4593484	1	1
"BARIANI"	"DIDIER"	"UDF"	"75//21"	.4533533	1	0
"CARRION-BASTOK"	"VERONIQUE"	"PRG"	"75//21"	.5466467	0	1
"KALCK"	"ANNE"	"PRG"	"75//3"	.2905774	0	0
"AURILLAC"	"MARTINE"	"RPR"	"75//3"	.7094226	0	0
"BRAVO"	"JACQUES"	"PRG"	"75//4"	.3565933	1	1
"LELLOUCHE"	"PIERRE"	"RPR"	"75//4"	.6434067	1	1
"MARCUS"	"CLAUDE GERARD"	"RPR"	"75//5"	.4645066	1	1
"DREYFUS"	"TONY"	"PRG"	"75//5"	.5354934	1	1
"DE GAULLE"	"JEAN"	"RPR"	"75//8"	.5280552	1	0
"MAZETIER"	"SANDRINE"	"PRG"	"75//8"	.4719448	0	1
"COUDERC"	"ANNE MARIE"	"RPR"	"75//9"	.4497857	0	1
"LE GUEN"	"JEAN MARIE"	"PRG"	"75//9"	.5502144	1	0
"LOGIOU"	"LAURENT"	"PRG"	"76//1"	.4988934	1	1
"HERR"	"PATRICK"	"UDF"	"76//1"	.5011066	1	1
"TRASSY PAILLOGUES"	"ALFRED"	"RPR"	"76//10"	.4738724	1	1
"FUCHS"	"GERARD"	"SOC"	"76//10"	.5261276	1	1
"LE VERN"	"ALAIN"	"PRG"	"76//12"	.5968235	1	1
"LEJEUNE"	"MICHEL"	"RPR"	"76//12"	.4031765	1	1
"GAMBIER"	"DOMINIQUE"	"PRG"	"76//2"	.4801115	1	1
"ALBERTINI"	"PIERRE"	"UDF"	"76//2"	.5198885	1	1
"BATEUX"	"JEAN CLAUDE"	"PRG"	"76//5"	.6528151	1	1
"GRIGY"	"PHILIPPE"	"UDF"	"76//5"	.3471849	1	1
"MERVILLE"	"DENIS"	"RPR"	"76//6"	.395521	1	1
"DHAILLE"	"PAUL"	"PRG"	"76//6"	.604479	1	1
"BESSELAT"	"JEAN YVES"	"RPR"	"76//7"	.5236598	1	0
"SIMON"	"VIVIANE"	"SOC"	"76//7"	.4763402	0	1
"FIDELIN"	"DANIEL"	"UDF"	"76//9"	.4412412	1	0
"BREDIN"	"FREDERIQUE"	"SOC"	"76//9"	.5587588	0	1
"MIGNON"	"JEAN CLAUDE"	"RPR"	"77//1"	.5410999	1	1
"MOUTON"	"JEAN LOUIS"	"SOC"	"77//1"	.4589001	1	1
"JULIA"	"DIDIER"	"RPR"	"77//2"	.5886601	1	0
"RENAUD TOUCHARD"	"NELLY"	"SOC"	"77//2"	.4113399	0	1
"COVA"	"CHARLES"	"RPR"	"77//7"	.5011014	1	1
"PLANCHOU"	"JEAN PAUL"	"SOC"	"77//7"	.4988986	1	1
"VACHEZ"	"DANIEL"	"PRG"	"77//8"	.5321267	1	1
"JEFFRAY"	"GERARD"	"UDF"	"77//8"	.4678733	1	1
"HEUCLIN"	"JACQUES"	"SOC"	"77//9"	.5258935	1	1
"COGNAT"	"JEAN PIERRE"	"RPR"	"77//9"	.4741065	1	1
"DOUX"	"ANNE MARIE"	"SOC"	"78//1"	.3857936	0	1
"PINTE"	"ETIENNE"	"RPR"	"78//1"	.6142064	1	0
"TASCA"	"CATHERINE"	"SOC"	"78//11"	.5082068	0	1
"FOURGOUS"	"JEAN MICHEL"	"RPR"	"78//11"	.4917932	1	0
"MASDEU-ARUS"	"JACQUES"	"RPR"	"78//12"	.541376	1	0
"LADET"	"MARIE FRANCE"	"SOC"	"78//12"	.458624	0	1
"BOROTRA"	"FRANCK"	"RPR"	"78//2"	.6060312	1	1
"LOLLIOZ"	"JACQUES"	"SOC"	"78//2"	.3939688	1	1
"IDRAC"	"ANNE MARIE"	"UDF"	"78//3"	.6988715	0	0
"VALLADON"	"MICHELE"	"SOC"	"78//3"	.3011285	0	0
"MOTTURA"	"JEAN PIERRE"	"SOC"	"78//4"	.3749944	1	1
"LEQUILLER"	"PIERRE"	"UDF"	"78//4"	.6250056	1	1
"MYARD"	"JACQUES"	"RPR"	"78//5"	.6083385	1	1
"SCARBONCHI"	"MICHEL"	"PRG"	"78//5"	.3916615	1	1
"LAURENT"	"JEAN"	"SOC"	"78//6"	.3853232	1	1
"PERICARD"	"MICHEL"	"RPR"	"78//6"	.6146768	1	1
"HUCHON"	"JEAN PAUL"	"SOC"	"78//7"	.4744329	1	1
"CARDO"	"PIERRE"	"UDF"	"78//7"	.5255671	1	1
"PERRIN GAILLARD"	"GENEVIEVE"	"PRG"	"79//1"	.560387	0	1
"BROSSARD"	"JACQUES"	"UDF"	"79//1"	.4396131	1	0
"MOREAU"	"LEOPOLD"	"UDF"	"79//2"	.3818492	1	0
"ROYAL"	"SEGOLENE"	"PRG"	"79//2"	.6181508	0	1
"FORT"	"GAETAN"	"PRG"	"79//3"	.4138504	1	1
"MORISSET"	"JEAN MARIE"	"UDF"	"79//3"	.5861496	1	1
"BEVILLE"	"ANDRE"	"SOC"	"79//4"	.4054428	1	1
"PAILLE"	"DOMINIQUE"	"UDF"	"79//4"	.5945572	1	1
"WARSMANN"	"JEAN LUC"	"RPR"	"8//3"	.5586251	1	1
"BACHY"	"JEAN PAUL"	"PRG"	"8//3"	.4413749	1	1
"DE ROBIEN"	"GILLES"	"UDF"	"80//2"	.5500796	1	0
"ROCHOWIAK-MOREAU"	"LISE"	"SOC"	"80//2"	.4499204	0	1
"BIGNON"	"JEROME"	"RPR"	"80//3"	.461825	1	1
"PEILLON"	"VINCENT"	"SOC"	"80//3"	.538175	1	1
"HAMMEL"	"FRANCIS"	"SOC"	"80//4"	.5418484	1	1
"HART"	"JOEL"	"RPR"	"80//4"	.4581516	1	1
"DESTENAY"	"DANIELLE"	"SOC"	"80//5"	.4973473	0	1
"AUDINOT"	"GAUTIER"	"RPR"	"80//5"	.5026527	1	0
"GEST"	"ALAIN"	"UDF"	"80//6"	.4641003	1	1
"FLEURY"	"JACQUES"	"SOC"	"80//6"	.5358997	1	1
"QUILES"	"PAUL"	"PRG"	"81//1"	.6476785	1	1
"CANAC"	"RICHARD"	"UDF"	"81//1"	.3523215	1	1
"BONNECARRERE"	"PHILIPPE"	"RPR"	"81//2"	.4774886	1	1
"CARCENAC"	"THIERRY"	"PRG"	"81//2"	.5225114	1	1
"ESCLASSAN"	"JACQUES"	"SOC"	"81//3"	.4862517	1	1
"LIMOUZY"	"JACQUES"	"RPR"	"81//3"	.5137483	1	1
"CARAYON"	"BERNARD"	"RPR"	"81//4"	.4869038	1	0
"COLLANGE"	"MONIQUE"	"PRG"	"81//4"	.5130962	0	1
"CAVE"	"JEAN PIERRE"	"UDF"	"82//1"	.4792362	1	1
"GARRIGUES"	"ROLAND"	"PRG"	"82//1"	.5207638	1	1
"BRIAT"	"JACQUES"	"UDF"	"82//2"	.483704	1	1
"NUNZI"	"JEAN PAUL"	"PRG"	"82//2"	.516296	1	1
"BOURMAUD"	"GILLES"	"SOC"	"85//1"	.4287914	1	1
"PREEL"	"JEAN LUC"	"UDF"	"85//1"	.5712086	1	1
"FRAISSE"	"JACQUES"	"SOC"	"85//3"	.4284279	1	1
"GUEDON"	"LOUIS"	"RPR"	"85//3"	.5715721	1	1
"REMAUD"	"JEAN CLAUDE"	"SOC"	"85//5"	.4767282	1	1
"SARLOT"	"JOEL"	"UDF"	"85//5"	.5232718	1	1
"CLAEYS"	"ALAIN"	"PRG"	"86//1"	.5704863	1	1
"DUBOC"	"ERIC"	"UDF"	"86//1"	.4295137	1	1
"CHAMARD"	"JEAN YVES"	"RPR"	"86//2"	.4850382	1	1
"DECAUDIN"	"PHILIPPE"	"PRG"	"86//2"	.5149618	1	1
"LEPERCQ"	"ARNAUD"	"RPR"	"86//3"	.5037008	1	1
"CUBAUD"	"JEAN CLAUDE"	"PRG"	"86//3"	.4962992	1	1
"TONDUSSON"	"BRIGITTE"	"SOC"	"86//4"	.4998468	0	1
"ABELIN"	"JEAN PIERRE"	"UDF"	"86//4"	.5001532	1	0
"MARSAUD"	"ALAIN"	"RPR"	"87//1"	.4780896	1	1
"LANFRANCA"	"PIERRE CLAUDE"	"PRG"	"87//1"	.5219104	1	1
"BOISSERIE"	"DANIEL"	"PRG"	"87//2"	.5889398	1	0
"GUILHEM"	"EVELYNE"	"RPR"	"87//2"	.4110601	0	1
"FAURE"	"JACQUES MICHEL"	"RPR"	"87//3"	.3937767	1	0
"PEROL DUMONT"	"MARIE FRANCOISE"	"PRG"	"87//3"	.6062232	0	1
"RODET"	"ALAIN"	"PRG"	"87//4"	.6769027	1	1
"GEUTIER"	"CAMILLE"	"RPR"	"87//4"	.3230973	1	1
"WELZER"	"GERARD"	"PRG"	"88//1"	.4355869	1	1
"SEGUIN"	"PHILIPPE"	"RPR"	"88//1"	.5644131	1	1
"VANNSON"	"FRANCOIS"	"RPR"	"88//3"	.5085997	1	1
"VAXELAIRE"	"GUY"	"PRG"	"88//3"	.4914003	1	1
"NALLET"	"HENRI"	"PRG"	"89//2"	.5395134	1	1
"VAN HAECKE"	"YVES"	"RPR"	"89//2"	.4604866	1	1
"BONREPAUX"	"AUGUSTIN"	"PRG"	"9//1"	.6990491	1	1
"DE TAPPIE"	"HENRI"	"RPR"	"9//1"	.3009509	1	1
"TRIGANO"	"ANDRE"	"UDF"	"9//2"	.3917156	1	1
"NAYROU"	"HENRI"	"PRG"	"9//2"	.6082844	1	1
"ROSSELOT"	"JEAN"	"RPR"	"90//1"	.4847829	1	1
"FORNI"	"RAYMOND"	"SOC"	"90//1"	.5152171	1	1
"ZAMBROWSKI"	"FRANCOIS"	"UDF"	"91//1"	.4296869	1	1
"GUYARD"	"JACQUES"	"PRG"	"91//1"	.5703131	1	1
"CHARRIN"	"ANTOINE"	"UDF"	"91//10"	.4144648	1	1
"DRAY"	"JULIEN"	"PRG"	"91//10"	.5855352	1	1
"DE BOISHUE"	"JEAN"	"RPR"	"91//3"	.4741817	1	1
"TAVERNIER"	"YVES"	"PRG"	"91//3"	.5258183	1	1
"SCHMIT"	"PHILIPPE"	"PRG"	"91//4"	.4785591	1	1
"WILTZER"	"PIERRE ANDRE"	"UDF"	"91//4"	.5214409	1	1
"SALINIER"	"JEAN MARC"	"PRG"	"91//5"	.4986308	1	1
"LASBORDES"	"PIERRE"	"RPR"	"91//5"	.5013692	1	1
"LAMY"	"FRANCOIS"	"PRG"	"91//6"	.5311648	1	0
"MOIRIN"	"ODILE"	"RPR"	"91//6"	.4688352	0	1
"MARSAUDON"	"JEAN"	"RPR"	"91//7"	.5042576	1	0
"LIENEMANN"	"MARIE NOELLE"	"PRG"	"91//7"	.4957424	0	1
"BERSON"	"MICHEL"	"PRG"	"91//8"	.4990243	1	1
"DUPONT AIGNAN"	"NICOLAS"	"RPR"	"91//8"	.5009757	1	1
"TRON"	"GEORGES"	"RPR"	"91//9"	.507952	1	1
"MANDON"	"THIERRY"	"PRG"	"91//9"	.492048	1	1
"SANTINI"	"ANDRE"	"UDF"	"92//10"	.562179	1	1
"JANVIER"	"GUY"	"SOC"	"92//10"	.437821	1	1
"FOUCHER"	"JEAN PIERRE"	"UDF"	"92//12"	.5105081	1	1
"BUCHET"	"PASCAL"	"PRG"	"92//12"	.489492	1	1
"MERLE"	"JEAN FRANCOIS"	"PRG"	"92//13"	.4414559	1	1
"DEVEDJIAN"	"PATRICK"	"RPR"	"92//13"	.5585441	1	1
"LALUMIERE"	"CATHERINE"	"PRG"	"92//5"	.4873554	0	1
"DE CHAZEAUX"	"OLIVIER"	"RPR"	"92//5"	.5126446	1	0
"LEVAIN"	"JEAN"	"PRG"	"92//8"	.4081072	1	1
"GUILLET"	"JEAN JACQUES"	"RPR"	"92//8"	.5918928	1	1
"GABORIT"	"PIERRE"	"PRG"	"92//9"	.3173513	1	1
"BAGUET"	"PIERRE CHRISTOPHE"	"UDF"	"92//9"	.6826487	1	1
"PAJON"	"MICHEL"	"PRG"	"93//13"	.5475192	1	1
"CHAMPION"	"MICHEL"	"RPR"	"93//13"	.4524808	1	1
"BARTOLONE"	"CLAUDE"	"PRG"	"93//6"	.6102082	1	1
"SALLES"	"JEAN JACK"	"UDF"	"93//6"	.3897918	1	1
"PLAGNOL"	"HENRI"	"UDF"	"94//1"	.5809435	1	0
"SABBAN"	"MICHELE"	"SOC"	"94//1"	.4190565	0	1
"SEVE"	"PATRICK"	"SOC"	"94//12"	.5210173	1	1
"DELL'AGNOLA"	"RICHARD"	"RPR"	"94//12"	.4789827	1	1
"CATHALA"	"LAURENT"	"SOC"	"94//2"	.6452214	1	1
"BATAILLE"	"MARIE MICHELLE"	"RPR"	"94//2"	.3547787	1	1
"CHAUVET"	"CHRISTINE"	"UDF"	"94//3"	.4450885	0	1
"SCHWARTZENBERG"	"ROGER GERARD"	"PRG"	"94//3"	.5549115	1	0
"JEGOU"	"JEAN JACQUES"	"UDF"	"94//4"	.5379772	1	0
"VILLE"	"MICHELE"	"PRG"	"94//4"	.4620228	0	1
"MARTY"	"ANNE MARIE"	"PRG"	"94//7"	.4078076	0	1
"AUBRY"	"PIERRE"	"RPR"	"94//7"	.5921924	1	0
"HERBILLON"	"MICHEL"	"UDF"	"94//8"	.5647942	1	1
"RIQUIER"	"RAYMOND"	"SOC"	"94//8"	.4352058	1	1
"GILLOT"	"DOMINIQUE"	"SOC"	"95//2"	.5184141	0	1
"HUMBERT"	"REGIS"	"UDF"	"95//2"	.4815859	1	0
"BARDET"	"JEAN"	"RPR"	"95//3"	.505259	1	1
"BOSCAVERT"	"MAURICE"	"SOC"	"95//3"	.4947409	1	1
"DELATTRE"	"FRANCIS"	"UDF"	"95//4"	.5022545	1	1
"GAYET"	"FRANCOIS"	"PRG"	"95//4"	.4977455	1	1
"MAYRARGUE"	"DELPHINE"	"SOC"	"95//6"	.4381201	0	1
"DELALANDE"	"JEAN PIERRE"	"RPR"	"95//6"	.5618799	1	0
"STRAUSS KAHN"	"DOMINIQUE"	"SOC"	"95//8"	.5965054	1	1
"MONTALDO"	"MICHEL"	"RPR"	"95//8"	.4034946	1	1
"TAMAYA"	"MICHEL"	"SOC"	"974//1"	.5564492	1	1
"VICTORIA"	"RENE PAUL"	"RPR"	"974//1"	.4435508	1	1
"GATA"	"KAMILO"	"SOC"	"986//1"	.4866149	1	1
"BRIAL"	"VICTOR"	"RPR"	"986//1"	.5133851	1	1
