* Dictionary *
score2007:		percentage of votes in the second round of the 2007 elections
score1992:		percentage of votes in the second round of the 2002 elections by the candidate of the same party
male:			= 1 if the candidate is male, 0 o/w
male_opp:		= 1 if the candidate's opponent is male, 0 o/w
district:		district
age:			age at time of the election
age_opp:		age of the opponent at time of the election
status:		= "N" if candidate is new; = "I" if candidate is an incumbent; = "L" if candidate was a candidate in 1997 who lost; = "M" if candidate was an incumbent in a different district in 1997
status_opp:		= status of opponent
party:		party
first_name:		first name of candidate
last_name:		last name of candidate
**************

score2002	score1997	male	male_opp	district	age	age_opp	last_name	first_name	status	status_opp	party	expenditures	party_support
.5496	.5636	1	0	"16//3"	45.05	57.28	"Lambert"	"Jérôme"	"I"	"N"	"PS"	43751	1266
.4504	.4364	0	1	"16//3"	57.28	45.05	"Michaud"	"Marie-France"	"N"	"I"	"UMP"	20188	10500
.5901	.648	1	0	"16//4"	65.78	39.99	"Beauchaud"	"Jean-Claude"	"I"	"N"	"PS"	28661	1266
.4099	.352	0	1	"16//4"	39.99	65.78	"Miet"	"Brigitte"	"N"	"I"	"UMP"	30914	10000
.5355	.4693	1	1	"17//2"	51.93	51.1	"Léonard"	"Jean-Louis"	"M"	"N"	"UMP"	40575	10000
.4645	.5307	1	1	"17//2"	51.1	51.93	"Bonnin"	"André"	"N"	"M"	"PS"	36221	0
.4623	.5486	1	1	"17//3"	62.22	61.57	"Rouger"	"Jean"	"I"	"L"	"PS"	22254	0
.5377	.4514	1	1	"17//3"	61.57	62.22	"de Roux"	"Xavier"	"L"	"I"	"UMP"	42837	10000
.6231	.5107	1	1	"17//4"	49.96	46.46	"Bussereau"	"Dominique"	"I"	"L"	"UMP/UDF"	50099	30490
.3769	.4893	1	1	"17//4"	46.46	49.96	"Callaud"	"Philippe"	"L"	"I"	"PRG/PS"	14391	0
.6476	.5537	1	0	"17//5"	55.52	61.52	"Quentin"	"Didier"	"I"	"N"	"UMP/UDF"	48410	7600
.3524	.4463	0	1	"17//5"	61.52	55.52	"Joly"	"Régine"	"N"	"I"	"PS"	22202	0
.6032	.5076	1	1	"18//1"	60.79	55.28	"Fromion"	"Yves"	"I"	"N"	"UMP/D"	24642	7600
.3968	.4924	1	1	"18//1"	55.28	60.79	"Ledoux"	"Roger"	"N"	"I"	"Verts/G"	20872	0
.5565	.5769	1	1	"18//2"	56.9	52.03	"Sandrier"	"Jean-Claude"	"I"	"L"	"PCF/G/ps"	40579	15
.4435	.4231	1	1	"18//2"	52.03	56.9	"Thomas Richard"	"Frank"	"L"	"I"	"UMP"	40842	14573
.4955	.5388	1	1	"18//3"	36.28	49.75	"Galut"	"Yann"	"I"	"N"	"PS/G"	37110	1494
.5045	.4612	1	1	"18//3"	49.75	36.28	"Cosyns"	"Louis"	"N"	"I"	"UMP"	35518	10000
.5292	.5452	1	1	"19//1"	47.88	58.26	"Hollande"	"François"	"I"	"N"	"PS/G"	23433	0
.4708	.4548	1	1	"19//1"	58.26	47.88	"Decaie"	"Jean-Pierre"	"N"	"I"	"UMP/D"	22716	10516
.4632	.5192	1	1	"19//2"	44.95	36.55	"Nauche"	"Philippe"	"I"	"N"	"PS/G"	52216	7654
.5368	.4808	1	1	"19//2"	36.55	44.95	"Soulier"	"Frédéric"	"N"	"I"	"UMP/D"	51836	15052
.568	.5297	1	0	"19//3"	69.04	57.09	"Dupont"	"Jean-Pierre"	"I"	"L"	"UMP/D"	32370	5124
.432	.4703	0	1	"19//3"	57.09	69.04	"Bourzai"	"Bernadette"	"L"	"I"	"PS/G"	32278	7530
.4304	.5652	0	1	"2//2"	55.33	37.26	"Grzegrzulka"	"Odette"	"I"	"N"	"PS/G"	30300	0
.5696	.4348	1	0	"2//2"	37.26	55.33	"Bertrand"	"Xavier"	"N"	"I"	"UMP/D"	55933	10000
.6056	.6732	1	0	"2//3"	52.08	59.72	"Balligand"	"Jean-Pierre"	"I"	"N"	"PS/G"	28177	0
.3944	.3268	0	1	"2//3"	59.72	52.08	"Garin"	"Annick"	"N"	"I"	"UMP/D"	33506	10000
.4726	.4636	1	1	"21//1"	51.01	57.07	"Rebsamen"	"François"	"L"	"N"	"PS/G"	30629	136
.5274	.5364	1	1	"21//1"	57.07	51.01	"Depierre"	"Bernard"	"N"	"L"	"UMP/UDF"	56073	10000
.4322	.4201	0	1	"21//2"	49.96	60.44	"Popard"	"Colette"	"L"	"M"	"PS/G"	25789	739
.5678	.4485	1	0	"21//2"	60.44	49.96	"Nudant"	"Jean-Marc"	"M"	"L"	"UMP/UDF"	33452	1500
.4882	.5384	1	1	"21//5"	59.28	50.78	"Patriat"	"François"	"I"	"L"	"PS/G"	28503	0
.5118	.4616	1	1	"21//5"	50.78	59.28	"Suguenot"	"Alain"	"L"	"I"	"UMP/UDF"	24173	9835
.5502	.5779	0	0	"22//1"	57.14	52.09	"Bousquet"	"Danielle"	"I"	"N"	"PS/G"	37349	0
.4498	.4221	0	0	"22//1"	52.09	57.14	"Dubois"	"Mireille"	"N"	"I"	"UMP/D"	35677	11174
.4988	.3982	1	1	"22//2"	54.35	55.33	"Vaspart"	"Michel"	"L"	"M"	"UMP/D"	27747	1006
.5012	.6018	1	1	"22//2"	55.33	54.35	"Gaubert"	"Jean"	"M"	"L"	"PS/G"	24714	0
.4729	.5338	1	1	"22//3"	57.18	45.58	"Chouat"	"Didier"	"I"	"L"	"PS/G"	20484	0
.5271	.4662	1	1	"22//3"	45.58	57.18	"Le Fur"	"Marc"	"L"	"I"	"UMP/D"	30413	10500
.4418	.4312	1	0	"22//4"	49.79	57.42	"Le Goux"	"Jean-Pierre"	"N"	"N"	"UMP/D"	42205	10000
.5582	.5688	0	1	"22//4"	57.42	49.79	"Oget"	"Marie-Renée"	"N"	"N"	"PS/G"	22051	0
.5092	.5463	1	1	"22//5"	60.85	57.29	"Gouriou"	"Alain"	"I"	"N"	"PS/G"	24853	3049
.4908	.4537	1	1	"22//5"	57.29	60.85	"Saleün"	"Jacques"	"N"	"I"	"UMP/D"	40638	512
.5578	.5673	1	1	"23//1"	55.59	50.15	"Vergnier"	"Michel"	"I"	"L"	"PS/G"	31380	853
.4422	.4327	1	1	"23//1"	50.15	55.59	"de Froment"	"Bernard"	"L"	"I"	"UMP/D"	43006	10768
