* Dictionary *
round:                    round # [1:6]
payoff:                   payoff in that round (realization of the lottery given the choice or payoff to adviser if advisee follows advice)
preference_0:             priority given to knowing The prob of the outcome being lower than 4 is... [0:2] 0 being highest priority; set to missing for treatments ~= 3
preference_1:             priority given to knowing The prob of the outcome being greater than 16 is... [0:2] 0 being highest priority; set to missing for treatments ~= 3
preference_2:             priority given to knowing The prob of the outcome being b/w 8 and 12 is... [0:2] 0 being highest priority; set to missing for treatments ~= 3
numadvice:                number of pieces of advice deciders were shown [1:3]; set to missing for treatments ~= 3
advice_X:                 identifier (corresponding to reasons) of the piece of advice given in position X <= numadvice (see reasonno below); set to missing for treatments ~= 3
dist_left:                which distribution is on the left [0:4]
dist_right:               which distribution is on the right [0:5]
choice:                   = 1 if choose right distribution; = 0 if choose left distribution; set to missing for adviser
date:                     date of session (different sessions on same day are differentiated by decimals)
treatment:                = 1 for advice; = 2 for control - no advice; = 3 for priority
profit:                   payoff from first part -- survey and Holt-Laury (excluding show-up fee: $15)
female:                   = 1 if female; = 0 if male
age:                      age of subject
sn, se, so, sa, sc:       scores on the big 5 scales, respectively Neuroticism, Extraversion, Openness to Experience, Agreeableness, and Conscientiousness
snp, sep, sop, sap, scp:  percentalies scores associated to sn, se, so, sa, sc using population percentile scores and adjusted for age and gender
rs:                       score on the sensation seeking scale
rstas, rses, rsdis, rsbd: subscales of rs, respectively Thrill and adventure seeking, Experience seeking, Disinhibition, and Boredom susceptibility
group:                    unique identifier for people matched together
id:                       unique subject identifier
adviser:                  = 1 if subject is an advisor; 0 o/w
reasonno:                 identifies the reason used by the advisor, i.e.
                          = 0 for "The prob of the outcome being lower than 4 is..."
                          = 1 for "The prob of the outcome being greater than 16 is..."
                          = 2 for "The prob of the outcome being b/w 8 and 12 is..."
reason_used:              reason number given to decider [0:2]; set to missing if adviser == 1 | treatment > 1
a:                        = advice but on the decider row; set to missing if adviser == 1 | treatment ~= 1
follow:                   = 1 if decision = advice and 0 o/w; set to missing for treatments ~= 1
advice:                   = 1 if advice is for the right; = 0 if advice if for the left; set to missing for decider
ra:                       = sum of number of safe decisions; set to missing if took safe decision, then risky, then safe again
high_var:                 = 1 if subject selected the option with highest variance; = 0  if subject selected the option with lowest variance; set to missing for advisor.
crra:                     = coefficient of constant relative risk aversion consistent with choices in the Holt-Laury lottery; set to missing if switch at first or last choice.
**************
round	payoff	preference_0	preference_1	preference_2	numadvice	advice_0	advice_1	advice_2	dist_left	dist_right	choice	date	treatment	profit	female	age	sn	se	so	sa	sc	snp	sep	sop	sap	scp	rs	rstas	rses	rsdis	rsbd	group	id	adviser	reasonno	reason_used	a	follow	advice	ra	high_var	crra
5	3.33								1	3		40908.1	1	.1	1	18	42.69058	56.502	66.88345	30.21196	40.77191	25	72	97	0	19	35	10	9	8	8	2	12	1	"GT16"				1	3		-.315
6	0								0	1	0	40908.1	1	3.9	0	19	52.62793	46.29148	42.7405	51.3779	50.92477	59	36	25	54	53	14	8	2	2	2	2	11	0		2	0	1		2	0	-.72
6	3.33								0	1		40908.1	1	.1	1	18	42.69058	56.502	66.88345	30.21196	40.77191	25	72	97	0	19	35	10	9	8	8	2	12	1	"8-12"				0	3		-.315
1	0								0	2	1	40908.1	1	3.9	1	25	54.86386	38.53825	34.97942	49.201	45.26316	66	13	5	47	33	15	7	3	2	3	3	20	0		1	1	1		6	1	.545
1	3.33								0	2		40908.1	1	2	1	21	44.96287	45.36885	33.33333	36.90957	40.93727	32	33	3	9	19	20	4	6	4	6	3	13	1	"GT16"				1	5		.28
2	0								2	3	0	40908.1	1	3.9	1	25	54.86386	38.53825	34.97942	49.201	45.26316	66	13	5	47	33	15	7	3	2	3	3	20	0		2	0	1		6	0	.545
2	3.33								2	3		40908.1	1	2	1	21	44.96287	45.36885	33.33333	36.90957	40.93727	32	33	3	9	19	20	4	6	4	6	3	13	1	"8-12"				0	5		.28
3	6								0	1	1	40908.1	1	3.9	1	25	54.86386	38.53825	34.97942	49.201	45.26316	66	13	5	47	33	15	7	3	2	3	3	20	0		1	1	1		6	1	.545
3	3.33								0	1		40908.1	1	2	1	21	44.96287	45.36885	33.33333	36.90957	40.93727	32	33	3	9	19	20	4	6	4	6	3	13	1	"GT16"				1	5		.28
4	0								0	3	0	40908.1	1	3.9	1	25	54.86386	38.53825	34.97942	49.201	45.26316	66	13	5	47	33	15	7	3	2	3	3	20	0		2	0	1		6	0	.545
4	3.33								0	3		40908.1	1	2	1	21	44.96287	45.36885	33.33333	36.90957	40.93727	32	33	3	9	19	20	4	6	4	6	3	13	1	"8-12"				0	5		.28
5	0								1	2	1	40908.1	1	3.9	1	25	54.86386	38.53825	34.97942	49.201	45.26316	66	13	5	47	33	15	7	3	2	3	3	20	0		2	1	1		6	1	.545
5	3.33								1	2		40908.1	1	2	1	21	44.96287	45.36885	33.33333	36.90957	40.93727	32	33	3	9	19	20	4	6	4	6	3	13	1	"8-12"				1	5		.28
6	0								1	3	0	40908.1	1	3.9	1	25	54.86386	38.53825	34.97942	49.201	45.26316	66	13	5	47	33	15	7	3	2	3	3	20	0		2	0	1		6	0	.545
6	3.33								1	3		40908.1	1	2	1	21	44.96287	45.36885	33.33333	36.90957	40.93727	32	33	3	9	19	20	4	6	4	6	3	13	1	"8-12"				0	5		.28
1	0								0	1	1	40908.1	1	3.9	0	20	57.68162	41.08653	50.82457	56.83492	53.6853	76	20	52	73	62	23	9	5	6	3	4	16	0		1	1	1		6	1	.545
1	3.33								0	1		40908.1	1	1.6	1	22	41.86881	57.66394	62.13992	54.46883	64.00865	22	76	88	65	92	20	3	7	10	0	4	7	1	"GT16"				1	7		.825
2	0								1	3	0	40908.1	1	3.9	0	20	57.68162	41.08653	50.82457	56.83492	53.6853	76	20	52	73	62	23	9	5	6	3	4	16	0		2	0	1		6	0	.545
2	3.33								1	3		40908.1	1	1.6	1	22	41.86881	57.66394	62.13992	54.46883	64.00865	22	76	88	65	92	20	3	7	10	0	4	7	1	"8-12"				0	7		.825
3	1								0	3	1	40908.1	1	3.9	0	20	57.68162	41.08653	50.82457	56.83492	53.6853	76	20	52	73	62	23	9	5	6	3	4	16	0		1	1	1		6	1	.545
3	3.33								0	3		40908.1	1	1.6	1	22	41.86881	57.66394	62.13992	54.46883	64.00865	22	76	88	65	92	20	3	7	10	0	4	7	1	"GT16"				1	7		.825
4	0								0	2	1	40908.1	1	3.9	0	20	57.68162	41.08653	50.82457	56.83492	53.6853	76	20	52	73	62	23	9	5	6	3	4	16	0		1	1	1		6	1	.545
4	3.33								0	2		40908.1	1	1.6	1	22	41.86881	57.66394	62.13992	54.46883	64.00865	22	76	88	65	92	20	3	7	10	0	4	7	1	"GT16"				1	7		.825
5	0								1	2	0	40908.1	1	3.9	0	20	57.68162	41.08653	50.82457	56.83492	53.6853	76	20	52	73	62	23	9	5	6	3	4	16	0		1	1	0		6	0	.545
5	3.33								1	2		40908.1	1	1.6	1	22	41.86881	57.66394	62.13992	54.46883	64.00865	22	76	88	65	92	20	3	7	10	0	4	7	1	"GT16"				1	7		.825
6	0								2	3	0	40908.1	1	3.9	0	20	57.68162	41.08653	50.82457	56.83492	53.6853	76	20	52	73	62	23	9	5	6	3	4	16	0		2	0	1		6	0	.545
6	3.33								2	3		40908.1	1	1.6	1	22	41.86881	57.66394	62.13992	54.46883	64.00865	22	76	88	65	92	20	3	7	10	0	4	7	1	"8-12"				0	7		.825
1	0								0	1	0	40908.1	1	2	0	21	62.76092	48.09336	38.52964	33.80153	39.13805	89	43	13	3	14	21	6	6	6	3	5	18	0		2	0	1		7	0	.825
1	3.33								0	1		40908.1	1	3.9	1	20	61.909	35.80774	47.45777	38.539	38.68568	87	7	40	13	13	16	5	6	4	1	5	19	1	"8-12"				0	7		.825
2	0								0	2	1	40908.1	1	2	0	21	62.76092	48.09336	38.52964	33.80153	39.13805	89	43	13	3	14	21	6	6	6	3	5	18	0		1	1	1		7	1	.825
2	3.33								0	2		40908.1	1	3.9	1	20	61.909	35.80774	47.45777	38.539	38.68568	87	7	40	13	13	16	5	6	4	1	5	19	1	"GT16"				1	7		.825
3	0								1	2	0	40908.1	1	2	0	21	62.76092	48.09336	38.52964	33.80153	39.13805	89	43	13	3	14	21	6	6	6	3	5	18	0		2	1	0		7	0	.825
3	0								1	2		40908.1	1	3.9	1	20	61.909	35.80774	47.45777	38.539	38.68568	87	7	40	13	13	16	5	6	4	1	5	19	1	"8-12"				1	7		.825
4	0								0	3	0	40908.1	1	2	0	21	62.76092	48.09336	38.52964	33.80153	39.13805	89	43	13	3	14	21	6	6	6	3	5	18	0		2	0	1		7	0	.825
4	3.33								0	3		40908.1	1	3.9	1	20	61.909	35.80774	47.45777	38.539	38.68568	87	7	40	13	13	16	5	6	4	1	5	19	1	"8-12"				0	7		.825
5	0								2	3	0	40908.1	1	2	0	21	62.76092	48.09336	38.52964	33.80153	39.13805	89	43	13	3	14	21	6	6	6	3	5	18	0		2	0	1		7	0	.825
5	3.33								2	3		40908.1	1	3.9	1	20	61.909	35.80774	47.45777	38.539	38.68568	87	7	40	13	13	16	5	6	4	1	5	19	1	"8-12"				0	7		.825
6	20								1	3	1	40908.1	1	2	0	21	62.76092	48.09336	38.52964	33.80153	39.13805	89	43	13	3	14	21	6	6	6	3	5	18	0		2	0	0		7	1	.825
6	0								1	3		40908.1	1	3.9	1	20	61.909	35.80774	47.45777	38.539	38.68568	87	7	40	13	13	16	5	6	4	1	5	19	1	"8-12"				0	7		.825
1	0								2	3	0	40908.1	1	1.6	0	19	60.20847	46.9421	53.24979	50.01364	47.47412	83	39	61	50	41	29	7	9	10	3	6	15	0		2	0	1		5	0	.28
1	3.33								2	3		40908.1	1	3.9	0	18	53.89135	43.03839	44.35732	47.96725	55.75569	63	26	30	42	69	19	2	5	4	8	6	4	1	"8-12"				0	4		.005
2	12								0	1	0	40908.1	1	1.6	0	19	60.20847	46.9421	53.24979	50.01364	47.47412	83	39	61	50	41	29	7	9	10	3	6	15	0		2	0	1		5	0	.28
2	3.33								0	1		40908.1	1	3.9	0	18	53.89135	43.03839	44.35732	47.96725	55.75569	63	26	30	42	69	19	2	5	4	8	6	4	1	"8-12"				0	4		.005
3	0								0	3	0	40908.1	1	1.6	0	19	60.20847	46.9421	53.24979	50.01364	47.47412	83	39	61	50	41	29	7	9	10	3	6	15	0		2	0	1		5	0	.28
3	3.33								0	3		40908.1	1	3.9	0	18	53.89135	43.03839	44.35732	47.96725	55.75569	63	26	30	42	69	19	2	5	4	8	6	4	1	"8-12"				0	4		.005
4	0								1	3	1	40908.1	1	1.6	0	19	60.20847	46.9421	53.24979	50.01364	47.47412	83	39	61	50	41	29	7	9	10	3	6	15	0		1	1	1		5	1	.28
4	3.33								1	3		40908.1	1	3.9	0	18	53.89135	43.03839	44.35732	47.96725	55.75569	63	26	30	42	69	19	2	5	4	8	6	4	1	"GT16"				1	4		.005
5	0								0	2	1	40908.1	1	1.6	0	19	60.20847	46.9421	53.24979	50.01364	47.47412	83	39	61	50	41	29	7	9	10	3	6	15	0		2	0	0		5	1	.28
5	0								0	2		40908.1	1	3.9	0	18	53.89135	43.03839	44.35732	47.96725	55.75569	63	26	30	42	69	19	2	5	4	8	6	4	1	"8-12"				0	4		.005
6	0								1	2	0	40908.1	1	1.6	0	19	60.20847	46.9421	53.24979	50.01364	47.47412	83	39	61	50	41	29	7	9	10	3	6	15	0		1	1	0		5	0	.28
6	3.33								1	2		40908.1	1	3.9	0	18	53.89135	43.03839	44.35732	47.96725	55.75569	63	26	30	42	69	19	2	5	4	8	6	4	1	"GT16"				1	4		.005
1	0								0	2	0	40908.1	1	1.6	1	19	51.65919	38.478	48.30236	68.81908	42.16273	55	13	43	98	23	17	5	7	3	2	7	14	0		2	0	1		7	0	.825
1	3.33								0	2		40908.1	1	3.9	0	22	48.19781	61.2426	49.59684	49.0687	47.5473	43	86	48	46	41	26	8	7	9	2	7	6	1	"8-12"				0	7		.825
2	0								0	3	0	40908.1	1	1.6	1	19	51.65919	38.478	48.30236	68.81908	42.16273	55	13	43	98	23	17	5	7	3	2	7	14	0		0	0	1		7	0	.825
2	3.33								0	3		40908.1	1	3.9	0	22	48.19781	61.2426	49.59684	49.0687	47.5473	43	86	48	46	41	26	8	7	9	2	7	6	1	"LT4"				0	7		.825
3	0								1	3	0	40908.1	1	1.6	1	19	51.65919	38.478	48.30236	68.81908	42.16273	55	13	43	98	23	17	5	7	3	2	7	14	0		2	0	1		7	0	.825
3	3.33								1	3		40908.1	1	3.9	0	22	48.19781	61.2426	49.59684	49.0687	47.5473	43	86	48	46	41	26	8	7	9	2	7	6	1	"8-12"				0	7		.825
4	0								1	2	1	40908.1	1	1.6	1	19	51.65919	38.478	48.30236	68.81908	42.16273	55	13	43	98	23	17	5	7	3	2	7	14	0		2	1	1		7	1	.825
4	3.33								1	2		40908.1	1	3.9	0	22	48.19781	61.2426	49.59684	49.0687	47.5473	43	86	48	46	41	26	8	7	9	2	7	6	1	"8-12"				1	7		.825
5	0								0	1	0	40908.1	1	1.6	1	19	51.65919	38.478	48.30236	68.81908	42.16273	55	13	43	98	23	17	5	7	3	2	7	14	0		2	0	1		7	0	.825
5	3.33								0	1		40908.1	1	3.9	0	22	48.19781	61.2426	49.59684	49.0687	47.5473	43	86	48	46	41	26	8	7	9	2	7	6	1	"8-12"				0	7		.825
6	16								2	3	0	40908.1	1	1.6	1	19	51.65919	38.478	48.30236	68.81908	42.16273	55	13	43	98	23	17	5	7	3	2	7	14	0		2	0	1		7	0	.825
6	3.33								2	3		40908.1	1	3.9	0	22	48.19781	61.2426	49.59684	49.0687	47.5473	43	86	48	46	41	26	8	7	9	2	7	6	1	"8-12"				0	7		.825
1	0								0	3	0	40908.1	1	1.6	0	20	26.096	57.352	64.5675	63.6562	63.34713	1	75	93	91	91	31	9	9	6	7	8	9	0		2	0	1		4	0	.005
1	3.33								0	3		40908.1	1	3.9	1	20	52.2998	52.49666	44.07939	46.109	51.89847	58	58	29	36	56	9	0	3	1	5	8	1	1	"8-12"				0	5		.28
2	0								2	3	1	40908.1	1	1.6	0	20	26.096	57.352	64.5675	63.6562	63.34713	1	75	93	91	91	31	9	9	6	7	8	9	0		1	1	1		4	1	.005
2	3.33								2	3		40908.1	1	3.9	1	20	52.2998	52.49666	44.07939	46.109	51.89847	58	58	29	36	56	9	0	3	1	5	8	1	1	"GT16"				1	5		.28
3	0								1	3	0	40908.1	1	1.6	0	20	26.096	57.352	64.5675	63.6562	63.34713	1	75	93	91	91	31	9	9	6	7	8	9	0		2	0	1		4	0	.005
3	3.33								1	3		40908.1	1	3.9	1	20	52.2998	52.49666	44.07939	46.109	51.89847	58	58	29	36	56	9	0	3	1	5	8	1	1	"8-12"				0	5		.28
4	11								0	2	0	40908.1	1	1.6	0	20	26.096	57.352	64.5675	63.6562	63.34713	1	75	93	91	91	31	9	9	6	7	8	9	0		2	0	1		4	0	.005
4	3.33								0	2		40908.1	1	3.9	1	20	52.2998	52.49666	44.07939	46.109	51.89847	58	58	29	36	56	9	0	3	1	5	8	1	1	"8-12"				0	5		.28
5	0								0	1	1	40908.1	1	1.6	0	20	26.096	57.352	64.5675	63.6562	63.34713	1	75	93	91	91	31	9	9	6	7	8	9	0		2	0	0		4	1	.005
5	0								0	1		40908.1	1	3.9	1	20	52.2998	52.49666	44.07939	46.109	51.89847	58	58	29	36	56	9	0	3	1	5	8	1	1	"8-12"				0	5		.28
6	0								1	2	0	40908.1	1	1.6	0	20	26.096	57.352	64.5675	63.6562	63.34713	1	75	93	91	91	31	9	9	6	7	8	9	0		2	1	0		4	0	.005
6	0								1	2		40908.1	1	3.9	1	20	52.2998	52.49666	44.07939	46.109	51.89847	58	58	29	36	56	9	0	3	1	5	8	1	1	"8-12"				1	5		.28
1	0								1	2	1	40908.1	1	1.6	0	18	45.04738	59.30384	51.633	56.83492	57.82608	32	80	55	73	76	21	9	5	5	2	9	3	0		2	1	1		4	1	.005
1	3.33								1	2		40908.1	1	2	1	21	47.43812	59.03	44.03292	37.78753	43.10022	40	80	29	11	26	23	10	5	5	3	9	17	1	"8-12"				1	6		.545
2	0								0	1	0	40908.1	1	1.6	0	18	45.04738	59.30384	51.633	56.83492	57.82608	32	80	55	73	76	21	9	5	5	2	9	3	0		2	0	1		4	0	.005
2	3.33								0	1		40908.1	1	2	1	21	47.43812	59.03	44.03292	37.78753	43.10022	40	80	29	11	26	23	10	5	5	3	9	17	1	"8-12"				0	6		.545
3	-5								0	2	1	40908.1	1	1.6	0	18	45.04738	59.30384	51.633	56.83492	57.82608	32	80	55	73	76	21	9	5	5	2	9	3	0		2	0	0		4	1	.005
3	0								0	2		40908.1	1	2	1	21	47.43812	59.03	44.03292	37.78753	43.10022	40	80	29	11	26	23	10	5	5	3	9	17	1	"8-12"				0	6		.545
4	0								1	3	1	40908.1	1	1.6	0	18	45.04738	59.30384	51.633	56.83492	57.82608	32	80	55	73	76	21	9	5	5	2	9	3	0		1	1	1		4	1	.005
4	3.33								1	3		40908.1	1	2	1	21	47.43812	59.03	44.03292	37.78753	43.10022	40	80	29	11	26	23	10	5	5	3	9	17	1	"GT16"				1	6		.545
5	0								2	3	0	40908.1	1	1.6	0	18	45.04738	59.30384	51.633	56.83492	57.82608	32	80	55	73	76	21	9	5	5	2	9	3	0		2	0	1		4	0	.005
5	3.33								2	3		40908.1	1	2	1	21	47.43812	59.03	44.03292	37.78753	43.10022	40	80	29	11	26	23	10	5	5	3	9	17	1	"8-12"				0	6		.545
6	0								0	3	0	40908.1	1	1.6	0	18	45.04738	59.30384	51.633	56.83492	57.82608	32	80	55	73	76	21	9	5	5	2	9	3	0		2	0	1		4	0	.005
6	3.33								0	3		40908.1	1	2	1	21	47.43812	59.03	44.03292	37.78753	43.10022	40	80	29	11	26	23	10	5	5	3	9	17	1	"8-12"				0	6		.545
1	0								1	2	1	40908.1	1	1.6	0	19	36.83512	64.50879	58.10024	45.92087	44.71359	9	93	77	35	31	27	10	6	4	7	10	8	0		1	1	1		7	1	.825
1	0								1	2		40908.1	1	1.6	1	20	45.89365	52.49666	43.23479	43.081	56.76635	35	58	26	26	73	11	4	4	0	3	10	5	1	"GT16"				1	5		.28
2	11								2	3	0	40908.1	1	1.6	0	19	36.83512	64.50879	58.10024	45.92087	44.71359	9	93	77	35	31	27	10	6	4	7	10	8	0		2	0	1		7	0	.825
2	3.33								2	3		40908.1	1	1.6	1	20	45.89365	52.49666	43.23479	43.081	56.76635	35	58	26	26	73	11	4	4	0	3	10	5	1	"8-12"				0	5		.28
3	0								0	1	1	40908.1	1	1.6	0	19	36.83512	64.50879	58.10024	45.92087	44.71359	9	93	77	35	31	27	10	6	4	7	10	8	0		1	1	1		7	1	.825
3	3.33								0	1		40908.1	1	1.6	1	20	45.89365	52.49666	43.23479	43.081	56.76635	35	58	26	26	73	11	4	4	0	3	10	5	1	"GT16"				1	5		.28
4	0								0	3	0	40908.1	1	1.6	0	19	36.83512	64.50879	58.10024	45.92087	44.71359	9	93	77	35	31	27	10	6	4	7	10	8	0		2	0	1		7	0	.825
4	3.33								0	3		40908.1	1	1.6	1	20	45.89365	52.49666	43.23479	43.081	56.76635	35	58	26	26	73	11	4	4	0	3	10	5	1	"8-12"				0	5		.28
5	0								0	2	1	40908.1	1	1.6	0	19	36.83512	64.50879	58.10024	45.92087	44.71359	9	93	77	35	31	27	10	6	4	7	10	8	0		1	1	1		7	1	.825
5	3.33								0	2		40908.1	1	1.6	1	20	45.89365	52.49666	43.23479	43.081	56.76635	35	58	26	26	73	11	4	4	0	3	10	5	1	"GT16"				1	5		.28
6	0								1	3	0	40908.1	1	1.6	0	19	36.83512	64.50879	58.10024	45.92087	44.71359	9	93	77	35	31	27	10	6	4	7	10	8	0		2	0	1		7	0	.825
6	3.33								1	3		40908.1	1	1.6	1	20	45.89365	52.49666	43.23479	43.081	56.76635	35	58	26	26	73	11	4	4	0	3	10	5	1	"8-12"				0	5		.28
1	0								2	3	0	40908.2	1	3.9	0	23	65.1881	49.40828	45.64427	66.626	37.73651	94	47	34	96	11	16	9	6	0	1	11	38	0		2	0	1		4	0	.005
1	3.33								2	3		40908.2	1	1.6	1	22	48.05693	50.15027	42.38683	51.83494	38.05335	43	50	24	56	12	19	8	6	3	2	11	25	1	"8-12"				0	2		-.72
2	9								0	3	0	40908.2	1	3.9	0	23	65.1881	49.40828	45.64427	66.626	37.73651	94	47	34	96	11	16	9	6	0	1	11	38	0		2	0	1		4	0	.005
2	3.33								0	3		40908.2	1	1.6	1	22	48.05693	50.15027	42.38683	51.83494	38.05335	43	50	24	56	12	19	8	6	3	2	11	25	1	"8-12"				0	2		-.72
3	0								0	1	1	40908.2	1	3.9	0	23	65.1881	49.40828	45.64427	66.626	37.73651	94	47	34	96	11	16	9	6	0	1	11	38	0		1	1	1		4	1	.005
3	3.33								0	1		40908.2	1	1.6	1	22	48.05693	50.15027	42.38683	51.83494	38.05335	43	50	24	56	12	19	8	6	3	2	11	25	1	"GT16"				1	2		-.72
4	0								0	2	0	40908.2	1	3.9	0	23	65.1881	49.40828	45.64427	66.626	37.73651	94	47	34	96	11	16	9	6	0	1	11	38	0		2	0	1		4	0	.005
4	3.33								0	2		40908.2	1	1.6	1	22	48.05693	50.15027	42.38683	51.83494	38.05335	43	50	24	56	12	19	8	6	3	2	11	25	1	"8-12"				0	2		-.72
