* Dictionary *
election:		election #
round:		round #
delta:		delta
amount:		amount to divide
weight:		nominal weight (number of votes)
probability:	selection probability
group:		identifies subjects that were grouped together
id:			id #, constant throught session
subject:		subject #, changes across elections
amount1:		offer to subjects #1
amount2:		offer to subjects #2
amount3:		offer to subjects #3
selected:		proposal selected to take the floor
vote:			= 1 if the subject votes in favor of the selected offer (the proposal on the floor), = 0 o/w
date:			session date (month/day/year)
experienced:	= 1 if subjects have participated in 1 session before, 0 o/w
dropped:		identifies all the data that was dropped from the analysis reported in the paper because the proposal on the floor was from a subject that appeared confused, that subject participated in one inexperienced and one experienced session; = 1 if dropped, = 0 o/w
**************

election	round	delta	amount	weight	probability	group	id	subject	amount1	amount2	amount3	selected	vote	date	experienced	dropped
3	4	1	30	33	.3333333	4	9	2	15	15	0	0	0	22702	0	0
3	4	1	30	33	.3333333	4	10	1	15	15	0	0	0	22702	0	0
3	5	1	30	33	.3333333	4	2	3	0	12	18	1	1	22702	0	0
3	5	1	30	33	.3333333	4	9	2	15	15	0	0	0	22702	0	0
3	5	1	30	33	.3333333	4	10	1	15	15	0	0	0	22702	0	0
3	6	1	30	33	.3333333	4	2	3	10	10	10	1	1	22702	0	0
3	6	1	30	33	.3333333	4	9	2	15	15	0	0	0	22702	0	0
3	6	1	30	33	.3333333	4	10	1	15	15	0	0	1	22702	0	0
4	1	1	30	33	.3333333	1	5	3	12	8	10	0	1	22702	0	0
4	1	1	30	33	.3333333	1	12	1	20	10	0	0	0	22702	0	0
4	1	1	30	33	.3333333	1	13	2	0	15	15	1	1	22702	0	0
4	1	1	30	33	.3333333	2	6	2	0	15	15	0	0	22702	0	0
4	1	1	30	33	.3333333	2	7	3	0	14	16	0	0	22702	0	0
4	1	1	30	33	.3333333	2	8	1	27	2	1	1	1	22702	0	0
4	1	1	30	33	.3333333	3	9	1	15	15	0	0	1	22702	0	0
4	1	1	30	33	.3333333	3	10	2	16	14	0	0	0	22702	0	0
4	1	1	30	33	.3333333	3	14	3	14	0	16	1	1	22702	0	0
4	1	1	30	33	.3333333	4	4	2	14	16	0	1	1	22702	0	0
4	1	1	30	33	.3333333	4	11	3	20	5	5	0	0	22702	0	0
4	1	1	30	33	.3333333	4	15	1	15.5	14.25	.25	0	1	22702	0	0
4	1	1	30	33	.3333333	5	1	2	10	11	9	0	0	22702	0	1
4	1	1	30	33	.3333333	5	2	1	5	10	15	1	0	22702	0	1
4	1	1	30	33	.3333333	5	3	3	6	12	12	0	1	22702	0	1
4	2	1	30	33	.3333333	2	6	2	0	15	15	0	0	22702	0	0
4	2	1	30	33	.3333333	2	7	3	0	14	16	0	0	22702	0	0
4	2	1	30	33	.3333333	2	8	1	25	5	0	1	1	22702	0	0
4	2	1	30	33	.3333333	5	1	2	10	11	9	0	0	22702	0	1
4	2	1	30	33	.3333333	5	2	1	22	4	4	0	0	22702	0	1
4	2	1	30	33	.3333333	5	3	3	6	12	12	1	1	22702	0	1
4	3	1	30	33	.3333333	2	6	2	0	15	15	1	1	22702	0	0
4	3	1	30	33	.3333333	2	7	3	0	13	17	0	1	22702	0	0
4	3	1	30	33	.3333333	2	8	1	23	4	3	0	0	22702	0	0
4	3	1	30	33	.3333333	5	1	2	10	11	9	0	1	22702	0	1
4	3	1	30	33	.3333333	5	2	1	14	10	6	0	1	22702	0	1
4	3	1	30	33	.3333333	5	3	3	10	10	10	1	1	22702	0	1
5	1	1	30	33	.3333333	1	7	1	16	14	0	0	0	22702	0	0
5	1	1	30	33	.3333333	1	8	3	9	9	12	0	1	22702	0	0
5	1	1	30	33	.3333333	1	15	2	.25	16.25	13.5	1	1	22702	0	0
5	1	1	30	33	.3333333	2	3	1	15	15	0	1	1	22702	0	0
5	1	1	30	33	.3333333	2	10	2	11	19	0	0	1	22702	0	0
5	1	1	30	33	.3333333	2	14	3	0	14	16	0	0	22702	0	0
5	1	1	30	33	.3333333	3	1	2	0	30	0	0	0	22702	0	1
5	1	1	30	33	.3333333	3	2	1	17	8	5	1	1	22702	0	1
5	1	1	30	33	.3333333	3	9	3	14.5	0	15.5	0	0	22702	0	1
5	1	1	30	33	.3333333	4	6	1	20	5	5	0	1	22702	0	0
5	1	1	30	33	.3333333	4	11	2	15	14	1	1	1	22702	0	0
5	1	1	30	33	.3333333	4	13	3	15	0	15	0	0	22702	0	0
5	1	1	30	33	.3333333	5	4	3	14	0	16	1	1	22702	0	0
5	1	1	30	33	.3333333	5	5	2	12	8	10	0	0	22702	0	0
5	1	1	30	33	.3333333	5	12	1	15	15	0	0	1	22702	0	0
5	2	1	30	33	.3333333	3	1	2	0	30	0	1	1	22702	0	1
5	2	1	30	33	.3333333	3	2	1	12	6	12	0	0	22702	0	1
5	2	1	30	33	.3333333	3	9	3	0	14.5	15.5	0	0	22702	0	1
5	3	1	30	33	.3333333	3	1	2	0	30	0	0	0	22702	0	1
5	3	1	30	33	.3333333	3	2	1	25	4.5	.5	1	1	22702	0	1
5	3	1	30	33	.3333333	3	9	3	15	0	15	0	0	22702	0	1
5	4	1	30	33	.3333333	3	1	2	0	30	0	0	0	22702	0	1
5	4	1	30	33	.3333333	3	2	1	10	10	10	0	1	22702	0	1
5	4	1	30	33	.3333333	3	9	3	15	0	15	1	1	22702	0	1
6	1	1	30	33	.3333333	1	1	1	30	0	0	0	0	22702	0	1
6	1	1	30	33	.3333333	1	5	2	3	26	1	0	1	22702	0	1
6	1	1	30	33	.3333333	1	12	3	6	12	12	1	1	22702	0	1
6	1	1	30	33	.3333333	2	6	3	10	0	20	0	0	22702	0	0
6	1	1	30	33	.3333333	2	7	2	0	16	14	0	0	22702	0	0
6	1	1	30	33	.3333333	2	8	1	18	10	2	1	1	22702	0	0
6	1	1	30	33	.3333333	3	3	2	0	15	15	0	0	22702	0	0
