/*****************************************************
*Dictionary*

round           repetition number. 10 rounds per session repeating the game
period          2 periods per game. 
group           group to which the subject belongs
subject         number, constant for a subject in the same session
subjectid       identity of the subject in the group: 1, 2 or 3
stage           proposal stage. if it passes first time only one stage is needed, potentially very large
x0              size of project at the beginning of a period
b1              provisional proposal to member with id1 
b2              idem id2
b3              idem id3
x               provisional allocation to investment
p1              selected proposal, allocation to member with id1
p2              idem id2
p3              idem id3
xp              selected allocation to investment
proposerid      id of the proposer
proposer        whether subject is the proposer
vote1           how the subject with id 1 voted: 1, voted in favor, 0 against
vote2           idem id2
vote3           idem id3
treatment       3: dynamic bargaining 80, 2: dynamic bargaining 20, 1: static bargaining
session         consecutive numbering for sessions
id              consecutive numbering for subjects
location        UCLA or NYU
my_priv         private allocation
prop_priv_floor proposer private allocation in the floor
high_priv       highest private allocation in provisional proposal
low_priv        lowest private allocation in provisional proposal
mwc             minimum winning coalition=1.
a10_mwc         aX_ stands for Almost with X units of slack on the lowest share
a20_mwc         idem X=20
a30_mwc         idem X=30

*****************************************************************************************************/
treatment	session	round	group	period	stage	id	subject	inv0	b1	b2	b3	inv	proposer	p1	p2	p3	subjectid	invp	proposerid	vote1	vote2	vote3	location	my_priv	prop_priv_floor	high_priv	low_priv	mwc	a10_mwc	a20_mwc	a30_mwc
"SB"	"UCLA SB S1"	2	0	1	1	138	10	0	120	20	60	0	0	30	40	50	1	80	3	1	0	1	"UCLA"	120	50	60	20	0	0	1	1
"SB"	"UCLA SB S1"	2	0	2	1	47	3	0	50	50	0	100	0	45	0	55	2	100	3	1	0	1	"UCLA"	50	55	50	0	1	1	1	1
"SB"	"UCLA SB S1"	2	0	2	1	60	4	0	45	0	55	100	1	45	0	55	3	100	3	1	0	1	"UCLA"	55	55	45	0	1	1	1	1
"SB"	"UCLA SB S1"	2	0	2	1	138	10	0	180	10	10	0	0	45	0	55	1	100	3	1	0	1	"UCLA"	180	55	10	10	0	0	0	0
"SB"	"UCLA SB S1"	2	1	1	1	8	0	0	0	85	85	30	1	0	85	85	3	30	3	0	1	1	"UCLA"	85	85	85	0	1	1	1	1
"SB"	"UCLA SB S1"	2	1	1	1	172	13	0	70	60	0	70	0	0	85	85	1	30	3	0	1	1	"UCLA"	70	85	60	0	1	1	1	1
"SB"	"UCLA SB S1"	2	1	1	1	182	14	0	40	80	30	50	0	0	85	85	2	30	3	0	1	1	"UCLA"	80	85	40	30	0	0	0	1
"SB"	"UCLA SB S1"	2	1	2	1	8	0	0	85	0	85	30	0	30	100	30	3	40	2	0	1	0	"UCLA"	85	100	85	0	1	1	1	1
"SB"	"UCLA SB S1"	2	1	2	1	172	13	0	80	80	0	40	0	30	100	30	1	40	2	0	1	0	"UCLA"	80	100	80	0	1	1	1	1
"SB"	"UCLA SB S1"	2	1	2	1	182	14	0	30	100	30	40	1	30	100	30	2	40	2	0	1	0	"UCLA"	100	100	30	30	0	0	0	0
"SB"	"UCLA SB S1"	2	1	2	2	8	0	0	85	0	85	30	0	70	70	0	3	60	1	1	1	0	"UCLA"	85	70	85	0	1	1	1	1
"SB"	"UCLA SB S1"	2	1	2	2	172	13	0	70	70	0	60	1	70	70	0	1	60	1	1	1	0	"UCLA"	70	70	70	0	1	1	1	1
"SB"	"UCLA SB S1"	2	1	2	2	182	14	0	40	80	40	40	0	70	70	0	2	60	1	1	1	0	"UCLA"	80	70	40	40	0	0	0	0
"SB"	"UCLA SB S1"	2	2	1	1	21	1	0	6	87	87	20	0	50	50	50	3	50	1	1	1	1	"UCLA"	87	50	87	6	0	1	1	1
"SB"	"UCLA SB S1"	2	2	1	1	99	7	0	50	50	50	50	0	50	50	50	2	50	1	1	1	1	"UCLA"	50	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	2	2	1	1	151	11	0	50	50	50	50	1	50	50	50	1	50	1	1	1	1	"UCLA"	50	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	2	2	2	1	21	1	0	20	80	80	20	0	50	50	50	3	50	2	1	1	1	"UCLA"	80	50	80	20	0	0	1	1
"SB"	"UCLA SB S1"	2	2	2	1	99	7	0	50	50	50	50	1	50	50	50	2	50	2	1	1	1	"UCLA"	50	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	2	2	2	1	151	11	0	75	75	30	20	0	50	50	50	1	50	2	1	1	1	"UCLA"	75	50	75	30	0	0	0	1
"SB"	"UCLA SB S1"	2	3	1	1	112	8	0	50	50	50	50	0	50	50	50	3	50	1	1	1	1	"UCLA"	50	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	2	3	1	1	125	9	0	0	10	10	180	0	50	50	50	2	50	1	1	1	1	"UCLA"	10	50	10	0	1	0	0	0
"SB"	"UCLA SB S1"	2	3	1	1	162	12	0	50	50	50	50	1	50	50	50	1	50	1	1	1	1	"UCLA"	50	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	2	3	2	1	112	8	0	40	50	60	50	0	100	50	30	3	20	1	1	0	0	"UCLA"	60	100	50	40	0	0	0	0
"SB"	"UCLA SB S1"	2	3	2	1	125	9	0	10	10	0	180	0	100	50	30	2	20	1	1	0	0	"UCLA"	10	100	10	0	1	0	0	0
"SB"	"UCLA SB S1"	2	3	2	1	162	12	0	100	50	30	20	1	100	50	30	1	20	1	1	0	0	"UCLA"	100	100	50	30	0	0	0	1
"SB"	"UCLA SB S1"	2	3	2	2	112	8	0	50	50	50	50	0	0	10	10	3	180	2	0	1	1	"UCLA"	50	10	50	50	0	0	0	0
"SB"	"UCLA SB S1"	2	3	2	2	125	9	0	0	10	10	180	1	0	10	10	2	180	2	0	1	1	"UCLA"	10	10	10	0	1	0	0	0
"SB"	"UCLA SB S1"	2	3	2	2	162	12	0	50	50	50	50	0	0	10	10	1	180	2	0	1	1	"UCLA"	50	10	50	50	0	0	0	0
"SB"	"UCLA SB S1"	2	4	1	1	34	2	0	50	50	50	50	1	50	50	50	2	50	2	1	1	1	"UCLA"	50	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	2	4	1	1	73	5	0	50	50	50	50	0	50	50	50	3	50	2	1	1	1	"UCLA"	50	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	2	4	1	1	86	6	0	60	50	50	40	0	50	50	50	1	50	2	1	1	1	"UCLA"	60	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	2	4	2	1	34	2	0	50	50	50	50	1	50	50	50	2	50	2	0	1	1	"UCLA"	50	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	2	4	2	1	73	5	0	50	50	50	50	0	50	50	50	3	50	2	0	1	1	"UCLA"	50	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	2	4	2	1	86	6	0	80	50	50	20	0	50	50	50	1	50	2	0	1	1	"UCLA"	80	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	3	0	1	1	34	2	0	40	40	40	80	0	50	50	50	2	50	1	1	0	1	"UCLA"	40	50	40	40	0	0	0	0
