/*****************************************************
*Dictionary*

round           repetition number. 10 rounds per session repeating the game
period          2 periods per game. 
group           group to which the subject belongs
subject         number, constant for a subject in the same session
subjectid       identity of the subject in the group: 1, 2 or 3
stage           proposal stage. if it passes first time only one stage is needed, potentially very large
x0              size of project at the beginning of a period
b1              provisional proposal to member with id1 
b2              idem id2
b3              idem id3
x               provisional allocation to investment
p1              selected proposal, allocation to member with id1
p2              idem id2
p3              idem id3
xp              selected allocation to investment
proposerid      id of the proposer
proposer        whether subject is the proposer
vote1           how the subject with id 1 voted: 1, voted in favor, 0 against
vote2           idem id2
vote3           idem id3
treatment       3: dynamic bargaining 80, 2: dynamic bargaining 20, 1: static bargaining
session         consecutive numbering for sessions
id              consecutive numbering for subjects
location        UCLA or NYU
my_priv         private allocation
prop_priv_floor proposer private allocation in the floor
high_priv       highest private allocation in provisional proposal
low_priv        lowest private allocation in provisional proposal
mwc             minimum winning coalition=1.
a10_mwc         aX_ stands for Almost with X units of slack on the lowest share
a20_mwc         idem X=20
a30_mwc         idem X=30

*****************************************************************************************************/
treatment	session	round	group	period	stage	id	subject	inv0	b1	b2	b3	inv	proposer	p1	p2	p3	subjectid	invp	proposerid	vote1	vote2	vote3	location	my_priv	prop_priv_floor	high_priv	low_priv	mwc	a10_mwc	a20_mwc	a30_mwc
"SB"	"UCLA SB S3"	4	4	1	1	10	0	0	0	85	95	20	1	0	85	95	3	20	3	0	1	1	"UCLA"	95	95	85	0	1	1	1	1
"SB"	"UCLA SB S3"	4	4	1	1	36	2	0	0	99	85	16	0	0	85	95	2	20	3	0	1	1	"UCLA"	99	95	85	0	1	1	1	1
"SB"	"UCLA SB S3"	4	4	1	1	101	7	0	95	95	0	10	0	0	85	95	1	20	3	0	1	1	"UCLA"	95	95	95	0	1	1	1	1
"SB"	"UCLA SB S3"	4	4	2	1	10	0	0	0	85	98	17	1	0	85	98	3	17	3	0	0	1	"UCLA"	98	98	85	0	1	1	1	1
"SB"	"UCLA SB S3"	4	4	2	1	36	2	0	85	99	0	16	0	0	85	98	2	17	3	0	0	1	"UCLA"	99	98	85	0	1	1	1	1
"SB"	"UCLA SB S3"	4	4	2	1	101	7	0	100	90	0	10	0	0	85	98	1	17	3	0	0	1	"UCLA"	100	98	90	0	1	1	1	1
"SB"	"UCLA SB S3"	4	4	2	2	10	0	0	0	85	98	17	0	100	90	0	3	10	1	1	1	0	"UCLA"	98	100	85	0	1	1	1	1
"SB"	"UCLA SB S3"	4	4	2	2	36	2	0	85	99	0	16	0	100	90	0	2	10	1	1	1	0	"UCLA"	99	100	85	0	1	1	1	1
"SB"	"UCLA SB S3"	4	4	2	2	101	7	0	100	90	0	10	1	100	90	0	1	10	1	1	1	0	"UCLA"	100	100	90	0	1	1	1	1
"SB"	"UCLA SB S3"	5	0	1	1	75	5	0	48	48	48	56	1	48	48	48	3	56	3	0	1	1	"UCLA"	48	48	48	48	0	0	0	0
"SB"	"UCLA SB S3"	5	0	1	1	88	6	0	100	80	0	20	0	48	48	48	1	56	3	0	1	1	"UCLA"	100	48	80	0	1	1	1	1
"SB"	"UCLA SB S3"	5	0	1	1	174	13	0	55	70	55	20	0	48	48	48	2	56	3	0	1	1	"UCLA"	70	48	55	55	0	0	0	0
"SB"	"UCLA SB S3"	5	0	2	1	75	5	0	48	48	48	56	1	48	48	48	3	56	3	1	1	1	"UCLA"	48	48	48	48	0	0	0	0
"SB"	"UCLA SB S3"	5	0	2	1	88	6	0	100	80	0	20	0	48	48	48	1	56	3	1	1	1	"UCLA"	100	48	80	0	1	1	1	1
"SB"	"UCLA SB S3"	5	0	2	1	174	13	0	48	48	48	56	0	48	48	48	2	56	3	1	1	1	"UCLA"	48	48	48	48	0	0	0	0
"SB"	"UCLA SB S3"	5	1	1	1	36	2	0	0	85	99	16	1	0	85	99	3	16	3	0	1	1	"UCLA"	99	99	85	0	1	1	1	1
"SB"	"UCLA SB S3"	5	1	1	1	114	8	0	90	0	90	20	0	0	85	99	1	16	3	0	1	1	"UCLA"	90	99	90	0	1	1	1	1
"SB"	"UCLA SB S3"	5	1	1	1	127	9	0	95	90	0	15	0	0	85	99	2	16	3	0	1	1	"UCLA"	90	99	95	0	1	1	1	1
"SB"	"UCLA SB S3"	5	1	2	1	36	2	0	85	0	99	16	0	90	90	0	3	20	1	1	1	0	"UCLA"	99	90	85	0	1	1	1	1
"SB"	"UCLA SB S3"	5	1	2	1	114	8	0	90	90	0	20	1	90	90	0	1	20	1	1	1	0	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	5	1	2	1	127	9	0	0	99	85	16	0	90	90	0	2	20	1	1	1	0	"UCLA"	99	90	85	0	1	1	1	1
"SB"	"UCLA SB S3"	5	2	1	1	101	7	0	0	95	83	22	0	80	80	10	2	30	1	1	1	0	"UCLA"	95	80	83	0	1	1	1	1
"SB"	"UCLA SB S3"	5	2	1	1	140	10	0	80	80	10	30	1	80	80	10	1	30	1	1	1	0	"UCLA"	80	80	80	10	0	1	1	1
"SB"	"UCLA SB S3"	5	2	1	1	153	11	0	5	85	90	20	0	80	80	10	3	30	1	1	1	0	"UCLA"	90	80	85	5	0	1	1	1
"SB"	"UCLA SB S3"	5	2	2	1	101	7	0	0	120	80	0	0	85	0	90	2	25	3	1	0	1	"UCLA"	120	90	80	0	1	1	1	1
"SB"	"UCLA SB S3"	5	2	2	1	140	10	0	80	10	80	30	0	85	0	90	1	25	3	1	0	1	"UCLA"	80	90	80	10	0	1	1	1
"SB"	"UCLA SB S3"	5	2	2	1	153	11	0	85	0	90	25	1	85	0	90	3	25	3	1	0	1	"UCLA"	90	90	85	0	1	1	1	1
"SB"	"UCLA SB S3"	5	3	1	1	10	0	0	0	98	85	17	1	0	98	85	2	17	2	0	1	1	"UCLA"	98	98	85	0	1	1	1	1
"SB"	"UCLA SB S3"	5	3	1	1	164	12	0	0	90	90	20	0	0	98	85	3	17	2	0	1	1	"UCLA"	90	98	90	0	1	1	1	1
"SB"	"UCLA SB S3"	5	3	1	1	184	14	0	85	85	0	30	0	0	98	85	1	17	2	0	1	1	"UCLA"	85	98	85	0	1	1	1	1
"SB"	"UCLA SB S3"	5	3	2	1	10	0	0	0	99	85	16	1	0	99	85	2	16	2	0	1	1	"UCLA"	99	99	85	0	1	1	1	1
"SB"	"UCLA SB S3"	5	3	2	1	164	12	0	0	98	85	17	0	0	99	85	3	16	2	0	1	1	"UCLA"	85	99	98	0	1	1	1	1
"SB"	"UCLA SB S3"	5	3	2	1	184	14	0	99	85	0	16	0	0	99	85	1	16	2	0	1	1	"UCLA"	99	99	85	0	1	1	1	1
"SB"	"UCLA SB S3"	5	4	1	1	23	1	0	0	90	90	20	0	80	80	0	2	40	1	1	1	0	"UCLA"	90	80	90	0	1	1	1	1
"SB"	"UCLA SB S3"	5	4	1	1	49	3	0	80	80	0	40	1	80	80	0	1	40	1	1	1	0	"UCLA"	80	80	80	0	1	1	1	1
"SB"	"UCLA SB S3"	5	4	1	1	62	4	0	88	2	88	22	0	80	80	0	3	40	1	1	1	0	"UCLA"	88	80	88	2	0	1	1	1
"SB"	"UCLA SB S3"	5	4	2	1	23	1	0	90	90	0	20	0	0	90	90	2	20	3	0	1	1	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	5	4	2	1	49	3	0	90	90	0	20	0	0	90	90	1	20	3	0	1	1	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	5	4	2	1	62	4	0	0	90	90	20	1	0	90	90	3	20	3	0	1	1	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	6	0	1	1	62	4	0	88	88	2	22	0	95	0	95	2	10	1	1	0	1	"UCLA"	88	95	88	2	0	1	1	1
"SB"	"UCLA SB S3"	6	0	1	1	101	7	0	95	0	95	10	1	95	0	95	1	10	1	1	0	1	"UCLA"	95	95	95	0	1	1	1	1
"SB"	"UCLA SB S3"	6	0	1	1	114	8	0	0	90	90	20	0	95	0	95	3	10	1	1	0	1	"UCLA"	90	95	90	0	1	1	1	1
"SB"	"UCLA SB S3"	6	0	2	1	62	4	0	0	88	88	24	0	90	0	90	2	20	3	1	0	1	"UCLA"	88	90	88	0	1	1	1	1
"SB"	"UCLA SB S3"	6	0	2	1	101	7	0	105	0	95	0	0	90	0	90	1	20	3	1	0	1	"UCLA"	105	90	95	0	1	1	1	1
"SB"	"UCLA SB S3"	6	0	2	1	114	8	0	90	0	90	20	1	90	0	90	3	20	3	1	0	1	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	6	1	1	1	23	1	0	90	90	0	20	0	48	48	48	1	56	2	1	1	0	"UCLA"	90	48	90	0	1	1	1	1
"SB"	"UCLA SB S3"	6	1	1	1	75	5	0	48	48	48	56	1	48	48	48	2	56	2	1	1	0	"UCLA"	48	48	48	48	0	0	0	0
"SB"	"UCLA SB S3"	6	1	1	1	153	11	0	0	85	90	25	0	48	48	48	3	56	2	1	1	0	"UCLA"	90	48	85	0	1	1	1	1
"SB"	"UCLA SB S3"	6	1	2	1	23	1	0	90	90	0	20	0	48	48	48	1	56	2	1	1	0	"UCLA"	90	48	90	0	1	1	1	1
"SB"	"UCLA SB S3"	6	1	2	1	75	5	0	48	48	48	56	1	48	48	48	2	56	2	1	1	0	"UCLA"	48	48	48	48	0	0	0	0
"SB"	"UCLA SB S3"	6	1	2	1	153	11	0	85	0	90	25	0	48	48	48	3	56	2	1	1	0	"UCLA"	90	48	85	0	1	1	1	1
"SB"	"UCLA SB S3"	6	2	1	1	10	0	0	0	85	100	15	0	80	80	10	3	30	2	1	1	0	"UCLA"	100	80	85	0	1	1	1	1
"SB"	"UCLA SB S3"	6	2	1	1	88	6	0	100	0	80	20	0	80	80	10	1	30	2	1	1	0	"UCLA"	100	80	80	0	1	1	1	1
"SB"	"UCLA SB S3"	6	2	1	1	140	10	0	80	80	10	30	1	80	80	10	2	30	2	1	1	0	"UCLA"	80	80	80	10	0	1	1	1
"SB"	"UCLA SB S3"	6	2	2	1	10	0	0	0	85	99	16	1	0	85	99	3	16	3	0	1	1	"UCLA"	99	99	85	0	1	1	1	1
"SB"	"UCLA SB S3"	6	2	2	1	88	6	0	100	0	80	20	0	0	85	99	1	16	3	0	1	1	"UCLA"	100	99	80	0	1	1	1	1
"SB"	"UCLA SB S3"	6	2	2	1	140	10	0	0	85	80	35	0	0	85	99	2	16	3	0	1	1	"UCLA"	85	99	80	0	1	1	1	1
"SB"	"UCLA SB S3"	6	3	1	1	49	3	0	80	80	0	40	0	48	48	56	1	48	3	0	0	1	"UCLA"	80	56	80	0	1	1	1	1
"SB"	"UCLA SB S3"	6	3	1	1	164	12	0	100	85	0	15	0	48	48	56	2	48	3	0	0	1	"UCLA"	85	56	100	0	1	1	1	1
"SB"	"UCLA SB S3"	6	3	1	1	174	13	0	48	48	56	48	1	48	48	56	3	48	3	0	0	1	"UCLA"	56	56	48	48	0	0	0	0
"SB"	"UCLA SB S3"	6	3	1	2	49	3	0	80	80	0	40	0	85	100	0	1	15	2	0	1	0	"UCLA"	80	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	6	3	1	2	164	12	0	85	100	0	15	1	85	100	0	2	15	2	0	1	0	"UCLA"	100	100	85	0	1	1	1	1
"SB"	"UCLA SB S3"	6	3	1	2	174	13	0	0	80	100	20	0	85	100	0	3	15	2	0	1	0	"UCLA"	100	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	6	3	1	3	49	3	0	85	85	0	30	0	88	95	0	1	17	2	0	1	0	"UCLA"	85	95	85	0	1	1	1	1
"SB"	"UCLA SB S3"	6	3	1	3	164	12	0	88	95	0	17	1	88	95	0	2	17	2	0	1	0	"UCLA"	95	95	88	0	1	1	1	1
"SB"	"UCLA SB S3"	6	3	1	3	174	13	0	0	80	100	20	0	88	95	0	3	17	2	0	1	0	"UCLA"	100	95	80	0	1	1	1	1
"SB"	"UCLA SB S3"	6	3	1	4	49	3	0	85	85	0	30	0	0	90	90	1	20	2	0	1	1	"UCLA"	85	90	85	0	1	1	1	1
"SB"	"UCLA SB S3"	6	3	1	4	164	12	0	0	90	90	20	1	0	90	90	2	20	2	0	1	1	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	6	3	1	4	174	13	0	48	48	48	56	0	0	90	90	3	20	2	0	1	1	"UCLA"	48	90	48	48	0	0	0	0
"SB"	"UCLA SB S3"	6	3	2	1	49	3	0	85	0	85	30	1	85	0	85	1	30	1	1	0	1	"UCLA"	85	85	85	0	1	1	1	1
"SB"	"UCLA SB S3"	6	3	2	1	164	12	0	0	90	90	20	0	85	0	85	2	30	1	1	0	1	"UCLA"	90	85	90	0	1	1	1	1
"SB"	"UCLA SB S3"	6	3	2	1	174	13	0	90	0	90	20	0	85	0	85	3	30	1	1	0	1	"UCLA"	90	85	90	0	1	1	1	1
"SB"	"UCLA SB S3"	6	4	1	1	36	2	0	85	99	0	16	0	85	0	99	2	16	3	1	0	1	"UCLA"	99	99	85	0	1	1	1	1
"SB"	"UCLA SB S3"	6	4	1	1	127	9	0	92	92	0	16	0	85	0	99	1	16	3	1	0	1	"UCLA"	92	99	92	0	1	1	1	1
"SB"	"UCLA SB S3"	6	4	1	1	184	14	0	85	0	99	16	1	85	0	99	3	16	3	1	0	1	"UCLA"	99	99	85	0	1	1	1	1
"SB"	"UCLA SB S3"	6	4	2	1	36	2	0	85	99	0	16	0	85	0	99	2	16	3	1	0	1	"UCLA"	99	99	85	0	1	1	1	1
"SB"	"UCLA SB S3"	6	4	2	1	127	9	0	99	0	85	16	0	85	0	99	1	16	3	1	0	1	"UCLA"	99	99	85	0	1	1	1	1
"SB"	"UCLA SB S3"	6	4	2	1	184	14	0	85	0	99	16	1	85	0	99	3	16	3	1	0	1	"UCLA"	99	99	85	0	1	1	1	1
"SB"	"UCLA SB S3"	7	0	1	1	36	2	0	0	85	99	16	1	0	85	99	3	16	3	0	1	1	"UCLA"	99	99	85	0	1	1	1	1
"SB"	"UCLA SB S3"	7	0	1	1	114	8	0	0	90	90	20	0	0	85	99	2	16	3	0	1	1	"UCLA"	90	99	90	0	1	1	1	1
"SB"	"UCLA SB S3"	7	0	1	1	174	13	0	90	90	0	20	0	0	85	99	1	16	3	0	1	1	"UCLA"	90	99	90	0	1	1	1	1
"SB"	"UCLA SB S3"	7	0	2	1	36	2	0	85	0	99	16	0	100	80	0	3	20	1	1	1	0	"UCLA"	99	100	85	0	1	1	1	1
"SB"	"UCLA SB S3"	7	0	2	1	114	8	0	0	99	85	16	0	100	80	0	2	20	1	1	1	0	"UCLA"	99	100	85	0	1	1	1	1
"SB"	"UCLA SB S3"	7	0	2	1	174	13	0	100	80	0	20	1	100	80	0	1	20	1	1	1	0	"UCLA"	100	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	7	1	1	1	127	9	0	0	85	99	16	1	0	85	99	3	16	3	0	1	1	"UCLA"	99	99	85	0	1	1	1	1
"SB"	"UCLA SB S3"	7	1	1	1	140	10	0	85	90	0	25	0	0	85	99	2	16	3	0	1	1	"UCLA"	90	99	85	0	1	1	1	1
"SB"	"UCLA SB S3"	7	1	1	1	153	11	0	90	0	85	25	0	0	85	99	1	16	3	0	1	1	"UCLA"	90	99	85	0	1	1	1	1
"SB"	"UCLA SB S3"	7	1	2	1	127	9	0	0	85	99	16	0	100	0	80	3	20	1	1	0	0	"UCLA"	99	100	85	0	1	1	1	1
"SB"	"UCLA SB S3"	7	1	2	1	140	10	0	84	96	0	20	0	100	0	80	2	20	1	1	0	0	"UCLA"	96	100	84	0	1	1	1	1
"SB"	"UCLA SB S3"	7	1	2	1	153	11	0	100	0	80	20	1	100	0	80	1	20	1	1	0	0	"UCLA"	100	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	7	1	2	2	127	9	0	0	85	99	16	0	100	80	0	3	20	1	1	1	0	"UCLA"	99	100	85	0	1	1	1	1
"SB"	"UCLA SB S3"	7	1	2	2	140	10	0	0	96	84	20	0	100	80	0	2	20	1	1	1	0	"UCLA"	96	100	84	0	1	1	1	1
"SB"	"UCLA SB S3"	7	1	2	2	153	11	0	100	80	0	20	1	100	80	0	1	20	1	1	1	0	"UCLA"	100	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	7	2	1	1	10	0	0	90	80	0	30	0	85	0	95	1	20	3	1	0	1	"UCLA"	90	95	80	0	1	1	1	1
"SB"	"UCLA SB S3"	7	2	1	1	101	7	0	0	90	90	20	0	85	0	95	2	20	3	1	0	1	"UCLA"	90	95	90	0	1	1	1	1
"SB"	"UCLA SB S3"	7	2	1	1	164	12	0	85	0	95	20	1	85	0	95	3	20	3	1	0	1	"UCLA"	95	95	85	0	1	1	1	1
"SB"	"UCLA SB S3"	7	2	2	1	10	0	0	90	0	80	30	0	88	0	97	1	15	3	1	0	1	"UCLA"	90	97	80	0	1	1	1	1
"SB"	"UCLA SB S3"	7	2	2	1	101	7	0	70	80	0	50	0	88	0	97	2	15	3	1	0	1	"UCLA"	80	97	70	0	1	1	1	1
"SB"	"UCLA SB S3"	7	2	2	1	164	12	0	88	0	97	15	1	88	0	97	3	15	3	1	0	1	"UCLA"	97	97	88	0	1	1	1	1
"SB"	"UCLA SB S3"	7	3	1	1	23	1	0	90	0	90	20	0	80	80	0	3	40	1	1	1	0	"UCLA"	90	80	90	0	1	1	1	1
"SB"	"UCLA SB S3"	7	3	1	1	49	3	0	80	80	0	40	1	80	80	0	1	40	1	1	1	0	"UCLA"	80	80	80	0	1	1	1	1
"SB"	"UCLA SB S3"	7	3	1	1	75	5	0	48	48	48	56	0	80	80	0	2	40	1	1	1	0	"UCLA"	48	80	48	48	0	0	0	0
"SB"	"UCLA SB S3"	7	3	2	1	23	1	0	0	90	90	20	1	0	90	90	3	20	3	0	1	1	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	7	3	2	1	49	3	0	80	0	80	40	0	0	90	90	1	20	3	0	1	1	"UCLA"	80	90	80	0	1	1	1	1
"SB"	"UCLA SB S3"	7	3	2	1	75	5	0	0	90	90	20	0	0	90	90	2	20	3	0	1	1	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	7	4	1	1	62	4	0	88	0	88	24	0	0	100	80	3	20	2	0	1	1	"UCLA"	88	100	88	0	1	1	1	1
"SB"	"UCLA SB S3"	7	4	1	1	88	6	0	0	100	80	20	1	0	100	80	2	20	2	0	1	1	"UCLA"	100	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	7	4	1	1	184	14	0	99	85	0	16	0	0	100	80	1	20	2	0	1	1	"UCLA"	99	100	85	0	1	1	1	1
"SB"	"UCLA SB S3"	7	4	2	1	62	4	0	89	1	89	21	0	0	100	80	3	20	2	0	1	1	"UCLA"	89	100	89	1	0	1	1	1
"SB"	"UCLA SB S3"	7	4	2	1	88	6	0	0	100	80	20	1	0	100	80	2	20	2	0	1	1	"UCLA"	100	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	7	4	2	1	184	14	0	99	0	85	16	0	0	100	80	1	20	2	0	1	1	"UCLA"	99	100	85	0	1	1	1	1
"SB"	"UCLA SB S3"	8	0	1	1	101	7	0	95	90	0	15	0	86	94	0	1	20	2	1	1	0	"UCLA"	95	94	90	0	1	1	1	1
"SB"	"UCLA SB S3"	8	0	1	1	140	10	0	86	94	0	20	1	86	94	0	2	20	2	1	1	0	"UCLA"	94	94	86	0	1	1	1	1
"SB"	"UCLA SB S3"	8	0	1	1	164	12	0	85	0	95	20	0	86	94	0	3	20	2	1	1	0	"UCLA"	95	94	85	0	1	1	1	1
"SB"	"UCLA SB S3"	8	0	2	1	101	7	0	100	0	80	20	1	100	0	80	1	20	1	1	0	0	"UCLA"	100	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	8	0	2	1	140	10	0	86	94	0	20	0	100	0	80	2	20	1	1	0	0	"UCLA"	94	100	86	0	1	1	1	1
"SB"	"UCLA SB S3"	8	0	2	1	164	12	0	0	85	95	20	0	100	0	80	3	20	1	1	0	0	"UCLA"	95	100	85	0	1	1	1	1
"SB"	"UCLA SB S3"	8	0	2	2	101	7	0	95	90	0	15	0	85	0	95	1	20	3	1	0	1	"UCLA"	95	95	90	0	1	1	1	1
"SB"	"UCLA SB S3"	8	0	2	2	140	10	0	0	90	90	20	0	85	0	95	2	20	3	1	0	1	"UCLA"	90	95	90	0	1	1	1	1
"SB"	"UCLA SB S3"	8	0	2	2	164	12	0	85	0	95	20	1	85	0	95	3	20	3	1	0	1	"UCLA"	95	95	85	0	1	1	1	1
"SB"	"UCLA SB S3"	8	1	1	1	23	1	0	90	90	0	20	0	0	90	90	2	20	3	0	1	1	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	8	1	1	1	75	5	0	48	48	48	56	0	0	90	90	1	20	3	0	1	1	"UCLA"	48	90	48	48	0	0	0	0
"SB"	"UCLA SB S3"	8	1	1	1	114	8	0	0	90	90	20	1	0	90	90	3	20	3	0	1	1	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	8	1	2	1	23	1	0	0	90	90	20	1	0	90	90	2	20	2	0	1	1	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	8	1	2	1	75	5	0	90	90	0	20	0	0	90	90	1	20	2	0	1	1	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	8	1	2	1	114	8	0	0	80	100	20	0	0	90	90	3	20	2	0	1	1	"UCLA"	100	90	80	0	1	1	1	1
"SB"	"UCLA SB S3"	8	2	1	1	36	2	0	85	99	0	16	0	95	85	0	2	20	1	1	1	0	"UCLA"	99	95	85	0	1	1	1	1
"SB"	"UCLA SB S3"	8	2	1	1	49	3	0	90	0	90	20	0	95	85	0	3	20	1	1	1	0	"UCLA"	90	95	90	0	1	1	1	1
"SB"	"UCLA SB S3"	8	2	1	1	127	9	0	95	85	0	20	1	95	85	0	1	20	1	1	1	0	"UCLA"	95	95	85	0	1	1	1	1
"SB"	"UCLA SB S3"	8	2	2	1	36	2	0	0	99	85	16	0	99	85	0	2	16	1	1	1	0	"UCLA"	99	99	85	0	1	1	1	1
"SB"	"UCLA SB S3"	8	2	2	1	49	3	0	0	90	90	20	0	99	85	0	3	16	1	1	1	0	"UCLA"	90	99	90	0	1	1	1	1
"SB"	"UCLA SB S3"	8	2	2	1	127	9	0	99	85	0	16	1	99	85	0	1	16	1	1	1	0	"UCLA"	99	99	85	0	1	1	1	1
"SB"	"UCLA SB S3"	8	3	1	1	10	0	0	0	80	93	27	0	100	80	0	3	20	1	1	1	0	"UCLA"	93	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	8	3	1	1	88	6	0	100	80	0	20	1	100	80	0	1	20	1	1	1	0	"UCLA"	100	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	8	3	1	1	174	13	0	48	48	48	56	0	100	80	0	2	20	1	1	1	0	"UCLA"	48	100	48	48	0	0	0	0
"SB"	"UCLA SB S3"	8	3	2	1	10	0	0	0	80	98	22	0	100	80	0	3	20	1	1	1	0	"UCLA"	98	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	8	3	2	1	88	6	0	100	80	0	20	1	100	80	0	1	20	1	1	1	0	"UCLA"	100	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	8	3	2	1	174	13	0	0	100	80	20	0	100	80	0	2	20	1	1	1	0	"UCLA"	100	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	8	4	1	1	62	4	0	89	89	0	22	0	80	0	100	1	20	3	1	0	1	"UCLA"	89	100	89	0	1	1	1	1
"SB"	"UCLA SB S3"	8	4	1	1	153	11	0	80	0	100	20	1	80	0	100	3	20	3	1	0	1	"UCLA"	100	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	8	4	1	1	184	14	0	85	99	0	16	0	80	0	100	2	20	3	1	0	1	"UCLA"	99	100	85	0	1	1	1	1
"SB"	"UCLA SB S3"	8	4	2	1	62	4	0	89	89	0	22	0	0	85	110	1	5	3	0	1	1	"UCLA"	89	110	89	0	1	1	1	1
"SB"	"UCLA SB S3"	8	4	2	1	153	11	0	0	85	110	5	1	0	85	110	3	5	3	0	1	1	"UCLA"	110	110	85	0	1	1	1	1
"SB"	"UCLA SB S3"	8	4	2	1	184	14	0	85	99	0	16	0	0	85	110	2	5	3	0	1	1	"UCLA"	99	110	85	0	1	1	1	1
"SB"	"UCLA SB S3"	9	0	1	1	23	1	0	0	90	90	20	0	90	90	0	3	20	1	1	1	0	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	9	0	1	1	75	5	0	90	90	0	20	1	90	90	0	1	20	1	1	1	0	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	9	0	1	1	184	14	0	85	99	0	16	0	90	90	0	2	20	1	1	1	0	"UCLA"	99	90	85	0	1	1	1	1
"SB"	"UCLA SB S3"	9	0	2	1	23	1	0	90	0	90	20	1	90	0	90	3	20	3	1	0	1	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	9	0	2	1	75	5	0	90	0	90	20	0	90	0	90	1	20	3	1	0	1	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	9	0	2	1	184	14	0	85	99	0	16	0	90	0	90	2	20	3	1	0	1	"UCLA"	99	90	85	0	1	1	1	1
"SB"	"UCLA SB S3"	9	1	1	1	49	3	0	0	90	90	20	1	0	90	90	2	20	2	0	1	1	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	9	1	1	1	114	8	0	90	90	0	20	0	0	90	90	1	20	2	0	1	1	"UCLA"	90	90	90	0	1	1	1	1
"SB"	"UCLA SB S3"	9	1	1	1	174	13	0	80	0	100	20	0	0	90	90	3	20	2	0	1	1	"UCLA"	100	90	80	0	1	1	1	1
"SB"	"UCLA SB S3"	9	1	2	1	49	3	0	90	90	0	20	0	100	0	80	2	20	1	1	0	1	"UCLA"	90	100	90	0	1	1	1	1
"SB"	"UCLA SB S3"	9	1	2	1	114	8	0	100	0	80	20	1	100	0	80	1	20	1	1	0	1	"UCLA"	100	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	9	1	2	1	174	13	0	80	0	100	20	0	100	0	80	3	20	1	1	0	1	"UCLA"	100	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	9	2	1	1	36	2	0	85	99	0	16	0	95	80	3	2	22	1	1	1	0	"UCLA"	99	95	85	0	1	1	1	1
"SB"	"UCLA SB S3"	9	2	1	1	62	4	0	95	80	3	22	1	95	80	3	1	22	1	1	1	0	"UCLA"	95	95	80	3	0	1	1	1
"SB"	"UCLA SB S3"	9	2	1	1	88	6	0	0	80	100	20	0	95	80	3	3	22	1	1	1	0	"UCLA"	100	95	80	0	1	1	1	1
"SB"	"UCLA SB S3"	9	2	2	1	36	2	0	85	99	0	16	0	0	80	100	2	20	3	0	1	1	"UCLA"	99	100	85	0	1	1	1	1
"SB"	"UCLA SB S3"	9	2	2	1	62	4	0	96	81	1	22	0	0	80	100	1	20	3	0	1	1	"UCLA"	96	100	81	1	0	1	1	1
"SB"	"UCLA SB S3"	9	2	2	1	88	6	0	0	80	100	20	1	0	80	100	3	20	3	0	1	1	"UCLA"	100	100	80	0	1	1	1	1
"SB"	"UCLA SB S3"	9	3	1	1	10	0	0	0	82	98	20	0	95	85	0	3	20	1	1	1	0	"UCLA"	98	95	82	0	1	1	1	1
"SB"	"UCLA SB S3"	9	3	1	1	101	7	0	95	85	0	20	1	95	85	0	1	20	1	1	1	0	"UCLA"	95	95	85	0	1	1	1	1
