**  Dictionary **

paper: Paper
session: unique session identifier
subject: subject identifier in session
o_subject: identifier in session of partner
aSS, aSH, etc are experimental payoffs as a function of Stag and Hare actions by subject and o_subject
stag: dummy equal to 1 if subject chose stag
otherstag: dummy equal to 1 if partner chose stag
matching: variable that denotes the type of matching used in the experiment
rothmalouf: dummy equal 1 if lottery method was used for payment

*****

paper,session,period,subject,o_subject,aSS,aSH,aHS,aHH,stag,otherstag,matching,rothmalouf
Battalio et al (2001),7,18,33,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,18,34,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,18,36,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,19,11,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,19,22,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,19,23,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,19,31,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,19,32,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,19,33,23,45,0,42,12,1,0,random,0
Battalio et al (2001),7,19,34,11,45,0,42,12,1,0,random,0
Battalio et al (2001),7,19,36,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,20,11,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,20,22,23,45,0,42,12,0,1,random,0
Battalio et al (2001),7,20,23,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,20,31,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,20,32,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,20,33,34,45,0,42,12,1,1,random,0
Battalio et al (2001),7,20,34,33,45,0,42,12,1,1,random,0
Battalio et al (2001),7,20,36,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,21,11,34,45,0,42,12,1,1,random,0
Battalio et al (2001),7,21,22,33,45,0,42,12,0,0,random,0
Battalio et al (2001),7,21,23,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,21,31,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,21,32,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,21,33,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,21,34,11,45,0,42,12,1,1,random,0
Battalio et al (2001),7,21,36,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,22,11,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,22,22,11,45,0,42,12,0,1,random,0
Battalio et al (2001),7,22,23,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,22,31,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,22,32,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,22,33,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,22,34,23,45,0,42,12,1,0,random,0
Battalio et al (2001),7,22,36,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,23,11,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,23,22,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,23,23,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,23,31,33,45,0,42,12,0,0,random,0
Battalio et al (2001),7,23,32,23,45,0,42,12,1,0,random,0
Battalio et al (2001),7,23,33,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,23,34,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,23,36,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,24,11,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,24,22,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,24,23,33,45,0,42,12,0,0,random,0
Battalio et al (2001),7,24,31,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,24,32,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,24,33,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,24,34,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,24,36,11,45,0,42,12,0,1,random,0
Battalio et al (2001),7,25,11,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,25,22,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,25,23,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,25,31,11,45,0,42,12,0,1,random,0
Battalio et al (2001),7,25,32,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,25,33,32,45,0,42,12,1,0,random,0
Battalio et al (2001),7,25,34,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,25,36,23,45,0,42,12,0,1,random,0
Battalio et al (2001),7,26,11,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,26,22,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,26,23,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,26,31,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,26,32,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,26,33,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,26,34,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,26,36,34,45,0,42,12,0,0,random,0
Battalio et al (2001),7,27,11,34,45,0,42,12,1,0,random,0
Battalio et al (2001),7,27,22,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,27,23,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,27,31,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,27,32,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,27,33,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,27,34,11,45,0,42,12,0,1,random,0
Battalio et al (2001),7,27,36,33,45,0,42,12,0,0,random,0
Battalio et al (2001),7,28,11,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,28,22,11,45,0,42,12,0,1,random,0
Battalio et al (2001),7,28,23,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,28,31,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,28,32,33,45,0,42,12,1,0,random,0
Battalio et al (2001),7,28,33,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,28,34,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,28,36,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,29,11,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,29,22,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,29,23,33,45,0,42,12,0,0,random,0
Battalio et al (2001),7,29,31,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,29,32,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,29,33,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,29,34,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,29,36,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,30,11,32,45,0,42,12,1,0,random,0
Battalio et al (2001),7,30,22,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,30,23,33,45,0,42,12,0,0,random,0
Battalio et al (2001),7,30,31,34,45,0,42,12,0,0,random,0
Battalio et al (2001),7,30,32,11,45,0,42,12,0,1,random,0
Battalio et al (2001),7,30,33,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,30,34,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,30,36,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,31,11,34,45,0,42,12,1,1,random,0
Battalio et al (2001),7,31,22,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,31,23,33,45,0,42,12,0,0,random,0
Battalio et al (2001),7,31,31,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,31,32,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,31,33,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,31,34,11,45,0,42,12,1,1,random,0
Battalio et al (2001),7,31,36,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,32,11,32,45,0,42,12,1,0,random,0
Battalio et al (2001),7,32,22,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,32,23,33,45,0,42,12,0,0,random,0
Battalio et al (2001),7,32,31,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,32,32,11,45,0,42,12,0,1,random,0
Battalio et al (2001),7,32,33,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,32,34,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,32,36,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,33,11,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,33,22,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,33,23,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,33,31,11,45,0,42,12,0,1,random,0
Battalio et al (2001),7,33,32,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,33,33,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,33,34,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,33,36,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,34,11,33,45,0,42,12,1,1,random,0
Battalio et al (2001),7,34,22,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,34,23,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,34,31,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,34,32,34,45,0,42,12,1,0,random,0
Battalio et al (2001),7,34,33,11,45,0,42,12,1,1,random,0
Battalio et al (2001),7,34,34,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,34,36,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,35,11,23,45,0,42,12,1,0,random,0
Battalio et al (2001),7,35,22,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,35,23,11,45,0,42,12,0,1,random,0
Battalio et al (2001),7,35,31,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,35,32,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,35,33,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,35,34,32,45,0,42,12,1,0,random,0
Battalio et al (2001),7,35,36,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,36,11,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,36,22,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,36,23,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,36,31,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,36,32,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,36,33,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,36,34,23,45,0,42,12,1,0,random,0
Battalio et al (2001),7,36,36,11,45,0,42,12,0,1,random,0
Battalio et al (2001),7,37,11,32,45,0,42,12,1,0,random,0
Battalio et al (2001),7,37,22,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,37,23,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,37,31,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,37,32,11,45,0,42,12,0,1,random,0
Battalio et al (2001),7,37,33,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,37,34,23,45,0,42,12,1,0,random,0
Battalio et al (2001),7,37,36,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,38,11,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,38,22,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,38,23,33,45,0,42,12,0,0,random,0
Battalio et al (2001),7,38,31,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,38,32,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,38,33,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,38,34,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,38,36,11,45,0,42,12,0,1,random,0
Battalio et al (2001),7,39,11,33,45,0,42,12,1,0,random,0
Battalio et al (2001),7,39,22,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,39,23,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,39,31,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,39,32,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,39,33,11,45,0,42,12,0,1,random,0
Battalio et al (2001),7,39,34,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,39,36,34,45,0,42,12,0,0,random,0
Battalio et al (2001),7,40,11,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,40,22,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,40,23,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,40,31,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,40,32,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,40,33,34,45,0,42,12,1,0,random,0
Battalio et al (2001),7,40,34,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,40,36,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,41,11,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,41,22,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,41,23,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,41,31,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,41,32,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,41,33,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,41,34,11,45,0,42,12,1,0,random,0
Battalio et al (2001),7,41,36,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,42,11,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,42,22,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,42,23,34,45,0,42,12,0,0,random,0
Battalio et al (2001),7,42,31,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,42,32,11,45,0,42,12,1,0,random,0
Battalio et al (2001),7,42,33,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,42,34,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,42,36,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,43,11,33,45,0,42,12,0,0,random,0
Battalio et al (2001),7,43,22,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,43,23,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,43,31,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,43,32,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,43,33,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,43,34,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,43,36,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,44,11,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,44,22,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,44,23,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,44,31,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,44,32,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,44,33,11,45,0,42,12,1,0,random,0
Battalio et al (2001),7,44,34,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,44,36,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,45,11,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,45,22,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,45,23,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,45,31,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,45,32,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,45,33,34,45,0,42,12,1,1,random,0
Battalio et al (2001),7,45,34,33,45,0,42,12,1,1,random,0
Battalio et al (2001),7,45,36,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,46,11,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,46,22,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,46,23,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,46,31,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,46,32,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,46,33,11,45,0,42,12,1,0,random,0
Battalio et al (2001),7,46,34,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,46,36,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,47,11,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,47,22,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,47,23,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,47,31,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,47,32,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,47,33,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,47,34,32,45,0,42,12,1,0,random,0
Battalio et al (2001),7,47,36,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,48,11,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,48,22,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,48,23,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,48,31,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,48,32,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,48,33,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,48,34,11,45,0,42,12,1,0,random,0
Battalio et al (2001),7,48,36,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,49,11,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,49,22,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,49,23,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,49,31,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,49,32,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,49,33,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,49,34,11,45,0,42,12,1,0,random,0
Battalio et al (2001),7,49,36,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,50,11,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,50,22,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,50,23,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,50,31,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,50,32,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,50,33,34,45,0,42,12,1,1,random,0
Battalio et al (2001),7,50,34,33,45,0,42,12,1,1,random,0
Battalio et al (2001),7,50,36,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,51,11,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,51,22,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,51,23,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,51,31,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,51,32,34,45,0,42,12,1,1,random,0
Battalio et al (2001),7,51,33,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,51,34,32,45,0,42,12,1,1,random,0
Battalio et al (2001),7,51,36,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,52,11,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,52,22,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,52,23,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,52,31,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,52,32,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,52,33,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,52,34,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,52,36,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,53,11,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,53,22,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,53,23,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,53,31,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,53,32,23,45,0,42,12,1,0,random,0
Battalio et al (2001),7,53,33,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,53,34,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,53,36,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,54,11,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,54,22,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,54,23,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,54,31,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,54,32,33,45,0,42,12,1,1,random,0
Battalio et al (2001),7,54,33,32,45,0,42,12,1,1,random,0
Battalio et al (2001),7,54,34,23,45,0,42,12,1,0,random,0
Battalio et al (2001),7,54,36,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,55,11,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,55,22,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,55,23,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,55,31,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,55,32,34,45,0,42,12,1,1,random,0
Battalio et al (2001),7,55,33,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,55,34,32,45,0,42,12,1,1,random,0
Battalio et al (2001),7,55,36,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,56,11,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,56,22,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,56,23,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,56,31,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,56,32,23,45,0,42,12,1,0,random,0
Battalio et al (2001),7,56,33,34,45,0,42,12,1,1,random,0
Battalio et al (2001),7,56,34,33,45,0,42,12,1,1,random,0
Battalio et al (2001),7,56,36,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,57,11,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,57,22,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,57,23,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,57,31,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,57,32,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,57,33,23,45,0,42,12,1,0,random,0
Battalio et al (2001),7,57,34,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,57,36,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,58,11,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,58,22,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,58,23,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,58,31,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,58,32,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,58,33,34,45,0,42,12,1,1,random,0
Battalio et al (2001),7,58,34,33,45,0,42,12,1,1,random,0
Battalio et al (2001),7,58,36,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,59,11,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,59,22,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,59,23,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,59,31,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,59,32,23,45,0,42,12,1,0,random,0
Battalio et al (2001),7,59,33,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,59,34,11,45,0,42,12,1,0,random,0
Battalio et al (2001),7,59,36,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,60,11,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,60,22,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,60,23,32,45,0,42,12,0,1,random,0
Battalio et al (2001),7,60,31,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,60,32,23,45,0,42,12,1,0,random,0
Battalio et al (2001),7,60,33,34,45,0,42,12,1,1,random,0
Battalio et al (2001),7,60,34,33,45,0,42,12,1,1,random,0
Battalio et al (2001),7,60,36,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,61,11,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,61,22,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,61,23,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,61,31,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,61,32,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,61,33,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,61,34,11,45,0,42,12,1,0,random,0
Battalio et al (2001),7,61,36,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,62,11,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,62,22,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,62,23,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,62,31,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,62,32,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,62,33,32,45,0,42,12,1,0,random,0
Battalio et al (2001),7,62,34,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,62,36,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,63,11,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,63,22,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,63,23,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,63,31,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,63,32,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,63,33,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,63,34,23,45,0,42,12,1,0,random,0
Battalio et al (2001),7,63,36,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,64,11,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,64,22,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,64,23,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,64,31,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,64,32,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,64,33,32,45,0,42,12,1,0,random,0
Battalio et al (2001),7,64,34,23,45,0,42,12,1,0,random,0
Battalio et al (2001),7,64,36,31,45,0,42,12,0,0,random,0
Battalio et al (2001),7,65,11,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,65,22,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,65,23,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,65,31,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,65,32,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,65,33,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,65,34,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,65,36,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,66,11,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,66,22,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,66,23,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,66,31,34,45,0,42,12,0,1,random,0
Battalio et al (2001),7,66,32,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,66,33,36,45,0,42,12,1,0,random,0
Battalio et al (2001),7,66,34,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,66,36,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,67,11,32,45,0,42,12,0,0,random,0
Battalio et al (2001),7,67,22,34,45,0,42,12,0,0,random,0
Battalio et al (2001),7,67,23,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,67,31,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,67,32,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,67,33,31,45,0,42,12,1,0,random,0
Battalio et al (2001),7,67,34,22,45,0,42,12,0,0,random,0
Battalio et al (2001),7,67,36,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,68,11,23,45,0,42,12,0,0,random,0
Battalio et al (2001),7,68,22,33,45,0,42,12,0,1,random,0
Battalio et al (2001),7,68,23,11,45,0,42,12,0,0,random,0
Battalio et al (2001),7,68,31,32,45,0,42,12,1,1,random,0
Battalio et al (2001),7,68,32,31,45,0,42,12,1,1,random,0
Battalio et al (2001),7,68,33,22,45,0,42,12,1,0,random,0
Battalio et al (2001),7,68,34,36,45,0,42,12,0,0,random,0
Battalio et al (2001),7,68,36,34,45,0,42,12,0,0,random,0
Battalio et al (2001),7,69,11,22,45,0,42,12,0,0,random,0
