**  Dictionary **

paper: Paper
session: unique session identifier
subject: subject identifier in session
o_subject: identifier in session of partner
aSS, aSH, etc are experimental payoffs as a function of Stag and Hare actions by subject and o_subject
stag: dummy equal to 1 if subject chose stag
otherstag: dummy equal to 1 if partner chose stag
matching: variable that denotes the type of matching used in the experiment
rothmalouf: dummy equal 1 if lottery method was used for payment

*****

paper,session,period,subject,o_subject,aSS,aSH,aHS,aHH,stag,otherstag,matching,rothmalouf
Battalio et al (2001),1,11,37,14,45,0,42,12,0,0,random,0
Battalio et al (2001),1,12,14,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,12,24,31,45,0,42,12,1,0,random,0
Battalio et al (2001),1,12,25,37,45,0,42,12,0,1,random,0
Battalio et al (2001),1,12,31,24,45,0,42,12,0,1,random,0
Battalio et al (2001),1,12,33,14,45,0,42,12,0,1,random,0
Battalio et al (2001),1,12,35,36,45,0,42,12,0,0,random,0
Battalio et al (2001),1,12,36,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,12,37,25,45,0,42,12,1,0,random,0
Battalio et al (2001),1,13,14,37,45,0,42,12,1,0,random,0
Battalio et al (2001),1,13,24,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,13,25,24,45,0,42,12,1,1,random,0
Battalio et al (2001),1,13,31,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,13,33,31,45,0,42,12,0,0,random,0
Battalio et al (2001),1,13,35,36,45,0,42,12,0,0,random,0
Battalio et al (2001),1,13,36,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,13,37,14,45,0,42,12,0,1,random,0
Battalio et al (2001),1,14,14,24,45,0,42,12,0,0,random,0
Battalio et al (2001),1,14,24,14,45,0,42,12,0,0,random,0
Battalio et al (2001),1,14,25,37,45,0,42,12,0,1,random,0
Battalio et al (2001),1,14,31,36,45,0,42,12,1,0,random,0
Battalio et al (2001),1,14,33,35,45,0,42,12,0,0,random,0
Battalio et al (2001),1,14,35,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,14,36,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,14,37,25,45,0,42,12,1,0,random,0
Battalio et al (2001),1,15,14,24,45,0,42,12,0,0,random,0
Battalio et al (2001),1,15,24,14,45,0,42,12,0,0,random,0
Battalio et al (2001),1,15,25,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,15,31,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,15,33,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,15,35,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,15,36,37,45,0,42,12,0,1,random,0
Battalio et al (2001),1,15,37,36,45,0,42,12,1,0,random,0
Battalio et al (2001),1,16,14,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,16,24,37,45,0,42,12,0,0,random,0
Battalio et al (2001),1,16,25,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,16,31,36,45,0,42,12,1,0,random,0
Battalio et al (2001),1,16,33,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,16,35,14,45,0,42,12,0,1,random,0
Battalio et al (2001),1,16,36,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,16,37,24,45,0,42,12,0,0,random,0
