* Dictionary *
id:			    id #
oid:			    partner id #
supergame:	match #
round:		  round #
horizon:	length of supergame
r:    	    payoff to joint cooperation (reward) in dollars
s:          payoff to cooperation when other defects (sucker) in dollars
t:          payoff to defection when other cooperates (temptation) in dollars
p:          payoff to joint defection (punishment) in dollars
NOTE: r, s, t, and p above are the experimental currency units (ECU).
g:          1+g is the payoff to defection when other cooperates and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (gain)
l:          l is the payoff to cooperation when other defects and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (loss)
sizebad:    SIZE of the Basin of attraction of Always Defect, as defined in Embrey, Frechette, and Yuksel (2017), between 0 and 1.
			Only defined for round 1 because that is how it is used in that paper.
session:    session #
coop:       = 1 if subject cooperated, = 0 o/w
**************/

id	oid	supergame	round	horizon	r	s	t	p	g	l	sizebad	session	coop
77	74	2	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	81	3	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	79	4	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	83	5	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	78	6	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	84	7	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	75	8	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	80	9	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	79	10	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	81	11	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	80	12	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	86	13	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	75	14	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	80	15	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	85	16	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	85	17	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	78	18	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	76	19	1	8	51	22	63	39	1	1.416667	.1910112	4	1
77	86	20	1	8	51	22	63	39	1	1.416667	.1910112	4	0
78	74	1	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	84	2	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	74	3	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	73	4	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	80	5	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	77	6	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	85	7	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	82	8	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	86	9	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	75	10	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	75	11	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	75	12	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	76	13	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	80	14	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	83	15	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	80	16	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	79	17	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	77	18	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	82	19	1	8	51	22	63	39	1	1.416667	.1910112	4	1
78	85	20	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	75	1	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	75	2	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	80	3	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	77	4	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	82	5	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	75	6	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	76	7	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	86	8	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	83	9	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	77	10	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	83	11	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	84	12	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	75	13	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	73	14	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	76	15	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	82	16	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	78	17	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	81	18	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	85	19	1	8	51	22	63	39	1	1.416667	.1910112	4	1
79	76	20	1	8	51	22	63	39	1	1.416667	.1910112	4	0
80	76	1	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	73	2	1	8	51	22	63	39	1	1.416667	.1910112	4	0
80	79	3	1	8	51	22	63	39	1	1.416667	.1910112	4	0
80	83	4	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	78	5	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	84	6	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	86	7	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	84	8	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	77	9	1	8	51	22	63	39	1	1.416667	.1910112	4	1
80	86	10	1	8	51	22	63	39	1	1.416667	.1910112	4	1
